study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.06477966625243425	0.03600140972314683	1103	-0.0009137627785094082	-0.05207015688727231
Borras_2023_Cell_Discov	18	1	-0.009054549038410187	-0.18853977700784488	54	-0.0014547539176419377	-0.1403826215150911
Che_2021_Cell_Discov	6	6	-0.0322979597064356	-0.15362252695780707	11520	0.038284093141555786	-0.004339595815730915
Chen_2021_Cell	101	94	0.04221789311122848	0.009945253126442097	32811	-0.004681690596044064	-0.0430787471706192
Chen_2024_Cancer_Cell	20	20	-0.07650776476948522	-0.14535186104141665	58833	-0.12320730835199356	-0.20041430837229612
Giguelay_2022_Theranostics	5	5	-0.08008420132100583	-0.14078315084913604	3458	-0.10270235687494278	-0.1769008783962463
Guo_2022_JCI_Insight	6	6	0.022838996723294258	-0.20083398933303911	3175	-0.008709047921001911	-0.2550818117521258
HTAPP_HTAN	20	20	-0.08236392559483648	-0.16056291504549491	19711	-0.04093649983406067	-0.1487144171503284
Harmon_2023_Nat_Cancer	1	1	0.054753150790929794	0.027024300658325156	98	0.054753150790929794	0.027024300658325156
Huang_2024_Nat_Cancer	3	2	-0.13646340189734474	-0.07398958156252389	102	-0.06238487735390663	-0.030504139521363653
Ji_2024_Cancer_Lett	2	2	0.19514688849449158	0.22115339430723568	10269	0.16777488589286804	0.18899904063818052
Ji_2024_PLoS_Genet	3	3	-0.007698991025487582	-0.03321442575070947	5793	-0.004642455372959375	-0.11541324613295975
Joanito_2022_Nat_Genet	31	31	0.11510836786680645	0.10487451949889876	25851	0.04312070459127426	-0.0001682666635327082
Khaliq_2022_Genome_Biol	16	15	0.10319019380646448	0.06963897171264948	7141	0.11804189532995224	0.08394512253476365
Lee_2020_Nat_Genet	34	34	0.0479305874391952	0.006999572005291204	29741	0.416408509016037	0.2884190289793079
Li_2017_Nat_Genet	10	1	-0.45346036553382874	-0.3041506949851321	54	-0.0827142745256424	-0.11823398296455986
Li_2023_Cancer_Cell	19	19	0.014252353018443836	-0.0062208492402058705	36360	0.00537741556763649	-0.01170557295253157
Liu_2024_Cancer_Res	16	16	0.09582762324134819	0.1193473973936413	46501	0.06966125220060349	0.10441041760986204
MUI_Innsbruck	12	12	0.43630727380514145	0.3546703688073025	15856	0.3566560745239258	0.2490214237491226
Pelka_2021_Cell	62	62	0.0033920250021882595	-0.02960552535002281	100569	-0.0039042779244482517	-0.07408646123813933
Qi_2022_Nat_Commun	5	5	-0.047647131606936455	-0.04596806839580779	6566	-0.08175168186426163	-0.09616692884749194
Qian_2020_Cell_Res	7	7	0.0003438694402575493	0.008234290684441727	9753	-0.05739966779947281	-0.05903913337927653
Qin_2023_Cell_Rep_Med	29	29	0.02159090574573854	0.009280006797164729	78466	0.0918167307972908	0.07595347921941732
Sathe_2023_Clin_Cancer_Res	4	3	-0.022482983767986298	-0.04477351348198367	6716	0.02705415152013302	0.03521467357140635
Terekhanova_2023_Nature	5	5	0.04976306557655334	0.11693578538805213	22196	0.07790611684322357	0.09833696046263711
Tian_2023_Nat_Med	27	25	0.028386515881866217	-0.13014762031460558	80372	-0.06213504448533058	-0.26039875599061163
Uhlitz_2021_EMBO_Mol_Med	12	12	0.060916667338460684	0.032966505946747264	13194	0.11038541048765182	0.13695021643904567
Wang_2021_Adv_Sci	8	7	0.09864147113902229	0.02650560541229659	307	0.2193644791841507	0.19256083903492832
Wang_2023_Sci_Adv	6	5	0.0785758525133133	0.0662131136929984	23232	-0.12454810738563538	-0.2333724060691378
Wu_2022_Cancer_Discov	7	3	0.07938285668690999	0.0673416127443807	79	0.11299646645784378	0.0869196647183755
Wu_2024_Cell	6	3	0.015967555344104767	-0.05494591926396056	114	0.11130024492740631	0.063365797735538
Yang_2023_Front_Oncol	1	1	0.49519360065460205	0.43436179846058365	1879	0.49519360065460205	0.43436179846058365
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	0.3835455160588026	0.30584839164648014	571	0.353770911693573	0.4455424773566284
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.08882520534098148	0.056584469217970765	13019	0.16326430439949036	0.185989990447649
deVries_2023_Nature	1	0			1		
