study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	-0.011770171113312244	-0.07910097079009201	True	
Borras_2023_Cell_Discov	54	0.03038087487220764	-0.05769271969714757	True	
Che_2021_Cell_Discov	11520	0.06074611842632294	0.024899125312274333	True	
Chen_2021_Cell	32811	-0.027198592200875282	-0.05357369877028552	True	
Chen_2024_Cancer_Cell	58833	-0.125963494181633	-0.215673496445036	True	
Giguelay_2022_Theranostics	3458	-0.09985768795013428	-0.18049354211679136	True	
Guo_2022_JCI_Insight	3175	-0.018322259187698364	-0.24873789292621495	True	
HTAPP_HTAN	19711	-0.02463463693857193	-0.1513660957874536	True	
Harmon_2023_Nat_Cancer	98	0.17580191791057587	-0.027639996912781878	True	
Huang_2024_Nat_Cancer	102	-0.07034619152545929	-0.04039275038545736	True	
Ji_2024_Cancer_Lett	10269	0.1932225525379181	0.22056657116260345	True	
Ji_2024_PLoS_Genet	5793	-0.009084482677280903	-0.1337387622711824	True	
Joanito_2022_Nat_Genet	25851	0.041762690991163254	0.006551148230653265	True	
Khaliq_2022_Genome_Biol	7141	0.123304583132267	0.07076341629630196	True	
Lee_2020_Nat_Genet	29741	0.4381202459335327	0.2771662696824334	True	
Li_2017_Nat_Genet	54	-0.053407154977321625	-0.1460774734200052	True	
Li_2023_Cancer_Cell	36360	0.025406718254089355	-0.0022467648080310727	True	
Liu_2024_Cancer_Res	46501	0.06940237432718277	0.08406567515129965	True	
MUI_Innsbruck	15856	0.3795085847377777	0.30209353257745875	True	
Pelka_2021_Cell	100569	0.0268617682158947	-0.05362434517041549	True	
Qi_2022_Nat_Commun	6566	-0.07607775181531906	-0.08484210949736741	True	
Qian_2020_Cell_Res	9753	-0.052115850150585175	-0.022716742773492154	True	
Qin_2023_Cell_Rep_Med	78466	0.08410196751356125	0.0665375343927829	True	
Sathe_2023_Clin_Cancer_Res	6716	0.02180127054452896	0.011338696727111013	True	
Terekhanova_2023_Nature	22196	0.05656310170888901	0.0802239608559342	True	
Tian_2023_Nat_Med	80372	-0.07917670160531998	-0.3662748470673119	True	
Uhlitz_2021_EMBO_Mol_Med	13194	0.11495689302682877	0.09934422423147234	True	
Wang_2021_Adv_Sci	307	0.26607826352119446	0.30016907690399464	True	
Wang_2023_Sci_Adv	23232	-0.11307311058044434	-0.22771466373694282	True	
Wu_2022_Cancer_Discov	79	0.09701795130968094	0.09243027363730352	True	
Wu_2024_Cell	114	0.11287093907594681	0.04317748108027857	True	
Yang_2023_Front_Oncol	1879	0.4971283972263336	0.44166741135480647	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	0.3929479718208313	0.5719512729668055	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	0.1739969402551651	0.19807191147799272	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
