left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	0.04806751012802124	0.01774099639346924	-4.054605960845947e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	0.04808753728866577	0.017765702269702217	-2.0518898963928223e-05
Bian_2018_Science||Bian_2018_Science.CRC06	665404	0.04810820147395134	0.017766437129220804	1.4528632164001465e-07
Bian_2018_Science||Bian_2018_Science.CRC09	665377	0.048090092837810516	0.017765335923964412	-1.796334981918335e-05
Bian_2018_Science||Bian_2018_Science.CRC10	665388	0.048096913844347	0.017781633359547733	-1.1142343282699585e-05
Bian_2018_Science||Bian_2018_Science.CRC11	665282	0.048105571419000626	0.017788732702428256	-2.4847686290740967e-06
Bian_2018_Science||Bian_2018_Science.CRC01	665155	0.048283107578754425	0.017928050215352355	0.00017505139112472534
Bian_2018_Science||Bian_2018_Science.CRC02	665347	0.04811248928308487	0.017791819205373993	4.433095455169678e-06
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	0.04810776561498642	0.017774221432618108	-2.905726432800293e-07
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	0.04810304194688797	0.017772451077498554	-5.014240741729736e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	0.04811009764671326	0.017776883891893493	2.041459083557129e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	0.04810277372598648	0.017772024738668527	-5.282461643218994e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	0.04810914397239685	0.017776385518959725	1.087784767150879e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	0.048112113028764725	0.017775029996053997	4.056841135025024e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	0.048102665692567825	0.017773650721884197	-5.39049506187439e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC125	665471	0.04811188206076622	0.017776418482083826	3.825873136520386e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC126	665471	0.04810325801372528	0.01777157512896663	-4.798173904418945e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC136	665467	0.04810607060790062	0.01777297156279986	-1.9855797290802e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC145	665470	0.04810953512787819	0.01777728386607049	1.4789402484893799e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC174	665471	0.048108313232660294	0.017775502056379348	2.5704503059387207e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC179	665472	0.048108264803886414	0.017774473322471264	2.086162567138672e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC180	665472	0.048107363283634186	0.017773307409623695	-6.92903995513916e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC197	665472	0.048107944428920746	0.017774380212862404	-1.1175870895385742e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC200	665471	0.04810720682144165	0.01777473782371873	-8.493661880493164e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC216	665471	0.04810968413949013	0.017777767701082157	1.6279518604278564e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC234	665471	0.048108384013175964	0.017775703109435888	3.2782554626464844e-07
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL07	658662	0.04719957709312439	0.016509645496221255	-0.0009084790945053101
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL12	664987	0.04821450635790825	0.018038117979769702	0.0001064501702785492
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL15	663522	0.04802001267671585	0.01735404125597805	-8.804351091384888e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL16	663821	0.048611562699079514	0.018446108457499888	0.0005035065114498138
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL17	665280	0.048180438578128815	0.01788148247292219	7.238239049911499e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL18	665046	0.0480508953332901	0.017643807913953063	-5.716085433959961e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	659745	0.0506458580493927	0.019453550547109136	0.0025378018617630005
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	663924	0.048813384026288986	0.018623026845883805	0.0007053278386592865
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	657920	0.05082055926322937	0.02020105940817257	0.0027125030755996704
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	663854	0.04907447472214699	0.018533887145099015	0.0009664185345172882
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	661791	0.0469391867518425	0.016033314861648135	-0.001168869435787201
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	660774	0.050695545971393585	0.019575712274907786	0.0025874897837638855
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	663418	0.048979487270116806	0.01838235810040082	0.0008714310824871063
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	664819	0.04829898476600647	0.017832629265016726	0.00019092857837677002
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	660497	0.05012241750955582	0.019372329603420908	0.002014361321926117
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	662282	0.05014754831790924	0.019638663290583926	0.002039492130279541
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	664151	0.048554059118032455	0.017993556733664817	0.00044600293040275574
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	663602	0.048680152744054794	0.018237689320469624	0.0005720965564250946
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	661037	0.04888882860541344	0.018529992934462766	0.0007807724177837372
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	661223	0.04952527955174446	0.019133926589443198	0.0014172233641147614
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	664012	0.04895881563425064	0.01873175823237839	0.0008507594466209412
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	664103	0.04809567332267761	0.01762466814020497	-1.2382864952087402e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	663637	0.049194030463695526	0.018685508833365998	0.0010859742760658264
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	660783	0.051270775496959686	0.020318551559988886	0.0031627193093299866
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	664591	0.048490554094314575	0.018020595410836174	0.0003824979066848755
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	664464	0.048604533076286316	0.01816524401324267	0.0004964768886566162
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P1	664667	0.048032719641923904	0.017884246330237163	-7.533654570579529e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P2	664943	0.04778563976287842	0.017196583271718302	-0.00032241642475128174
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P4	663954	0.04736074432730675	0.01692130452239045	-0.0007473118603229523
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P5	665420	0.04808052256703377	0.017769021144083075	-2.7533620595932007e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P3	664923	0.048075269907712936	0.01797445818528936	-3.2786279916763306e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC1	664951	0.04819708317518234	0.017879588883462565	8.902698755264282e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC2	664559	0.04869682714343071	0.018709817703440854	0.0005887709558010101
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC3	665261	0.04815450683236122	0.017877334812099976	4.6450644731521606e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC1	665257	0.04817367345094681	0.017845888597806645	6.561726331710815e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC2	665193	0.048088159412145615	0.017770684147559217	-1.9896775484085083e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC3	664442	0.04805486276745796	0.017761065298793167	-5.319342017173767e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_272	664722	0.04811292141675949	0.017903176308662696	4.86522912979126e-06
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_273	664852	0.04825756326317787	0.017928674807796342	0.000149507075548172
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_326	664018	0.04796583577990532	0.017796741403074957	-0.0001422204077243805
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_335	664454	0.049312714487314224	0.01862525329840637	0.0012046582996845245
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_357	664471	0.048980969935655594	0.018632075907678746	0.0008729137480258942
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_366	664796	0.048560529947280884	0.018183220327133473	0.0004524737596511841
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_381	664511	0.04860173538327217	0.018343863601151242	0.0004936791956424713
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_416	664311	0.04926722124218941	0.018854365478708994	0.0011591650545597076
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_435	664453	0.04800024256110191	0.0177521030112834	-0.00010781362652778625
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_446	665004	0.04821828752756119	0.017887787225940855	0.00011023133993148804
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_482	665069	0.04836343973875046	0.01806435846842164	0.00025538355112075806
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_489	664842	0.04819219559431076	0.017815827622037744	8.413940668106079e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_490	663863	0.04810519888997078	0.017998713436201567	-2.857297658920288e-06
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_491	663576	0.04857058823108673	0.01838907842014747	0.00046253204345703125
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_510	663924	0.04796600341796875	0.017650014447211777	-0.0001420527696609497
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_556	664253	0.048928890377283096	0.018346308886513615	0.0008208341896533966
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_574	665260	0.04814799875020981	0.01783046468039857	3.994256258010864e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_626	664706	0.04816713556647301	0.01782634207652307	5.9079378843307495e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_650	665027	0.04826515167951584	0.017963561511588667	0.00015709549188613892
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_710	663637	0.04813129082322121	0.017727351356854843	2.3234635591506958e-05
Harmon_2023_Nat_Cancer||Harmon_2023_Nat_Cancer.P2	665375	0.04803414270281792	0.017651915064013448	-7.391348481178284e-05
Huang_2024_Nat_Cancer||Huang_2024_Nat_Cancer.CRC3	665472	0.048110052943229675	0.017775616963947485	1.996755599975586e-06
Huang_2024_Nat_Cancer||Huang_2024_Nat_Cancer.CRC2	665449	0.04811234772205353	0.017777760693580464	4.291534423828125e-06
Huang_2024_Nat_Cancer||Huang_2024_Nat_Cancer.CRC1	665396	0.04809451103210449	0.017760039570441408	-1.354515552520752e-05
Ji_2024_PLoS_Genet||Ji_2024_PLoS_Genet.WHU1	663886	0.0478808730840683	0.01765113437804573	-0.00022718310356140137
Ji_2024_PLoS_Genet||Ji_2024_PLoS_Genet.WHU2	662487	0.0469207726418972	0.01691809910258904	-0.0011872835457324982
Ji_2024_PLoS_Genet||Ji_2024_PLoS_Genet.WHU3	664253	0.047990262508392334	0.017731355811591996	-0.00011779367923736572
Ji_2024_Cancer_Lett||Ji_2024_Cancer_Lett.sigmoid_03	662977	0.047894835472106934	0.017257386479413897	-0.0002132207155227661
Ji_2024_Cancer_Lett||Ji_2024_Cancer_Lett.rectum_03	657700	0.04754682630300522	0.017151958311499012	-0.0005612298846244812
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC035	664403	0.0481538325548172	0.017931516599617812	4.57763671875e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC040	664742	0.04776297137141228	0.017323056197673662	-0.0003450848162174225
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC041	665254	0.04803485795855522	0.017688202873660578	-7.319822907447815e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC043	664756	0.04777984693646431	0.017438516122623177	-0.00032820925116539
