left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	0.04652256518602371	0.018654177371220382	0.00010151788592338562
Borras_2023_Cell_Discov	665419	0.04641048610210419	0.018497468039746327	-1.0561197996139526e-05
Che_2021_Cell_Discov	653953	0.04596049338579178	0.017797684644826003	-0.000460553914308548
Chen_2024_Cancer_Cell	606640	0.07341832667589188	0.03995562823820421	0.02699727937579155
Giguelay_2022_Theranostics	662015	0.04524073377251625	0.017482760524006536	-0.001180313527584076
Guo_2022_JCI_Insight	662298	0.04718354716897011	0.019711309489002835	0.0007624998688697815
HTAPP_HTAN	645762	0.0531170628964901	0.025297008059434876	0.0066960155963897705
Harmon_2023_Nat_Cancer	665375	0.04634584113955498	0.018363552802524573	-7.520616054534912e-05
Huang_2024_Nat_Cancer	665371	0.04641184210777283	0.018489867687468423	-9.20519232749939e-06
Ji_2024_PLoS_Genet	659680	0.04496614634990692	0.01789701281794837	-0.0014549009501934052
Ji_2024_Cancer_Lett	655204	0.04596591740846634	0.017780701187221436	-0.0004551298916339874
Joanito_2022_Nat_Genet	639622	0.03472895547747612	-0.0026498208547580944	-0.011692091822624207
Khaliq_2022_Genome_Biol	658332	0.04702194035053253	0.018903546247240027	0.0006008930504322052
Lee_2020_Nat_Genet	635732	0.0321849063038826	-0.0028637032729532386	-0.014236140996217728
Li_2017_Nat_Genet	665419	0.04642978310585022	0.018514010263736128	8.735805749893188e-06
Li_2023_Cancer_Cell	629113	0.045015573501586914	0.01266511207245159	-0.0014054737985134125
Liu_2024_Cancer_Res	618972	0.044621676206588745	0.009428202031165995	-0.0017993710935115814
MUI_Innsbruck	649617	0.03861328959465027	0.012219113418780925	-0.007807757705450058
Pelka_2021_Cell	564904	0.05239862576127052	0.052276462051948816	0.0059775784611701965
Qi_2022_Nat_Commun	658907	0.04675707221031189	0.01915629812306673	0.0003360249102115631
Qian_2020_Cell_Res	655720	0.04587792977690697	0.018377224052418553	-0.0005431175231933594
Qin_2023_Cell_Rep_Med	587007	0.0588407963514328	0.019309473885508625	0.012419749051332474
Sathe_2023_Clin_Cancer_Res	658757	0.04707717522978783	0.0190826781024961	0.0006561279296875
Terekhanova_2023_Nature	643277	-0.0071539669297635555	-0.015607441741091558	-0.05357501422986388
Tian_2023_Nat_Med	585101	0.09824448823928833	0.07291507853757463	0.051823440939188004
Uhlitz_2021_EMBO_Mol_Med	652279	0.0493578240275383	0.020643441382987352	0.002936776727437973
Chen_2021_Cell	632662	0.030856609344482422	-0.005201439279633621	-0.015564437955617905
Wang_2021_Adv_Sci	665166	0.046408407390117645	0.018463918000272448	-1.2639909982681274e-05
Wang_2023_Sci_Adv	642241	0.056670915335416794	0.03439655529120576	0.010249868035316467
Wu_2022_Cancer_Discov	665394	0.0464562252163887	0.018517346181730877	3.5177916288375854e-05
Wu_2024_Cell	665359	0.04641611874103546	0.01849100260135017	-4.928559064865112e-06
Yang_2023_Front_Oncol	663594	0.04353868588805199	0.016466135422001482	-0.00288236141204834
Zhang_2018_Nature	665465	0.04641754552721977	0.018496324266645825	-3.5017728805541992e-06
Zhang_2020_Cell	664902	0.046330906450748444	0.018270561099623456	-9.014084935188293e-05
Zheng_2022_Signal_Transduct_Target_Ther	652454	0.04452821612358093	0.016243154936409397	-0.001892831176519394
deVries_2023_Nature	665472	0.046422116458415985	0.018505051535177112	1.0691583156585693e-06
