study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	-0.02793111838400364	-0.05169005201952759	True	
Borras_2023_Cell_Discov	54	0.18741951882839203	0.036980556856437585	True	
Che_2021_Cell_Discov	11520	0.0039751422591507435	-0.027201137970913256	True	
Chen_2021_Cell	32811	-0.01568760722875595	-0.016843763673335194	True	
Chen_2024_Cancer_Cell	58833	-0.1490786075592041	-0.18744621319877172	True	
Giguelay_2022_Theranostics	3458	-0.040906552225351334	-0.10853780993987638	True	
Guo_2022_JCI_Insight	3175	-0.07172644883394241	-0.19960808826551718	True	
HTAPP_HTAN	19711	-0.07878603786230087	-0.11846719613474575	True	
Harmon_2023_Nat_Cancer	98	0.008075673133134842	0.020008574765927583	True	
Huang_2024_Nat_Cancer	102	0.16251374781131744	0.1889974524231653	True	
Ji_2024_Cancer_Lett	10269	0.18712036311626434	0.2248269136887006	True	
Ji_2024_PLoS_Genet	5793	0.06799515336751938	-0.05598157578045855	True	
Joanito_2022_Nat_Genet	25851	0.11883030086755753	0.04375803145662158	True	
Khaliq_2022_Genome_Biol	7141	0.0399395190179348	0.02191277938901662	True	
Lee_2020_Nat_Genet	29741	0.2668933570384979	0.17660956169119388	True	
Li_2017_Nat_Genet	54	-0.15369980037212372	-0.017874903457162354	True	
Li_2023_Cancer_Cell	36360	0.05764765292406082	0.07329767280792489	True	
Liu_2024_Cancer_Res	46501	0.07325570285320282	0.08569927730128059	True	
MUI_Innsbruck	15856	0.3593934178352356	0.3174837409969599	True	
Pelka_2021_Cell	100569	-0.02662915550172329	-0.08050624214539256	True	
Qi_2022_Nat_Commun	6566	0.009473235346376896	0.025900517635451512	True	
Qian_2020_Cell_Res	9753	0.08606109768152237	0.15136779536203063	True	
Qin_2023_Cell_Rep_Med	78466	0.0772336795926094	0.09448084700776303	True	
Sathe_2023_Clin_Cancer_Res	6716	0.04873356595635414	0.09837469539494072	True	
Terekhanova_2023_Nature	22196	0.03030128963291645	0.051991244404313415	True	
Tian_2023_Nat_Med	80372	-0.3078502118587494	-0.37174112927952824	True	
Uhlitz_2021_EMBO_Mol_Med	13194	0.07764964550733566	0.09941804869772466	True	
Wang_2021_Adv_Sci	307	0.19124332070350647	0.22155916121081382	True	
Wang_2023_Sci_Adv	23232	-0.0760776549577713	-0.21428071996479126	True	
Wu_2022_Cancer_Discov	79	-0.053856439888477325	-0.02569971184501731	True	
Wu_2024_Cell	114	0.1383579522371292	0.12521527438717245	True	
Yang_2023_Front_Oncol	1879	0.4212299883365631	0.39368913882295226	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	0.33799484372138977	0.4908100962643442	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	0.13565635681152344	0.20629819384447876	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
