left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	0.008060402236878872	0.011662103164475633	-5.9699639678001404e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	0.008110894821584225	0.011713019929658956	-9.20705497264862e-06
Bian_2018_Science||Bian_2018_Science.CRC06	665404	0.008165141567587852	0.011770642692790875	4.5039691030979156e-05
Bian_2018_Science||Bian_2018_Science.CRC09	665377	0.008116057142615318	0.011720062728791728	-4.044733941555023e-06
Bian_2018_Science||Bian_2018_Science.CRC10	665388	0.008114955388009548	0.01172140386549311	-5.146488547325134e-06
Bian_2018_Science||Bian_2018_Science.CRC11	665282	0.008108329027891159	0.011730531339986342	-1.1772848665714264e-05
Bian_2018_Science||Bian_2018_Science.CRC01	665155	0.008113841526210308	0.01172148069860065	-6.260350346565247e-06
Bian_2018_Science||Bian_2018_Science.CRC02	665347	0.008130867965519428	0.011731657544897944	1.0766088962554932e-05
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	0.00811842456459999	0.011714337549234588	-1.6773119568824768e-06
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	0.008110868744552135	0.01171173977943988	-9.233132004737854e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	0.00812016986310482	0.011716110021837247	6.798654794692993e-08
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	0.008119979873299599	0.01171589572237308	-1.2200325727462769e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	0.008121918886899948	0.011718283669236162	1.8170103430747986e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	0.008116277866065502	0.01170958214957441	-3.824010491371155e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	0.008115016855299473	0.011709497839296108	-5.085021257400513e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC125	665471	0.008121472783386707	0.011716316237742842	1.3709068298339844e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC126	665471	0.008116977289319038	0.011713135222886615	-3.1245872378349304e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC136	665467	0.008120408281683922	0.011716108747387356	3.0640512704849243e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC145	665470	0.008120005019009113	0.01171656873619684	-9.685754776000977e-08
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC174	665471	0.008121708407998085	0.01171743294581364	1.6065314412117004e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC179	665472	0.008115556091070175	0.011712600940119394	-4.545785486698151e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC180	665472	0.008118076249957085	0.011713677368083828	-2.0256265997886658e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC197	665472	0.008119964972138405	0.011715332702972831	-1.3690441846847534e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC200	665471	0.008121432736515999	0.01171605539315757	1.3308599591255188e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC216	665471	0.008119845762848854	0.011716101750658823	-2.561137080192566e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC234	665471	0.008120333775877953	0.01171647269261984	2.3189932107925415e-07
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL07	658662	0.008539934642612934	0.012272774128075592	0.0004198327660560608
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL12	664987	0.008172661066055298	0.011839853824613318	5.255918949842453e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL15	663522	0.007568350061774254	0.011050169159890934	-0.0005517518147826195
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL16	663821	0.007684831041842699	0.011136380238426672	-0.00043527083471417427
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL17	665280	0.00811774842441082	0.011715565293730305	-2.353452146053314e-06
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL18	665046	0.008005675859749317	0.011588570109482308	-0.00011442601680755615
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	659745	0.008396620862185955	0.011946887095091056	0.0002765189856290817
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	663924	0.008308273740112782	0.011870020325751754	0.0001881718635559082
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	657920	0.008903011679649353	0.012376354285080826	0.0007829098030924797
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	663854	0.00813254714012146	0.011686833501236225	1.244526356458664e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	661791	0.008380094543099403	0.011987259869180015	0.00025999266654253006
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	660774	0.008355630561709404	0.011852508298663909	0.00023552868515253067
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	663418	0.008154944516718388	0.0117494479029167	3.484264016151428e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	664819	0.008182665333151817	0.011774804393792379	6.2563456594944e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	660497	0.008073163218796253	0.01151422253505278	-4.693865776062012e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	662282	0.008320776745676994	0.011903374530765402	0.000200674869120121
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	664151	0.008120664395391941	0.011705534175118682	5.62518835067749e-07
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	663602	0.008112611249089241	0.01168540669062777	-7.490627467632294e-06
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	661037	0.008387264795601368	0.011950935048951578	0.00026716291904449463
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	661223	0.008411910384893417	0.011990378471152812	0.00029180850833654404
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	664012	0.00823906809091568	0.011857660830296612	0.00011896621435880661
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	664103	0.00806414894759655	0.011660580853459222	-5.5952928960323334e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	663637	0.008218832314014435	0.011817943201125317	9.873043745756149e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	660783	0.00825733132660389	0.011792202376326213	0.00013722945004701614
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	664591	0.008171193301677704	0.011720262230761128	5.1091425120830536e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	664464	0.00811723992228508	0.011693151572250576	-2.8619542717933655e-06
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P1	664667	0.008046567440032959	0.011707845411195869	-7.353443652391434e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P2	664943	0.008166004903614521	0.011797359158055049	4.5903027057647705e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P4	663954	0.0075861187651753426	0.011241271711209071	-0.0005339831113815308
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P5	665420	0.008089800365269184	0.011697657769258261	-3.030151128768921e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P3	664923	0.008140978403389454	0.011811730701544574	2.0876526832580566e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC1	664951	0.008016398176550865	0.011621614288176905	-0.00010370370000600815
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC2	664559	0.007970326580107212	0.01152131001955799	-0.00014977529644966125
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC3	665261	0.008069219067692757	0.011641770370164554	-5.088280886411667e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC1	665257	0.00810998771339655	0.011701342717337243	-1.0114163160324097e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC2	665193	0.008154726587235928	0.01174104296079092	3.462471067905426e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC3	664442	0.008135070092976093	0.01171205376088097	1.496821641921997e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_272	664722	0.008093923330307007	0.011698643983513666	-2.6178546249866486e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_273	664852	0.008060887455940247	0.011615642757055336	-5.921442061662674e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_326	664018	0.008646786212921143	0.01207906204572211	0.0005266843363642693
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_335	664454	0.007642601151019335	0.011359943861041066	-0.00047750072553753853
