left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	0.012013043276965618	0.016614498604843164	-5.741603672504425e-05
Borras_2023_Cell_Discov	665419	0.012042663991451263	0.016557377230409894	-2.7795322239398956e-05
Che_2021_Cell_Discov	653953	0.01112575363367796	0.01538763570164854	-0.0009447056800127029
Chen_2024_Cancer_Cell	606640	0.01632412150502205	0.020297858553164776	0.0042536621913313866
Giguelay_2022_Theranostics	662015	0.011373280547559261	0.0160755375398476	-0.0006971787661314011
Guo_2022_JCI_Insight	662298	0.01177950669080019	0.01617716362129239	-0.0002909526228904724
HTAPP_HTAN	645762	0.01000340934842825	0.014570849406176142	-0.002067049965262413
Harmon_2023_Nat_Cancer	665375	0.012038229033350945	0.01654122813244652	-3.2230280339717865e-05
Huang_2024_Nat_Cancer	665371	0.012070723809301853	0.01658765541101423	2.644956111907959e-07
Ji_2024_PLoS_Genet	659680	0.011546572670340538	0.016297544095205594	-0.0005238866433501244
Ji_2024_Cancer_Lett	655204	0.0117746377363801	0.01590365592862579	-0.00029582157731056213
Joanito_2022_Nat_Genet	639622	0.012225241400301456	0.01675033750095372	0.00015478208661079407
Khaliq_2022_Genome_Biol	658332	0.01184872630983591	0.01625745917575597	-0.0002217330038547516
Lee_2020_Nat_Genet	635732	0.010100592859089375	0.01388183713678297	-0.001969866454601288
Li_2017_Nat_Genet	665419	0.012060358189046383	0.016572574290403513	-1.010112464427948e-05
Li_2023_Cancer_Cell	629113	0.011156706139445305	0.015396541454381464	-0.0009137531742453575
Liu_2024_Cancer_Res	618972	0.010650880634784698	0.014484971680513558	-0.001419578678905964
MUI_Innsbruck	649617	0.011215678416192532	0.016062644779136385	-0.0008547808974981308
Pelka_2021_Cell	564904	0.011743106879293919	0.020244634912248965	-0.0003273524343967438
Qi_2022_Nat_Commun	658907	0.011721438728272915	0.01611467070332481	-0.0003490205854177475
Qian_2020_Cell_Res	655720	0.011446674354374409	0.015754122082930932	-0.0006237849593162537
Qin_2023_Cell_Rep_Med	587007	0.014893644489347935	0.017873129095133833	0.0028231851756572723
Sathe_2023_Clin_Cancer_Res	658757	0.012953718192875385	0.017300051640352084	0.0008832588791847229
Terekhanova_2023_Nature	643277	0.006227887235581875	0.012902351540097383	-0.0058425720781087875
Tian_2023_Nat_Med	585101	0.02072092518210411	0.024096416598176493	0.008650465868413448
Uhlitz_2021_EMBO_Mol_Med	652279	0.012890293262898922	0.017349011785162814	0.0008198339492082596
Chen_2021_Cell	632662	0.01425163447856903	0.01917856409048407	0.0021811751648783684
Wang_2021_Adv_Sci	665166	0.012069215066730976	0.016595256295672163	-1.2442469596862793e-06
Wang_2023_Sci_Adv	642241	0.011606940068304539	0.015765732241383706	-0.00046351924538612366
Wu_2022_Cancer_Discov	665394	0.012063192203640938	0.01656417872184476	-7.267110049724579e-06
Wu_2024_Cell	665359	0.012060347013175488	0.01656920404747292	-1.0112300515174866e-05
Yang_2023_Front_Oncol	663594	0.012406890280544758	0.016819136606795793	0.00033643096685409546
Zhang_2018_Nature	665465	0.012067400850355625	0.016578124952157443	-3.0584633350372314e-06
Zhang_2020_Cell	664902	0.01172523945569992	0.016095183234166383	-0.00034521985799074173
Zheng_2022_Signal_Transduct_Target_Ther	652454	0.011858251877129078	0.0164789685574926	-0.00021220743656158447
deVries_2023_Nature	665472	0.012071451172232628	0.016587536961707647	9.918585419654846e-07
