study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.017469658399932086	-0.016626558323641745	1103	0.05269761383533478	0.019485704023491736
Borras_2023_Cell_Discov	18	1	0.029720645397901535	0.00245398773006135	54	0.0214117132127285	-0.012341675577423331
Che_2021_Cell_Discov	6	6	0.07548865644882123	0.09279443022972522	11520	0.04016088321805	0.06351537416267768
Chen_2021_Cell	101	94	-0.013480351279871142	-0.013809725499974135	32811	-0.017396973446011543	-0.017701576922162194
Chen_2024_Cancer_Cell	20	20	-0.0028565938293468205	0.004363186839876509	58833	-0.022998493164777756	-0.012610746919194683
Giguelay_2022_Theranostics	5	5	-0.015769122261554004	-0.018428091084640757	3458	0.013907069340348244	-0.001239425551477274
Guo_2022_JCI_Insight	6	6	0.13737767280933136	0.1777911300602908	3175	0.082137331366539	0.11184952573795266
HTAPP_HTAN	20	20	0.03693764414638281	0.060132214823870565	19711	0.03895510360598564	0.05664014018064483
Harmon_2023_Nat_Cancer	1	1	-0.09805389493703842	-0.005880861991089515	98	-0.09805389493703842	-0.005880861991089515
Huang_2024_Nat_Cancer	3	2	0.040879035368561745	-0.00857520609216203	102	0.0705995038151741	0.06938365161750956
Ji_2024_Cancer_Lett	2	2	0.012722371146082878	0.02882065476483396	10269	0.029902897775173187	0.05243893914239014
Ji_2024_PLoS_Genet	3	3	0.004135094583034515	-0.01913079659688295	5793	0.011345512233674526	-0.023743366665966444
Joanito_2022_Nat_Genet	31	31	0.0238661222500659	0.032181400664129056	25851	0.02036326378583908	0.04438306887528914
Khaliq_2022_Genome_Biol	16	15	0.032318345022698244	0.03000827356820119	7141	0.043486952781677246	0.05486179346289278
Lee_2020_Nat_Genet	34	34	0.03450274353792124	0.027113531669867092	29741	0.04218800365924835	0.05354812343038891
Li_2017_Nat_Genet	10	1	-0.3097537159919739	-0.10478387094298722	54	0.19849886000156403	0.22876929715500285
Li_2023_Cancer_Cell	19	19	-0.02393275674579567	-0.022302364541752103	36360	0.012707734480500221	0.018724622875889073
Liu_2024_Cancer_Res	16	16	0.02358942141290754	0.014328303024242848	46501	0.02706148475408554	0.034649921351531776
MUI_Innsbruck	12	12	0.076385248452425	0.05537039887231412	15856	0.0652109682559967	0.06023606792939777
Pelka_2021_Cell	62	62	0.023293858619346734	0.0232323039102327	100569	0.014847511425614357	0.011192327365895165
Qi_2022_Nat_Commun	5	5	0.06773642821935937	0.06888023567556431	6566	0.05568845197558403	0.049189934340724155
Qian_2020_Cell_Res	7	7	0.07545580315802779	0.06814486384633403	9753	0.06873778998851776	0.07101589608819978
Qin_2023_Cell_Rep_Med	29	29	0.0007047173406543402	0.011896600739044933	78466	0.009447496384382248	0.01821328021494895
Sathe_2023_Clin_Cancer_Res	4	3	-0.08281854291756947	-0.07336755882625996	6716	-0.1914854347705841	-0.2790667869638709
Terekhanova_2023_Nature	5	5	-0.025894728302955628	-0.02132788793955493	22196	-0.018683353438973427	-0.014342819433965917
Tian_2023_Nat_Med	27	25	-0.018436544351279737	-0.01739725009302829	80372	-0.015501238405704498	-0.009450775601179486
Uhlitz_2021_EMBO_Mol_Med	12	12	-0.026945225118348997	-0.00720440549872195	13194	-0.02523171529173851	-0.013673552945724523
Wang_2021_Adv_Sci	8	7	0.07857547221439225	0.06518116008464378	307	0.026882072910666466	0.013086536880721861
Wang_2023_Sci_Adv	6	5	-0.028438144735991953	-0.04016194169056919	23232	0.012689048424363136	0.022708541780930205
Wu_2022_Cancer_Discov	7	3	-0.24364082934334874	-0.1720744899960337	79	-0.23747585713863373	-0.22277767440280097
Wu_2024_Cell	6	3	0.14484044816344976	0.33742651908893323	114	0.04397301375865936	0.12032693857706872
Yang_2023_Front_Oncol	1	1	0.028025196865200996	0.05121610787484788	1879	0.028025196865200996	0.05121610787484788
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	-0.002698669908568263	-0.03895495542652551	571	-0.07364963740110397	-0.05018318387082488
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.01823311927728355	0.030987663898152173	13019	0.016605950891971588	0.029633342301380004
deVries_2023_Nature	1	0			1		
