study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	0.04866093397140503	0.01621268012124707	True	
Borras_2023_Cell_Discov	54	-0.04315613955259323	-0.0851336036610662	True	
Che_2021_Cell_Discov	11520	0.025338370352983475	0.03717589075586974	True	
Chen_2021_Cell	32811	-0.012279660440981388	-0.010923983863941904	True	
Chen_2024_Cancer_Cell	58833	-0.019540417939424515	-0.009322632906797957	True	
Giguelay_2022_Theranostics	3458	0.005734776146709919	-0.010968291294673669	True	
Guo_2022_JCI_Insight	3175	0.0740564614534378	0.10171528912889018	True	
HTAPP_HTAN	19711	0.038545455783605576	0.05696229325910566	True	
Harmon_2023_Nat_Cancer	98	-0.09906737506389618	-0.006468996155097137	True	
Huang_2024_Nat_Cancer	102	0.0789349153637886	0.12398539648850085	True	
Ji_2024_Cancer_Lett	10269	0.03296523168683052	0.057642332055000196	True	
Ji_2024_PLoS_Genet	5793	-0.003640537615865469	-0.026935044385227296	True	
Joanito_2022_Nat_Genet	25851	0.024729525670409203	0.046636267632948425	True	
Khaliq_2022_Genome_Biol	7141	0.04368692263960838	0.05256172592692216	True	
Lee_2020_Nat_Genet	29741	0.046643417328596115	0.05303511370654839	True	
Li_2017_Nat_Genet	54	0.23715047538280487	0.22223235593034188	True	
Li_2023_Cancer_Cell	36360	0.019107896834611893	0.022737337369710457	True	
Liu_2024_Cancer_Res	46501	0.021610742434859276	0.02058074680969291	True	
MUI_Innsbruck	15856	0.07734982669353485	0.07741693264864136	True	
Pelka_2021_Cell	100569	0.011417129077017307	0.009639616099989676	True	
Qi_2022_Nat_Commun	6566	0.05124521628022194	0.04346068411200457	True	
Qian_2020_Cell_Res	9753	0.06728417426347733	0.06611181907373513	True	
Qin_2023_Cell_Rep_Med	78466	0.007859323173761368	0.014686516171871252	True	
Sathe_2023_Clin_Cancer_Res	6716	-0.18211226165294647	-0.26254909018872075	True	
Terekhanova_2023_Nature	22196	-0.019375594332814217	-0.015097830776368462	True	
Tian_2023_Nat_Med	80372	-0.02540835365653038	-0.02014136934719202	True	
Uhlitz_2021_EMBO_Mol_Med	13194	-0.028323180973529816	-0.021599573378555885	True	
Wang_2021_Adv_Sci	307	0.0187902320176363	0.01021650885227274	True	
Wang_2023_Sci_Adv	23232	0.016070101410150528	0.02597562722245703	True	
Wu_2022_Cancer_Discov	79	-0.24762257933616638	-0.23499181486066892	True	
Wu_2024_Cell	114	0.04810553789138794	0.12343095771372366	True	
Yang_2023_Front_Oncol	1879	0.054207950830459595	0.0707699360149987	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	-0.08632069826126099	-0.03950517726166593	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	0.0217874925583601	0.03123561008745196	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
