left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	-0.02473149634897709	-0.014977495514199192	-2.7105212211608887e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	-0.024681011214852333	-0.014915953150488	2.3379921913146973e-05
Bian_2018_Science||Bian_2018_Science.CRC06	665404	-0.024718644097447395	-0.014957555706832154	-1.4252960681915283e-05
Bian_2018_Science||Bian_2018_Science.CRC09	665377	-0.024733159691095352	-0.014980094597202781	-2.876855432987213e-05
Bian_2018_Science||Bian_2018_Science.CRC10	665388	-0.024715453386306763	-0.014952659016810225	-1.1062249541282654e-05
Bian_2018_Science||Bian_2018_Science.CRC11	665282	-0.02469046600162983	-0.014931033966643787	1.3925135135650635e-05
Bian_2018_Science||Bian_2018_Science.CRC01	665155	-0.024549780413508415	-0.01477522192477427	0.00015461072325706482
Bian_2018_Science||Bian_2018_Science.CRC02	665347	-0.02474047988653183	-0.015008286652063644	-3.608874976634979e-05
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	-0.024706806987524033	-0.014947921006484977	-2.4158507585525513e-06
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	-0.024710621684789658	-0.014949110266184383	-6.230548024177551e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	-0.02470315247774124	-0.014943491182867625	1.2386590242385864e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	-0.024700690060853958	-0.014942280958289523	3.7010759115219116e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	-0.02470526657998562	-0.01494541756345753	-8.754432201385498e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	-0.024707119911909103	-0.014947012633927687	-2.728775143623352e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	-0.02471158653497696	-0.014949915115514613	-7.195398211479187e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC125	665471	-0.024702537804841995	-0.014943341738807372	1.8533319234848022e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC126	665471	-0.024708643555641174	-0.014949087403307007	-4.252418875694275e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC136	665467	-0.024706488475203514	-0.014944488571730193	-2.0973384380340576e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC145	665470	-0.02470633201301098	-0.014946125133355345	-1.9408762454986572e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC174	665471	-0.0247033778578043	-0.014943595888543026	1.0132789611816406e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC179	665472	-0.024701472371816635	-0.01494233935277862	2.9187649488449097e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC180	665472	-0.024705644696950912	-0.014946347428018857	-1.253560185432434e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC197	665472	-0.024704625830054283	-0.014946191614615629	-2.3469328880310059e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC200	665471	-0.02470455691218376	-0.014944921346319542	-1.6577541828155518e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC216	665471	-0.024703767150640488	-0.014943363582810341	6.239861249923706e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC234	665471	-0.02470378950238228	-0.014944396407904629	6.016343832015991e-07
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL07	658662	-0.028286760672926903	-0.017977596146811464	-0.0035823695361614227
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL12	664987	-0.024752793833613396	-0.014874002683377203	-4.840269684791565e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL15	663522	-0.02560650184750557	-0.015837915799494985	-0.0009021107107400894
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL16	663821	-0.024753425270318985	-0.015119638694688567	-4.9034133553504944e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL17	665280	-0.02472260221838951	-0.01491231034587434	-1.8211081624031067e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL18	665046	-0.024825913831591606	-0.015065217238460864	-0.0001215226948261261
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	659745	-0.024270011112093925	-0.014527718912689907	0.00043438002467155457
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	663924	-0.024488629773259163	-0.014790770234335128	0.00021576136350631714
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	657920	-0.024813387542963028	-0.014930229138603873	-0.00010899640619754791
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	663854	-0.02460242435336113	-0.014822877841512157	0.00010196678340435028
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	661791	-0.025234907865524292	-0.01546338641228571	-0.000530516728758812
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	660774	-0.024284260347485542	-0.014455034511870635	0.00042013078927993774
