left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	-0.030692964792251587	-0.023655017661196973	5.852244794368744e-05
Borras_2023_Cell_Discov	665419	-0.030765226110816002	-0.0237421417942275	-1.3738870620727539e-05
Che_2021_Cell_Discov	653953	-0.03564590960741043	-0.02798432864797628	-0.0048944223672151566
Chen_2024_Cancer_Cell	606640	-0.027511870488524437	-0.020056913182382716	0.0032396167516708374
Giguelay_2022_Theranostics	662015	-0.030613720417022705	-0.023626640441436097	0.00013776682317256927
Guo_2022_JCI_Insight	662298	-0.03141126409173012	-0.024359707105482614	-0.0006597768515348434
HTAPP_HTAN	645762	-0.03328041359782219	-0.02439689975301574	-0.002528926357626915
Harmon_2023_Nat_Cancer	665375	-0.03077865205705166	-0.023774834446393278	-2.7164816856384277e-05
Huang_2024_Nat_Cancer	665371	-0.030759939923882484	-0.02375136278660895	-8.452683687210083e-06
Ji_2024_PLoS_Genet	659680	-0.02951303869485855	-0.02248708064753575	0.0012384485453367233
Ji_2024_Cancer_Lett	655204	-0.03317626938223839	-0.026276598804523033	-0.0024247821420431137
Joanito_2022_Nat_Genet	639622	-0.03505357354879379	-0.030588235881497065	-0.004302086308598518
Khaliq_2022_Genome_Biol	658332	-0.031178411096334457	-0.024055135499392987	-0.00042692385613918304
Lee_2020_Nat_Genet	635732	-0.031488269567489624	-0.024497646071964398	-0.0007367823272943497
Li_2017_Nat_Genet	665419	-0.03075939044356346	-0.023742583810872353	-7.90320336818695e-06
Li_2023_Cancer_Cell	629113	-0.03778081759810448	-0.02979686881957595	-0.007029330357909203
Liu_2024_Cancer_Res	618972	-0.02946493588387966	-0.022935718718051914	0.0012865513563156128
MUI_Innsbruck	649617	-0.03489067032933235	-0.025697024872066366	-0.004139183089137077
Pelka_2021_Cell	564904	-0.03555246442556381	-0.03004970765491694	-0.004800977185368538
Qi_2022_Nat_Commun	658907	-0.030695989727973938	-0.023641425887594145	5.5497512221336365e-05
Qian_2020_Cell_Res	655720	-0.03158758580684662	-0.024317658115500494	-0.0008360985666513443
Qin_2023_Cell_Rep_Med	587007	-0.025923920795321465	-0.018233716605473967	0.00482756644487381
Sathe_2023_Clin_Cancer_Res	658757	-0.030982473865151405	-0.023750761929132534	-0.00023098662495613098
Terekhanova_2023_Nature	643277	-0.03282293304800987	-0.024609711113772508	-0.002071445807814598
Tian_2023_Nat_Med	585101	-0.011955874972045422	-0.014367024899712907	0.018795612268149853
Uhlitz_2021_EMBO_Mol_Med	652279	-0.0300204548984766	-0.023038830815945925	0.0007310323417186737
Chen_2021_Cell	632662	-0.024578142911195755	-0.015156469579714841	0.006173344328999519
Wang_2021_Adv_Sci	665166	-0.030702736228704453	-0.023660211578540192	4.875101149082184e-05
Wang_2023_Sci_Adv	642241	-0.02806513011455536	-0.019671578244228008	0.0026863571256399155
Wu_2022_Cancer_Discov	665394	-0.030749348923563957	-0.023719095572740406	2.1383166313171387e-06
Wu_2024_Cell	665359	-0.03073420189321041	-0.023712278486454047	1.728534698486328e-05
Yang_2023_Front_Oncol	663594	-0.03158280998468399	-0.024039314455101976	-0.0008313227444887161
Zhang_2018_Nature	665465	-0.03075072355568409	-0.023733689226636417	7.636845111846924e-07
Zhang_2020_Cell	664902	-0.031051646918058395	-0.024130293790634944	-0.00030015967786312103
Zheng_2022_Signal_Transduct_Target_Ther	652454	-0.031097250059247017	-0.0242397382641548	-0.00034576281905174255
deVries_2023_Nature	665472	-0.030751721933484077	-0.023735124129982396	-2.3469328880310059e-07
