study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.025378949474543333	0.016750019979651757	1103	-0.07006349414587021	-0.06671294634721071
Borras_2023_Cell_Discov	18	1	0.2246282398700714	0.11363644938732821	54	0.11874017864465714	0.09558781452628994
Che_2021_Cell_Discov	6	6	0.019572777673602104	-0.06350184441636209	11520	0.06831473112106323	0.012081758039508615
Chen_2021_Cell	101	94	0.015568665114226454	0.016039724326846805	32811	-0.010615596547722816	-0.017117530050563178
Chen_2024_Cancer_Cell	20	20	-0.02776592076988891	-0.03010814144631439	58833	-0.035052891820669174	-0.035885432696558785
Giguelay_2022_Theranostics	5	5	0.011678993259556592	0.008838949217346074	3458	-0.0025956244207918644	-0.007848427050748693
Guo_2022_JCI_Insight	6	6	0.0038334447890520096	-0.02840888154635025	3175	0.058266229927539825	0.06798849870299788
HTAPP_HTAN	20	20	0.037163247773423794	0.012843530569181898	19711	0.05094880238175392	0.022950348817495695
Harmon_2023_Nat_Cancer	1	1	0.23921746015548706	0.20015121665208027	98	0.23921746015548706	0.20015121665208027
Huang_2024_Nat_Cancer	3	2	0.1832643523812294	0.25294793725990283	102	0.08958522975444794	0.1392858352402493
Ji_2024_Cancer_Lett	2	2	0.13512970134615898	0.1519520332713746	10269	0.1265706717967987	0.12915394462635746
Ji_2024_PLoS_Genet	3	3	-0.11013663684328397	-0.10183160479118618	5793	-0.10389506071805954	-0.09872583422235005
Joanito_2022_Nat_Genet	31	31	0.06491436420248882	0.07721654292196835	25851	0.02862771414220333	0.029888960662782012
Khaliq_2022_Genome_Biol	16	15	0.04883079615732034	0.028748125641199964	7141	0.013443158008158207	0.0039437430866599964
Lee_2020_Nat_Genet	34	34	-0.010924586403074072	-0.01901991407297581	29741	-0.09277169406414032	-0.09952108638770757
Li_2017_Nat_Genet	10	1	-0.030102966353297234	0.15034207570080774	54	-0.08108203858137131	-0.18902615915183954
Li_2023_Cancer_Cell	19	19	0.004299380141004038	0.009202431866440325	36360	0.01142876222729683	-0.0040231832763885315
Liu_2024_Cancer_Res	16	16	-0.00798684760229662	0.0031698471789647683	46501	0.0015773401828482747	0.00671816248161757
MUI_Innsbruck	12	12	0.19524686054016152	0.14191413402142317	15856	0.2423621118068695	0.21742799796846995
Pelka_2021_Cell	62	62	0.005839728998140462	0.011387025563194497	100569	0.0035837297327816486	0.004491936112562303
Qi_2022_Nat_Commun	5	5	-0.043845070712268355	-0.04847169025818991	6566	-0.03863992914557457	-0.03826333724968809
Qian_2020_Cell_Res	7	7	0.019678069977089763	0.026080206989314764	9753	0.029904892668128014	0.04274420068259529
Qin_2023_Cell_Rep_Med	29	29	-0.04650790541400683	-0.054791347773166355	78466	-0.04521408677101135	-0.05361391570753439
Sathe_2023_Clin_Cancer_Res	4	3	-0.01862065385406216	-0.024256815234467013	6716	-0.013933815062046051	-0.02854353968248274
Terekhanova_2023_Nature	5	5	0.04809749508276582	0.03889887347370632	22196	-0.019370662048459053	-0.012601363941078528
Tian_2023_Nat_Med	27	25	0.007242263347143308	-0.0009915964906125967	80372	-0.1594458371400833	-0.09906384075804306
Uhlitz_2021_EMBO_Mol_Med	12	12	0.02405373298097402	0.017520274149204002	13194	0.011227725073695183	0.0013484748486332536
Wang_2021_Adv_Sci	8	7	0.041043070810181756	-0.009769624383779318	307	-0.10648929327726364	-0.16630583596621593
Wang_2023_Sci_Adv	6	5	0.03476523794233799	0.013534157482905184	23232	-0.027982469648122787	-0.0390799919328907
Wu_2022_Cancer_Discov	7	3	0.17484210214267173	0.13724246756846914	79	0.08899274468421936	0.11271062075533833
Wu_2024_Cell	6	3	0.26743748287359875	0.10173680204743889	114	0.02016325667500496	0.0025333903151160838
Yang_2023_Front_Oncol	1	1	0.29897716641426086	0.2794390120571258	1879	0.29897716641426086	0.2794390120571258
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	-0.08170961122959852	-0.04193221011543098	571	-0.10925015807151794	-0.09456543883495494
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.0034359092824161053	0.002429831236460494	13019	-0.00013205493451096117	-0.0016422697001878272
deVries_2023_Nature	1	0			1		
