study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	-0.07029205560684204	-0.05284778418321383	True	
Borras_2023_Cell_Discov	54	0.13891981542110443	0.11434947693486136	True	
Che_2021_Cell_Discov	11520	0.0655381977558136	0.01019729189837746	True	
Chen_2021_Cell	32811	-0.015609469264745712	-0.02080009636800647	True	
Chen_2024_Cancer_Cell	58833	-0.038980141282081604	-0.04100052065328518	True	
Giguelay_2022_Theranostics	3458	-0.01431298814713955	-0.017751626300555105	True	
Guo_2022_JCI_Insight	3175	0.051896821707487106	0.06771786864089056	True	
HTAPP_HTAN	19711	0.05581126734614372	0.03278433686569667	True	
Harmon_2023_Nat_Cancer	98	0.24011145532131195	0.16553391174116627	True	
Huang_2024_Nat_Cancer	102	0.12032037228345871	0.1451311735651895	True	
Ji_2024_Cancer_Lett	10269	0.11654555052518845	0.1216254404251306	True	
Ji_2024_PLoS_Genet	5793	-0.1043752133846283	-0.1026613292125091	True	
Joanito_2022_Nat_Genet	25851	0.020018968731164932	0.017424662745438704	True	
Khaliq_2022_Genome_Biol	7141	0.018330302089452744	0.013655917622906357	True	
Lee_2020_Nat_Genet	29741	-0.06806273758411407	-0.0655985877434341	True	
Li_2017_Nat_Genet	54	-0.16981585323810577	-0.21033024522235322	True	
Li_2023_Cancer_Cell	36360	0.010785522870719433	-0.009609942553445435	True	
Liu_2024_Cancer_Res	46501	0.006789945065975189	0.0147103333027475	True	
MUI_Innsbruck	15856	0.24296258389949799	0.22699469864122088	True	
Pelka_2021_Cell	100569	0.014315593056380749	0.01456413864097785	True	
Qi_2022_Nat_Commun	6566	-0.02913518436253071	-0.030014585131616065	True	
Qian_2020_Cell_Res	9753	0.05274153873324394	0.06423277660127415	True	
Qin_2023_Cell_Rep_Med	78466	-0.04129961133003235	-0.051333230118872315	True	
Sathe_2023_Clin_Cancer_Res	6716	-0.01601698063313961	-0.02583264412753896	True	
Terekhanova_2023_Nature	22196	-0.015545060858130455	-0.010815122856625638	True	
Tian_2023_Nat_Med	80372	-0.14246340095996857	-0.0923560473861884	True	
Uhlitz_2021_EMBO_Mol_Med	13194	0.0037114389706403017	-0.005664326068393742	True	
Wang_2021_Adv_Sci	307	-0.11617936193943024	-0.1741795590404533	True	
Wang_2023_Sci_Adv	23232	-0.029387574642896652	-0.038621921971446836	True	
Wu_2022_Cancer_Discov	79	0.07819000631570816	0.06283490946620283	True	
Wu_2024_Cell	114	0.015884989872574806	-0.013448290392956431	True	
Yang_2023_Front_Oncol	1879	0.31633901596069336	0.29813555747653914	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	-0.12342154234647751	-0.09914977481358335	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	-0.00142800179310143	-0.0034338574664996035	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
