left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	0.09214122593402863	0.006085661666426974	-4.310905933380127e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	0.09215565025806427	0.006109051761142444	-2.8684735298156738e-05
Bian_2018_Science||Bian_2018_Science.CRC06	665404	0.0921979770064354	0.006115126205522498	1.364201307296753e-05
Bian_2018_Science||Bian_2018_Science.CRC09	665377	0.09219533205032349	0.006118993549248595	1.099705696105957e-05
Bian_2018_Science||Bian_2018_Science.CRC10	665388	0.09220105409622192	0.0061353153449621315	1.671910285949707e-05
Bian_2018_Science||Bian_2018_Science.CRC11	665282	0.09221578389406204	0.006155273453643451	3.144890069961548e-05
Bian_2018_Science||Bian_2018_Science.CRC01	665155	0.09241153299808502	0.006343470696825223	0.00022719800472259521
Bian_2018_Science||Bian_2018_Science.CRC02	665347	0.09212099760770798	0.006039849439805656	-6.333738565444946e-05
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	0.09218499064445496	0.006122394900997607	6.556510925292969e-07
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	0.0921885073184967	0.006124899924478369	4.172325134277344e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	0.0921860858798027	0.006122862848215009	1.7508864402770996e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	0.0921865701675415	0.006122049937543688	2.2351741790771484e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	0.0921851396560669	0.006124414388623164	8.046627044677734e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	0.09218762069940567	0.006123497663031289	3.285706043243408e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	0.09219121932983398	0.006124183583281383	6.884336471557617e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC125	665471	0.09218762814998627	0.006124805279615139	3.293156623840332e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC126	665471	0.09218009561300278	0.006118884835066148	-4.239380359649658e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC136	665467	0.09218662977218628	0.006121150897447362	2.294778823852539e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC145	665470	0.0921836867928505	0.006121163350784796	-6.48200511932373e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC174	665471	0.09218454360961914	0.006123487358280519	2.086162567138672e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC179	665472	0.09218569099903107	0.006122213505091884	1.3560056686401367e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC180	665472	0.09218384325504303	0.0061204707258900575	-4.917383193969727e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC197	665472	0.09218433499336243	0.006121689844892179	0.0
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC200	665471	0.09218334406614304	0.006121985535194691	-9.909272193908691e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC216	665471	0.09218646585941315	0.006125061588611503	2.130866050720215e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC234	665471	0.0921834334731102	0.006121936375805493	-9.015202522277832e-07
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL07	658662	0.09165600687265396	0.004033903131620641	-0.0005283281207084656
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL12	664987	0.09224790334701538	0.006307656286905718	6.35683536529541e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL15	663522	0.09255799651145935	0.006195447513764091	0.00037366151809692383
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL16	663821	0.09340516477823257	0.007318829975564596	0.0012208297848701477
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL17	665280	0.09226445853710175	0.006236618456720322	8.012354373931885e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL18	665046	0.0922689214348793	0.0062370093385278646	8.458644151687622e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	659745	0.09405534714460373	0.0082262768908385	0.0018710121512413025
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	663924	0.09266530722379684	0.0068405873585746305	0.0004809722304344177
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	657920	0.09497613459825516	0.007479199415411142	0.0027917996048927307
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	663854	0.09329749643802643	0.007135211794513932	0.0011131614446640015
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	661791	0.09221788495779037	0.004783652567961066	3.3549964427948e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	660774	0.09507140517234802	0.008502704106667307	0.0028870701789855957
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	663418	0.09269573539495468	0.00675248820141988	0.0005114004015922546
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	664819	0.09245796501636505	0.006300096290343549	0.0002736300230026245
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	660497	0.09449923783540726	0.008146923742639726	0.0023149028420448303
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	662282	0.09437234699726105	0.008086181223487659	0.0021880120038986206
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	664151	0.09268755465745926	0.006435774157064887	0.0005032196640968323
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	663602	0.09267773479223251	0.006644103521903005	0.0004933997988700867
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	661037	0.09253362566232681	0.006575492759313156	0.000349290668964386
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	661223	0.09333065152168274	0.007254838847529761	0.0011463165283203125
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	664012	0.09246198832988739	0.006625279909605368	0.0002776533365249634
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	664103	0.09216867387294769	0.005918626859479422	-1.5661120414733887e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	663637	0.09337302297353745	0.007204933247875297	0.0011886879801750183
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	660783	0.09572801738977432	0.009113924978640464	0.0035436823964118958
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	664591	0.09254202246665955	0.006260554816972657	0.00035768747329711914
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	664464	0.09263138473033905	0.006568385965251919	0.00044704973697662354
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P1	664667	0.09218728542327881	0.006318684996452156	2.950429916381836e-06
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P2	664943	0.09192325919866562	0.005702740452115764	-0.00026107579469680786
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P4	663954	0.09155876934528351	0.00539631175331755	-0.0006255656480789185
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P5	665420	0.09216077625751495	0.00611434189680571	-2.3558735847473145e-05
