left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	0.09964016824960709	0.012722511102857206	0.00012677162885665894
Borras_2023_Cell_Discov	665419	0.09953828155994415	0.012619201425627594	2.4884939193725586e-05
Che_2021_Cell_Discov	653953	0.10119719058275223	0.01286352373067283	0.0016837939620018005
Chen_2024_Cancer_Cell	606640	0.12496025860309601	0.03493277646877972	0.02544686198234558
Giguelay_2022_Theranostics	662015	0.09837932139635086	0.011472156481428585	-0.0011340752243995667
Guo_2022_JCI_Insight	662298	0.10122663527727127	0.014253224133136873	0.0017132386565208435
HTAPP_HTAN	645762	0.10825653374195099	0.02159045314721592	0.008743137121200562
Harmon_2023_Nat_Cancer	665375	0.0994480773806572	0.012499435285747283	-6.53192400932312e-05
Huang_2024_Nat_Cancer	665371	0.09952735155820847	0.012626667889595357	1.395493745803833e-05
Ji_2024_PLoS_Genet	659680	0.09854897856712341	0.012244033504480877	-0.0009644180536270142
Ji_2024_Cancer_Lett	655204	0.10236097872257233	0.013179207659943761	0.0028475821018218994
Joanito_2022_Nat_Genet	639622	0.09440428018569946	0.0016473467902226816	-0.005109116435050964
Khaliq_2022_Genome_Biol	658332	0.09984816610813141	0.012646272774602183	0.00033476948738098145
Lee_2020_Nat_Genet	635732	0.08440515398979187	-0.012428139733743382	-0.015108242630958557
Li_2017_Nat_Genet	665419	0.0995071530342102	0.012605828070550874	-6.243586540222168e-06
Li_2023_Cancer_Cell	629113	0.10549428313970566	0.011239908986664061	0.005980886518955231
Liu_2024_Cancer_Res	618972	0.11087112128734589	0.01659930319610679	0.011357724666595459
MUI_Innsbruck	649617	0.09309394657611847	0.0075066179919079865	-0.006419450044631958
Pelka_2021_Cell	564904	0.11223192512989044	0.0471855594109512	0.012718528509140015
Qi_2022_Nat_Commun	658907	0.10061056166887283	0.014459078969538677	0.001097165048122406
Qian_2020_Cell_Res	655720	0.10054881125688553	0.014472075184038015	0.0010354146361351013
Qin_2023_Cell_Rep_Med	587007	0.11392627656459808	0.017451376537486914	0.014412879943847656
Sathe_2023_Clin_Cancer_Res	658757	0.10090483725070953	0.013517268898605517	0.0013914406299591064
Terekhanova_2023_Nature	643277	-0.01865040697157383	-0.05150500369884225	-0.11816380359232426
Tian_2023_Nat_Med	585101	0.15119343996047974	0.06953358342970874	0.05168004333972931
Uhlitz_2021_EMBO_Mol_Med	652279	0.1075182557106018	0.015926857056846218	0.00800485908985138
Chen_2021_Cell	632662	0.091530442237854	-0.013383553367398698	-0.007982954382896423
Wang_2021_Adv_Sci	665166	0.09950535744428635	0.012540816272054568	-8.03917646408081e-06
Wang_2023_Sci_Adv	642241	0.10649546980857849	0.020530435090943967	0.006982073187828064
Wu_2022_Cancer_Discov	665394	0.09955241531133652	0.012612121157052162	3.901869058609009e-05
Wu_2024_Cell	665359	0.09957679361104965	0.012639487780579857	6.339699029922485e-05
Yang_2023_Front_Oncol	663594	0.09643416106700897	0.010490592631314317	-0.003079235553741455
Zhang_2018_Nature	665465	0.09951020777225494	0.012600314829663456	-3.1888484954833984e-06
Zhang_2020_Cell	664902	0.09932254999876022	0.012309400754258506	-0.00019084662199020386
Zheng_2022_Signal_Transduct_Target_Ther	652454	0.09798415750265121	0.010875707561948177	-0.0015292391180992126
deVries_2023_Nature	665472	0.09951400011777878	0.012606744290961622	6.034970283508301e-07
