study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	-0.0012252151500433683	-0.034253279358467045	1103	0.0012264103861525655	0.001588601382671524
Borras_2023_Cell_Discov	18	1	-0.12449364364147186	-0.09993985007659771	54	-0.011192722246050835	-0.056840154828064544
Che_2021_Cell_Discov	6	6	-0.0954282001281778	-0.17326339592625759	11520	0.008541805669665337	-0.006368781555373307
Chen_2021_Cell	101	94	-0.033320795191065504	-0.03852875339167248	32811	-0.08822759240865707	-0.09177279847970939
Chen_2024_Cancer_Cell	20	20	-0.12839410608867183	-0.19812686702459487	58833	-0.16332606971263885	-0.2401403394063946
Giguelay_2022_Theranostics	5	5	-0.09084721188992262	-0.1379696699804886	3458	-0.11342093348503113	-0.18427462988035884
Guo_2022_JCI_Insight	6	6	-0.10504629649221897	-0.23579643872338674	3175	-0.15081258118152618	-0.2898699777729626
HTAPP_HTAN	20	20	-0.15884426142729352	-0.21586881848841824	19711	-0.12133221328258514	-0.19572511011223598
Harmon_2023_Nat_Cancer	1	1	0.22489990293979645	-0.06338301951469806	98	0.22489990293979645	-0.06338301951469806
Huang_2024_Nat_Cancer	3	2	-0.23096411302685738	-0.22140503574549722	102	-0.163656547665596	-0.17928992097881555
Ji_2024_Cancer_Lett	2	2	0.1623769924044609	0.15908351458224682	10269	0.16633251309394836	0.15739677118394593
Ji_2024_PLoS_Genet	3	3	-0.06129021445910136	-0.11756505085831892	5793	-0.0643647238612175	-0.16210900442456946
Joanito_2022_Nat_Genet	31	31	0.08179161196054455	0.07034099032100695	25851	-0.001332467538304627	-0.037444797430553144
Khaliq_2022_Genome_Biol	16	15	0.02354052276738609	-0.009926007985659731	7141	0.05096384882926941	0.025546783025040893
Lee_2020_Nat_Genet	34	34	0.013803419497836492	-0.04194453988230652	29741	0.3852951228618622	0.2864964730377446
Li_2017_Nat_Genet	10	1	-0.5040611028671265	-0.3821520303099733	54	-0.06300221383571625	-0.021157280610490783
Li_2023_Cancer_Cell	19	19	-0.030121520945900364	-0.04289963252787693	36360	-0.029348749667406082	-0.03766135430950005
Liu_2024_Cancer_Res	16	16	0.0563165876083076	0.03759984452918517	46501	0.031824156641960144	0.018007915790227483
MUI_Innsbruck	12	12	0.35252546643217403	0.3162820421499958	15856	0.2793618440628052	0.23592513281658953
Pelka_2021_Cell	62	62	-0.038324540909079295	-0.05634660474873499	100569	-0.045827317982912064	-0.08544602036248955
Qi_2022_Nat_Commun	5	5	-0.10041522681713104	-0.09232643089924848	6566	-0.13443811237812042	-0.14528002420494024
Qian_2020_Cell_Res	7	7	-0.026911489133323942	0.015018496867675337	9753	-0.11768066138029099	-0.10363074261506508
Qin_2023_Cell_Rep_Med	29	29	-0.005392980826055181	-0.013572638109535441	78466	0.0643976628780365	0.06201458529005211
Sathe_2023_Clin_Cancer_Res	4	3	-0.032098566026737295	-0.05234101885805841	6716	0.016064045950770378	0.025018207761764624
Terekhanova_2023_Nature	5	5	0.09424787135794759	0.1450260557327912	22196	0.1263497918844223	0.1486834168537209
Tian_2023_Nat_Med	27	25	-0.06703353393822908	-0.16071044612119953	80372	-0.12624169886112213	-0.2611785522104184
Uhlitz_2021_EMBO_Mol_Med	12	12	0.01404847827507183	-0.021762904311256024	13194	0.08734632283449173	0.09816130919536428
Wang_2021_Adv_Sci	8	7	0.14065559740577424	0.07388940646015267	307	0.14597786962985992	0.1473602035196725
Wang_2023_Sci_Adv	6	5	0.037518370896577835	0.03570137875188476	23232	-0.14820092916488647	-0.1957330470396846
Wu_2022_Cancer_Discov	7	3	0.032128046887616314	-0.02606374748318398	79	0.03790769353508949	0.05730534794311978
Wu_2024_Cell	6	3	-0.005185377473632495	0.07409733245154816	114	-0.03778243064880371	0.004467230408789733
Yang_2023_Front_Oncol	1	1	0.4480634033679962	0.397666929446358	1879	0.4480634033679962	0.397666929446358
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	0.3672339296899736	0.3612310265879264	571	0.37292060256004333	0.47847824927139887
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.038054711651057005	0.014382910709279516	13019	0.1382618099451065	0.15147432420066423
deVries_2023_Nature	1	0			1		
