study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	-0.02177213504910469	-0.016345128338612326	True	
Borras_2023_Cell_Discov	54	0.044599052518606186	-0.04560636155397311	True	
Che_2021_Cell_Discov	11520	0.019183116033673286	0.02156118711551852	True	
Chen_2021_Cell	32811	-0.07796823978424072	-0.08978449637968701	True	
Chen_2024_Cancer_Cell	58833	-0.16139079630374908	-0.22516608338476532	True	
Giguelay_2022_Theranostics	3458	-0.12002230435609818	-0.17685988098260857	True	
Guo_2022_JCI_Insight	3175	-0.13485893607139587	-0.263290764748643	True	
HTAPP_HTAN	19711	-0.11938527226448059	-0.19272969484438046	True	
Harmon_2023_Nat_Cancer	98	0.24617953598499298	0.035530864638287085	True	
Huang_2024_Nat_Cancer	102	-0.13467586040496826	-0.19479162363840427	True	
Ji_2024_Cancer_Lett	10269	0.16379716992378235	0.16278430773853372	True	
Ji_2024_PLoS_Genet	5793	-0.07611769437789917	-0.18710122323790643	True	
Joanito_2022_Nat_Genet	25851	0.008389963768422604	-0.014508907304162053	True	
Khaliq_2022_Genome_Biol	7141	0.04760091379284859	0.02177890271532229	True	
Lee_2020_Nat_Genet	29741	0.38701191544532776	0.28279850935498413	True	
Li_2017_Nat_Genet	54	0.0005538177210837603	-0.08089761095433198	True	
Li_2023_Cancer_Cell	36360	-0.04910513386130333	-0.05686746522743284	True	
Liu_2024_Cancer_Res	46501	0.05500525236129761	0.05840176938564551	True	
MUI_Innsbruck	15856	0.26506003737449646	0.21047260144388433	True	
Pelka_2021_Cell	100569	-0.05273769795894623	-0.10126858152920251	True	
Qi_2022_Nat_Commun	6566	-0.13705648481845856	-0.15186191895969345	True	
Qian_2020_Cell_Res	9753	-0.12290995568037033	-0.11784977315516867	True	
Qin_2023_Cell_Rep_Med	78466	0.0535845123231411	0.04905988316661454	True	
Sathe_2023_Clin_Cancer_Res	6716	0.0036940432619303465	-0.029361071491971723	True	
Terekhanova_2023_Nature	22196	0.141425222158432	0.1638837086756539	True	
Tian_2023_Nat_Med	80372	-0.09764613956212997	-0.24419189331678084	True	
Uhlitz_2021_EMBO_Mol_Med	13194	0.06871622800827026	0.09239894429710667	True	
Wang_2021_Adv_Sci	307	0.1483493149280548	0.18425277815718855	True	
Wang_2023_Sci_Adv	23232	-0.1580773890018463	-0.21803437161456585	True	
Wu_2022_Cancer_Discov	79	-0.03199833258986473	0.011366509631004475	True	
Wu_2024_Cell	114	-0.01683957688510418	-0.004871810197768632	True	
Yang_2023_Front_Oncol	1879	0.44873499870300293	0.3960141859137304	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	0.35718944668769836	0.44743706227090635	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	0.09858711063861847	0.13026625336924963	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
