left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	0.10130669921636581	-0.012581753959261208	0.0001027137041091919
Borras_2023_Cell_Discov	665419	0.1012260690331459	-0.01269222190226053	2.2083520889282227e-05
Che_2021_Cell_Discov	653953	0.10259675234556198	-0.012509621707854	0.0013927668333053589
Chen_2024_Cancer_Cell	606640	0.12705999612808228	0.003544378652579998	0.025856010615825653
Giguelay_2022_Theranostics	662015	0.10016611963510513	-0.01391621302054073	-0.0010378658771514893
Guo_2022_JCI_Insight	662298	0.10259970277547836	-0.01112349986486035	0.0013957172632217407
HTAPP_HTAN	645762	0.10982895642518997	-0.0035685659929541604	0.00862497091293335
Harmon_2023_Nat_Cancer	665375	0.10114574432373047	-0.012812055332369367	-5.8241188526153564e-05
Huang_2024_Nat_Cancer	665371	0.10121294111013412	-0.012691303602715724	8.955597877502441e-06
Ji_2024_PLoS_Genet	659680	0.10039021074771881	-0.01296812507936869	-0.0008137747645378113
Ji_2024_Cancer_Lett	655204	0.1032128855586052	-0.013767230544675409	0.0020089000463485718
Joanito_2022_Nat_Genet	639622	0.09728798270225525	-0.024213716989407337	-0.003916002810001373
Khaliq_2022_Genome_Biol	658332	0.10164277255535126	-0.012726133829918714	0.000438787043094635
Lee_2020_Nat_Genet	635732	0.08841199427843094	-0.03677105989149846	-0.012791991233825684
Li_2017_Nat_Genet	665419	0.1012006402015686	-0.012689264961861664	-3.345310688018799e-06
Li_2023_Cancer_Cell	629113	0.10737748444080353	-0.015266148566882253	0.0061734989285469055
Liu_2024_Cancer_Res	618972	0.11661700904369354	-0.0067433066946781	0.01541302353143692
MUI_Innsbruck	649617	0.09321322292089462	-0.018820179215414935	-0.007990762591362
Pelka_2021_Cell	564904	0.11113781481981277	0.021623189662927044	0.009933829307556152
Qi_2022_Nat_Commun	658907	0.1022103801369667	-0.011079758146165422	0.001006394624710083
Qian_2020_Cell_Res	655720	0.10204551368951797	-0.01098357020632511	0.0008415281772613525
Qin_2023_Cell_Rep_Med	587007	0.11855870485305786	-0.008222216617507598	0.01735471934080124
Sathe_2023_Clin_Cancer_Res	658757	0.10271123796701431	-0.011520754068059596	0.0015072524547576904
Terekhanova_2023_Nature	643277	-0.030805299058556557	-0.07661272311091005	-0.13200928457081318
Tian_2023_Nat_Med	585101	0.15110187232494354	0.04824374432926965	0.04989788681268692
Uhlitz_2021_EMBO_Mol_Med	652279	0.11044628173112869	-0.009164076723016194	0.00924229621887207
Chen_2021_Cell	632662	0.09659326076507568	-0.038154365581281116	-0.004610724747180939
Wang_2021_Adv_Sci	665166	0.1011875718832016	-0.012803078310588445	-1.6413629055023193e-05
Wang_2023_Sci_Adv	642241	0.10864222794771194	-0.0015211064808326711	0.007438242435455322
Wu_2022_Cancer_Discov	665394	0.10124428570270538	-0.012705625174767275	4.0300190448760986e-05
Wu_2024_Cell	665359	0.10126549005508423	-0.012676036210804912	6.15045428276062e-05
Yang_2023_Front_Oncol	663594	0.09822452813386917	-0.014731373225751345	-0.002979457378387451
Zhang_2018_Nature	665465	0.1012013703584671	-0.012705781510786386	-2.6151537895202637e-06
Zhang_2020_Cell	664902	0.101071298122406	-0.012919681296125763	-0.00013268738985061646
Zheng_2022_Signal_Transduct_Target_Ther	652454	0.09986227005720139	-0.014739361513059554	-0.0013417154550552368
deVries_2023_Nature	665472	0.10120447725057602	-0.012699826950062512	4.917383193969727e-07
