study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.004457192379049957	-0.04757679041621528	1103	0.0006152470596134663	-0.0593501388834402
Borras_2023_Cell_Discov	18	1	-0.09321420639753342	-0.1259213759213759	54	-0.009633095934987068	-0.09562841615828199
Che_2021_Cell_Discov	6	6	-0.08945610839873552	-0.19739380008641708	11520	-0.008822577074170113	-0.044490167290394955
Chen_2021_Cell	101	94	-0.015677774473628465	-0.033271899400452054	32811	-0.07217249274253845	-0.09508165367072247
Chen_2024_Cancer_Cell	20	20	-0.14535050708800554	-0.21055176714031623	58833	-0.19374381005764008	-0.2620130060951796
Giguelay_2022_Theranostics	5	5	-0.08943083304911852	-0.12981788257623988	3458	-0.11137470602989197	-0.2038914927465169
Guo_2022_JCI_Insight	6	6	-0.07938594151831542	-0.2683730573155175	3175	-0.1181161180138588	-0.31467345804280866
HTAPP_HTAN	20	20	-0.16596572163980455	-0.2332955723447542	19711	-0.12878844141960144	-0.22442659172017507
Harmon_2023_Nat_Cancer	1	1	0.14618109166622162	0.018891674831770063	98	0.14618109166622162	0.018891674831770063
Huang_2024_Nat_Cancer	3	2	-0.19497535936534405	-0.16382971143500547	102	-0.10244795680046082	-0.09639001852777974
Ji_2024_Cancer_Lett	2	2	0.15892759710550308	0.18587698966654126	10269	0.15404260158538818	0.17482774884455743
Ji_2024_PLoS_Genet	3	3	-0.04526494195063909	-0.08830671583775125	5793	-0.05213390290737152	-0.1544586722781195
Joanito_2022_Nat_Genet	31	31	0.09246909635182801	0.07373595257173512	25851	0.019936881959438324	-0.030761499213437238
Khaliq_2022_Genome_Biol	16	15	0.026221008536716304	-0.0171784403998822	7141	0.0382138267159462	0.006361833568302314
Lee_2020_Nat_Genet	34	34	0.003927855365498758	-0.04794888038040649	29741	0.35100212693214417	0.23532651137726956
Li_2017_Nat_Genet	10	1	-0.4275580048561096	-0.4000000000000001	54	-0.06965823471546173	-0.19262584742513852
Li_2023_Cancer_Cell	19	19	-0.042598309044383074	-0.06175062292316659	36360	-0.03318510949611664	-0.05135213332805697
Liu_2024_Cancer_Res	16	16	0.07039930601604283	0.08283678892765228	46501	0.04403989762067795	0.06334687425157316
MUI_Innsbruck	12	12	0.41243576755126315	0.34652320756470884	15856	0.33421510457992554	0.24768784871177224
Pelka_2021_Cell	62	62	-0.0520585013883324	-0.07149080158317755	100569	-0.05969514697790146	-0.11260114868801108
Qi_2022_Nat_Commun	5	5	-0.10091031566262246	-0.07530393715756833	6566	-0.13445276021957397	-0.1315547060881693
Qian_2020_Cell_Res	7	7	-0.03394322682704244	0.011899763165879077	9753	-0.08846833556890488	-0.0601887390289554
Qin_2023_Cell_Rep_Med	29	29	-0.018131532481518286	-0.029313256519697458	78466	0.05851072445511818	0.049687176037089116
Sathe_2023_Clin_Cancer_Res	4	3	-0.0494664308304588	-0.0759247371600601	6716	0.0005681493203155696	0.004790314932700222
Terekhanova_2023_Nature	5	5	0.052827267348766326	0.15189483415877675	22196	0.09972093999385834	0.13972931911466313
Tian_2023_Nat_Med	27	25	-0.035786465140554356	-0.1981281034246041	80372	-0.10601332783699036	-0.37087531731484275
Uhlitz_2021_EMBO_Mol_Med	12	12	0.00830097517852361	-0.039392616792356686	13194	0.057639721781015396	0.07670500035921216
Wang_2021_Adv_Sci	8	7	0.1262131312063762	0.10486156968931801	307	0.22342845797538757	0.24980703737592047
Wang_2023_Sci_Adv	6	5	0.045556575804948804	0.024478815328332133	23232	-0.15741005539894104	-0.27098117868306115
Wu_2022_Cancer_Discov	7	3	0.08310764531294505	0.16580473659094366	79	0.041542619466781616	0.07479784112036991
Wu_2024_Cell	6	3	0.004315545161565145	-0.03180001624733502	114	-0.017264652997255325	-0.03470787386509191
Yang_2023_Front_Oncol	1	1	0.41786593198776245	0.3550012183069037	1879	0.41786593198776245	0.3550012183069037
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	0.37893687933683395	0.32654654951619266	571	0.38611361384391785	0.5015896653445713
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.038720949087291956	0.03086843068583187	13019	0.12939494848251343	0.17273896889938736
deVries_2023_Nature	1	0			1		
