study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	0.0017761893104761839	-0.027960418437893705	True	
Borras_2023_Cell_Discov	54	0.03131352365016937	-0.12203118300994364	True	
Che_2021_Cell_Discov	11520	0.0011884889099746943	-0.028796127836023123	True	
Chen_2021_Cell	32811	-0.06167818233370781	-0.08372302386615928	True	
Chen_2024_Cancer_Cell	58833	-0.1634233444929123	-0.24107723389817065	True	
Giguelay_2022_Theranostics	3458	-0.09511292725801468	-0.19474476069624705	True	
Guo_2022_JCI_Insight	3175	-0.09331859648227692	-0.3096855388609611	True	
HTAPP_HTAN	19711	-0.10515876114368439	-0.1912281431054806	True	
Harmon_2023_Nat_Cancer	98	0.06848261505365372	0.008693900132907776	True	
Huang_2024_Nat_Cancer	102	-0.09344571828842163	-0.051873707770776684	True	
Ji_2024_Cancer_Lett	10269	0.1476658433675766	0.1740098380414206	True	
Ji_2024_PLoS_Genet	5793	-0.036633968353271484	-0.15651483422296303	True	
Joanito_2022_Nat_Genet	25851	0.013737858273088932	-0.002702194561543989	True	
Khaliq_2022_Genome_Biol	7141	0.053888995200395584	0.02250588547577413	True	
Lee_2020_Nat_Genet	29741	0.34888190031051636	0.25106634762893204	True	
Li_2017_Nat_Genet	54	-0.06715656816959381	-0.02890015625212927	True	
Li_2023_Cancer_Cell	36360	-0.03162689879536629	-0.04054917223291689	True	
Liu_2024_Cancer_Res	46501	0.020741574466228485	0.021178009460372224	True	
MUI_Innsbruck	15856	0.2773107886314392	0.1971017806909309	True	
Pelka_2021_Cell	100569	-0.04160219803452492	-0.09217046147000495	True	
Qi_2022_Nat_Commun	6566	-0.12115377932786942	-0.13266681357775967	True	
Qian_2020_Cell_Res	9753	-0.08288269490003586	-0.08079170160418092	True	
Qin_2023_Cell_Rep_Med	78466	0.06502621620893478	0.054008797958050275	True	
Sathe_2023_Clin_Cancer_Res	6716	0.010609574615955353	0.023049034170512316	True	
Terekhanova_2023_Nature	22196	0.07868719100952148	0.10204708471054567	True	
Tian_2023_Nat_Med	80372	-0.08075406402349472	-0.2653226951748316	True	
Uhlitz_2021_EMBO_Mol_Med	13194	0.05554124340415001	0.05214541062934683	True	
Wang_2021_Adv_Sci	307	0.19704611599445343	0.19956789346834347	True	
Wang_2023_Sci_Adv	23232	-0.17772534489631653	-0.28245884205456445	True	
Wu_2022_Cancer_Discov	79	0.0047797225415706635	0.023272132525377773	True	
Wu_2024_Cell	114	0.013514489866793156	0.023119581433350158	True	
Yang_2023_Front_Oncol	1879	0.39593586325645447	0.3290474889115468	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	0.3420829772949219	0.4559106180706761	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	0.1457507163286209	0.1769826106013058	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
