left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science||Bian_2018_Science.CRC03	665345	0.01199319027364254	-0.017136621105279165	-3.798585385084152e-05
Bian_2018_Science||Bian_2018_Science.CRC04	665383	0.012014753185212612	-0.017112108229885806	-1.6422942280769348e-05
Bian_2018_Science||Bian_2018_Science.CRC06	665404	0.012034225277602673	-0.01712185290447107	3.0491501092910767e-06
Bian_2018_Science||Bian_2018_Science.CRC09	665377	0.012017541565001011	-0.017120529156835526	-1.3634562492370605e-05
Bian_2018_Science||Bian_2018_Science.CRC10	665388	0.012029968202114105	-0.017098778811243536	-1.2079253792762756e-06
Bian_2018_Science||Bian_2018_Science.CRC11	665282	0.012042257934808731	-0.017092673187331812	1.1081807315349579e-05
Bian_2018_Science||Bian_2018_Science.CRC01	665155	0.012170849367976189	-0.016975800578089995	0.00013967324048280716
Bian_2018_Science||Bian_2018_Science.CRC02	665347	0.012030815705657005	-0.017103019515518	-3.604218363761902e-07
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC040	665472	0.012030902318656445	-0.017111115825159572	-2.738088369369507e-07
Borras_2023_Cell_Discov||Joanito_2022_Nat_Genet.SC044	665472	0.012026084586977959	-0.017113011473590987	-5.091540515422821e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC57	665472	0.012033680453896523	-0.017108338404495254	2.5043264031410217e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC71	665472	0.012026757933199406	-0.017113039834327156	-4.41819429397583e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC105	665471	0.012032668106257915	-0.017108583618243186	1.4919787645339966e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC108	665466	0.012032062746584415	-0.01711170834778403	8.866190910339355e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC119	665456	0.012026394717395306	-0.01711185727609687	-4.781410098075867e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC125	665471	0.012034294195473194	-0.017109274250826437	3.118067979812622e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC126	665471	0.012024708092212677	-0.017114221169497727	-6.468035280704498e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC136	665467	0.012026501819491386	-0.017113789723447903	-4.674308001995087e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC145	665470	0.012032415717840195	-0.017108914562357382	1.239590346813202e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC174	665471	0.012031372636556625	-0.017110002220716423	1.9650906324386597e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC179	665472	0.01203170046210289	-0.01711076453937289	5.243346095085144e-07
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC180	665472	0.012029364705085754	-0.017112743160727764	-1.8114224076271057e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC197	665472	0.012031182646751404	-0.017110894784999286	6.51925802230835e-09
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC200	665471	0.012030166573822498	-0.01711056657371363	-1.0095536708831787e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC216	665471	0.012033885344862938	-0.01710659231572056	2.709217369556427e-06
Borras_2023_Cell_Discov||Borras_2023_Cell_Discov.SMC234	665471	0.012031816877424717	-0.01710958961356791	6.407499313354492e-07
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL07	658662	0.011052744463086128	-0.018137267443107525	-0.0009784316644072533
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL12	664987	0.012151532806456089	-0.016838821386781413	0.00012035667896270752
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL15	663522	0.011913541704416275	-0.017327455913903042	-0.00011763442307710648
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL16	663821	0.012602521106600761	-0.01641333234883545	0.0005713449791073799
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL17	665280	0.01210285909473896	-0.01701313272097163	7.168296724557877e-05
Che_2021_Cell_Discov||Che_2021_Cell_Discov.COL18	665046	0.011974522843956947	-0.017207295946666437	-5.6653283536434174e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	659745	0.01464712806046009	-0.015209696969747031	0.002615951932966709
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	663924	0.012707890942692757	-0.016358774596042933	0.0006767148151993752
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	657920	0.014805913902819157	-0.014568593118284531	0.002774737775325775
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	663854	0.013007794506847858	-0.01627162111691798	0.000976618379354477
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	661791	0.010838143527507782	-0.018839554527599944	-0.0011930325999855995
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	660774	0.0148158622905612	-0.014864185795091875	0.0027846861630678177
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	663418	0.012938776053488255	-0.016414446050265142	0.000907599925994873
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	664819	0.012282039038836956	-0.016963314588823976	0.0002508629113435745
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	660497	0.01429454330354929	-0.015124915133184655	0.002263367176055908
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	662282	0.014207635074853897	-0.014965126216624013	0.0021764589473605156
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	664151	0.012531577609479427	-0.016792092083520643	0.0005004014819860458
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	663602	0.012706716544926167	-0.01649283068980052	0.000675540417432785
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	661037	0.012746077962219715	-0.016503095455058486	0.0007149018347263336
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	661223	0.013306289911270142	-0.01591433723565151	0.00127511378377676
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	664012	0.012842200696468353	-0.01623316836998184	0.0008110245689749718
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	664103	0.011916814371943474	-0.017316128256579254	-0.00011436175554990768
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	663637	0.013299426063895226	-0.015901397559130528	0.001268249936401844
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	660783	0.015346438623964787	-0.014233283417202593	0.003315262496471405
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	664591	0.012398245744407177	-0.016884281580187135	0.00036706961691379547
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	664464	0.012552122585475445	-0.01666436395723134	0.0005209464579820633
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P1	664667	0.01195730920881033	-0.016960731405252838	-7.386691868305206e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P2	664943	0.011681321077048779	-0.01765849284004405	-0.00034985505044460297
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P4	663954	0.011264431290328503	-0.017804830381130034	-0.0007667448371648788
