left_out_study_id	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Bian_2018_Science	664370	0.012115037068724632	-0.016989055428638124	8.386094123125076e-05
Borras_2023_Cell_Discov	665419	0.012015704065561295	-0.017119774249928558	-1.5472061932086945e-05
Che_2021_Cell_Discov	653953	0.011634862050414085	-0.017393054956439807	-0.0003963140770792961
Chen_2024_Cancer_Cell	606640	0.03878576681017876	0.004408273976479632	0.026754590682685375
Giguelay_2022_Theranostics	662015	0.010796516202390194	-0.01798857066300214	-0.0012346599251031876
Guo_2022_JCI_Insight	662298	0.012771393172442913	-0.01598173594214392	0.0007402170449495316
HTAPP_HTAN	645762	0.018750114366412163	-0.010627284637191316	0.006718938238918781
Harmon_2023_Nat_Cancer	665375	0.011954931542277336	-0.017222617729664217	-7.624458521604538e-05
Huang_2024_Nat_Cancer	665371	0.012015623971819878	-0.017125202179913673	-1.5552155673503876e-05
Ji_2024_PLoS_Genet	659680	0.010693661868572235	-0.01754859347337211	-0.0013375142589211464
Ji_2024_Cancer_Lett	655204	0.010752879083156586	-0.0184561988750094	-0.0012782970443367958
Joanito_2022_Nat_Genet	639622	-0.00152654480189085	-0.04090075232046647	-0.013557720929384232
Khaliq_2022_Genome_Biol	658332	0.012810494750738144	-0.0164374441196604	0.0007793186232447624
Lee_2020_Nat_Genet	635732	-0.0020676504354923964	-0.035001039985581704	-0.014098826562985778
Li_2017_Nat_Genet	665419	0.012037123553454876	-0.017100984915862257	5.947425961494446e-06
Li_2023_Cancer_Cell	629113	0.010188555344939232	-0.023526850396976082	-0.0018426207825541496
Liu_2024_Cancer_Res	618972	0.007778605911880732	-0.030388872235276504	-0.00425257021561265
MUI_Innsbruck	649617	0.0036350470036268234	-0.024075854913178037	-0.008396129123866558
Pelka_2021_Cell	564904	0.02381041646003723	0.019718311810916024	0.01177924033254385
Qi_2022_Nat_Commun	658907	0.012496179901063442	-0.01638794537306436	0.00046500377357006073
Qian_2020_Cell_Res	655720	0.011640716344118118	-0.01705156432256654	-0.0003904597833752632
Qin_2023_Cell_Rep_Med	587007	0.02662251517176628	-0.011551516336947806	0.0145913390442729
Sathe_2023_Clin_Cancer_Res	658757	0.012796356342732906	-0.016603826248220967	0.0007651802152395248
Terekhanova_2023_Nature	643277	-0.04142801836133003	-0.051971907994523794	-0.053459194488823414
Tian_2023_Nat_Med	585101	0.06198076158761978	0.03314018437660366	0.0499495854601264
Uhlitz_2021_EMBO_Mol_Med	652279	0.014668568037450314	-0.015026978134060513	0.002637391909956932
Chen_2021_Cell	632662	-0.0015413740184158087	-0.03705836828933913	-0.01357255014590919
Wang_2021_Adv_Sci	665166	0.012002660892903805	-0.01716632285335495	-2.851523458957672e-05
Wang_2023_Sci_Adv	642241	0.022339142858982086	-0.001641659984817051	0.010307966731488705
Wu_2022_Cancer_Discov	665394	0.012057139538228512	-0.017103330102485943	2.596341073513031e-05
Wu_2024_Cell	665359	0.012028932571411133	-0.017125691699014078	-2.2435560822486877e-06
Yang_2023_Front_Oncol	663594	0.009316719137132168	-0.01910561640001322	-0.0027144569903612137
Zhang_2018_Nature	665465	0.012027240358293056	-0.0171176684069409	-3.935769200325012e-06
Zhang_2020_Cell	664902	0.011932771652936935	-0.0173421587231246	-9.840447455644608e-05
Zheng_2022_Signal_Transduct_Target_Ther	652454	0.010287881828844547	-0.018945948814810827	-0.0017432942986488342
deVries_2023_Nature	665472	0.01203230395913124	-0.017109043963811448	1.1278316378593445e-06
