study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.030902468250133097	0.025853478427615015	1103	-0.029632022604346275	-0.05376213428080535
Borras_2023_Cell_Discov	18	1	0.29255929589271545	0.05392156862745098	54	0.224909707903862	0.10527620022213616
Che_2021_Cell_Discov	6	6	-0.09300332865677774	-0.1506471761076757	11520	-0.0151126179844141	-0.051919315068115354
Chen_2021_Cell	101	94	-0.004949135621613327	0.0008864418260242363	32811	-0.045327868312597275	-0.050746946653251024
Chen_2024_Cancer_Cell	20	20	-0.14182367771863938	-0.1824811875375164	58833	-0.19150784611701965	-0.23422541766200852
Giguelay_2022_Theranostics	5	5	-0.0424767576274462	-0.07227163480990872	3458	-0.0620708093047142	-0.13501340627578653
Guo_2022_JCI_Insight	6	6	-0.09619138203561306	-0.17936032051826636	3175	-0.12672345340251923	-0.23885951810977216
HTAPP_HTAN	20	20	-0.09768301602452993	-0.12856668119005926	19711	-0.11818177253007889	-0.15591441719399027
Harmon_2023_Nat_Cancer	1	1	0.0008188915671780705	0.011403601039113977	98	0.0008188915671780705	0.011403601039113977
Huang_2024_Nat_Cancer	3	2	0.08048531040549278	0.14219568575436778	102	0.14227668941020966	0.1347143835658931
Ji_2024_Cancer_Lett	2	2	0.1439930573105812	0.16987919801153303	10269	0.1701967716217041	0.1878597521272153
Ji_2024_PLoS_Genet	3	3	0.04020567238330841	-0.010217118782355003	5793	0.018881410360336304	-0.11217466499496313
Joanito_2022_Nat_Genet	31	31	0.109767607420743	0.08869211415313445	25851	0.08457119017839432	0.029030803859104226
Khaliq_2022_Genome_Biol	16	15	0.020980910335977872	0.006274146276437631	7141	-0.015574203804135323	-0.04825066393367999
Lee_2020_Nat_Genet	34	34	0.030994189547046143	-0.02462005299076317	29741	0.23415817320346832	0.14448933196234295
Li_2017_Nat_Genet	10	1	-0.28628116846084595	-0.08675799086757992	54	-0.1690514087677002	-0.06929947255530065
Li_2023_Cancer_Cell	19	19	-0.017859511665607754	-0.01229432884611117	36360	0.024033894762396812	0.037065370304101106
Liu_2024_Cancer_Res	16	16	0.06933792366180569	0.10496056920588592	46501	0.06600845605134964	0.09177517057427398
MUI_Innsbruck	12	12	0.40416782597700757	0.32711200309214666	15856	0.3344697654247284	0.28790902572518806
Pelka_2021_Cell	62	62	-0.002773145130167024	-0.022360703907296373	100569	-0.06632820516824722	-0.11849235152974234
Qi_2022_Nat_Commun	5	5	-0.006215791031718254	0.017711614268641086	6566	-0.0265703983604908	-0.02639871915305973
Qian_2020_Cell_Res	7	7	0.04508268327585289	0.08038637891775847	9753	0.0713426023721695	0.14499279808178864
Qin_2023_Cell_Rep_Med	29	29	0.030186905390141402	0.03784145466414982	78466	0.06573467701673508	0.07915062282474968
Sathe_2023_Clin_Cancer_Res	4	3	-0.05457647113750378	-0.06435406277337787	6716	0.0589195117354393	0.10781973001912278
Terekhanova_2023_Nature	5	5	0.08189237955957651	0.11419870951690995	22196	0.05722346901893616	0.08199719766608943
Tian_2023_Nat_Med	27	25	0.00806913300184533	-0.03235644720597484	80372	-0.3124867081642151	-0.3607285191341939
Uhlitz_2021_EMBO_Mol_Med	12	12	0.007583105160544316	-0.008590044952695563	13194	0.038845427334308624	0.054683861915652006
Wang_2021_Adv_Sci	8	7	0.10254274614687477	0.1085203280634356	307	0.17309129238128662	0.1948543104651965
Wang_2023_Sci_Adv	6	5	0.09072766238823533	0.08306324673149505	23232	-0.11565615236759186	-0.24980760797981738
Wu_2022_Cancer_Discov	7	3	0.03241988023122152	0.0401769809090162	79	-0.03881443291902542	0.001497379600399072
Wu_2024_Cell	6	3	-0.05944030483563741	-0.07185620012468043	114	0.08896750956773758	0.09357435890954582
Yang_2023_Front_Oncol	1	1	0.36361101269721985	0.3204272468084042	1879	0.36361101269721985	0.3204272468084042
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	0.352097749710083	0.3460872347856537	571	0.3568156957626343	0.5027340433858918
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.04747560899704695	0.08436127881521475	13019	0.113500215113163	0.18562066575321895
deVries_2023_Nature	1	0			1		
