study_id	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho	estimable	not_estimable_reason
Bian_2018_Science	1103	-0.035882771015167236	-0.061214493126625226	True	
Borras_2023_Cell_Discov	54	0.24352557957172394	0.09670899704471513	True	
Che_2021_Cell_Discov	11520	-0.03898856043815613	-0.08516752498265871	True	
Chen_2021_Cell	32811	-0.03291782736778259	-0.03770559414730839	True	
Chen_2024_Cancer_Cell	58833	-0.19356769323349	-0.22791249929222804	True	
Giguelay_2022_Theranostics	3458	-0.050874948501586914	-0.13436876789737873	True	
Guo_2022_JCI_Insight	3175	-0.1371529996395111	-0.2307057091014691	True	
HTAPP_HTAN	19711	-0.12112125009298325	-0.14909309171301308	True	
Harmon_2023_Nat_Cancer	98	-0.019542191177606583	-0.031436703558210835	True	
Huang_2024_Nat_Cancer	102	0.13409842550754547	0.19279118177346205	True	
Ji_2024_Cancer_Lett	10269	0.1499185860157013	0.17093692796931229	True	
Ji_2024_PLoS_Genet	5793	0.018934104591608047	-0.12045730585179143	True	
Joanito_2022_Nat_Genet	25851	0.09700419753789902	0.06974350125163918	True	
Khaliq_2022_Genome_Biol	7141	-0.0264374278485775	-0.05576494337571984	True	
Lee_2020_Nat_Genet	29741	0.21295210719108582	0.1339990762275499	True	
Li_2017_Nat_Genet	54	-0.13561765849590302	-0.008015478351093066	True	
Li_2023_Cancer_Cell	36360	0.023147620260715485	0.038918658416012344	True	
Liu_2024_Cancer_Res	46501	0.04153567925095558	0.03128184711600992	True	
MUI_Innsbruck	15856	0.3491140604019165	0.3096627538001878	True	
Pelka_2021_Cell	100569	-0.07272105664014816	-0.11772532895191612	True	
Qi_2022_Nat_Commun	6566	-0.03405025228857994	-0.02394209955503354	True	
Qian_2020_Cell_Res	9753	0.06643278151750565	0.12311165946635144	True	
Qin_2023_Cell_Rep_Med	78466	0.06475033611059189	0.0737755191765355	True	
Sathe_2023_Clin_Cancer_Res	6716	0.052649617195129395	0.08992092392181683	True	
Terekhanova_2023_Nature	22196	0.0678860992193222	0.09229631060930622	True	
Tian_2023_Nat_Med	80372	-0.3183676302433014	-0.37020744536474914	True	
Uhlitz_2021_EMBO_Mol_Med	13194	0.03161787614226341	0.049206409209125654	True	
Wang_2021_Adv_Sci	307	0.16396713256835938	0.19516993349750203	True	
Wang_2023_Sci_Adv	23232	-0.108618825674057	-0.23952904570452008	True	
Wu_2022_Cancer_Discov	79	-0.02918655052781105	0.005595742658224146	True	
Wu_2024_Cell	114	0.08319851756095886	0.07975328597839448	True	
Yang_2023_Front_Oncol	1879	0.3506127893924713	0.314198003975731	True	
Zhang_2018_Nature	8			False	n_cells=8 < 10
Zhang_2020_Cell	571	0.3118484318256378	0.40526890315161535	True	
Zheng_2022_Signal_Transduct_Target_Ther	13019	0.0833360031247139	0.14920083256030736	True	
deVries_2023_Nature	1			False	n_cells=1 < 10
