mouse_symbol	human_ortholog_symbol	human_ensembl_id	orthology_type	inclusion_decision	notes	orthology_source
Pyy	PYY	ENSG00000131096	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Clu	CLU	ENSG00000120885	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Acta1	ACTA1	ENSG00000143632	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
F3	F3	ENSG00000117525	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Basp1	BASP1	ENSG00000176788	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Marcksl1	MARCKSL1	ENSG00000175130	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Sfn	SFN	ENSG00000175793	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Tmsb4x	TMSB4X	ENSG00000205542	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Ankrd1	ANKRD1	ENSG00000148677	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Sox4	SOX4	ENSG00000124766	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Pmepa1	PMEPA1	ENSG00000124225	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Anxa1	ANXA1	ENSG00000135046	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Prdx2	PRDX2	ENSG00000167815	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Tuba1a	TUBA1A	ENSG00000167552	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Krt18	KRT18	ENSG00000111057	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Fn1	FN1	ENSG00000115414	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Ctse	CTSE	ENSG00000196188	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Tpm1	TPM1	ENSG00000140416	ortholog_one2one	include_primary	re-queried after initial run timed out 6/6 retries; confirmed stable one2one	Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Tnfrsf12a	TNFRSF12A	ENSG00000006327	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Ass1	ASS1	ENSG00000130707	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Areg	AREG	ENSG00000109321	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Ccn2	CCN2	ENSG00000118523	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Ecm1	ECM1	ENSG00000143369	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Sox9	SOX9	ENSG00000125398	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Cd44	CD44	ENSG00000026508	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Itga2	ITGA2	ENSG00000164171	ortholog_one2one	include_primary		Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Ccn1	CCN1	ENSG00000142871	ortholog_one2one	include_primary	CORRECTED: the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv mapped Ccn1 to ENSG00000145386, which Ensembl lookup/id confirms is actually CCNA2 (Cyclin A2) -- an unrelated gene, not CCN1/CYR61. Ensembl Compara's own one2one call (ENSG00000142871) is used instead, confirmed by direct lookup: display_name=CCN1, description='cellular communication network factor 1'.	Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
Ly6a	LY6A	ENSG00000291309	ortholog_one2many	include_extended_sensitivity_only	Compara reports ortholog_one2many for mouse Ly6a (part of the species-specific-expanded Ly6 family); ENSG00000291309 is the specific human target that also matches the pre-existing table's naive-symbol mapping AND already tested out as reasonable against real CRC/NMF/Jaccard data -- per PR #17 review round 2, that downstream-data agreement is exactly why this gene must NOT be in the primary set: letting outcome-dependent evidence pick among ambiguous ortholog targets would compromise the primary anchor's independence. Kept only in the 28-gene EXTENDED/sensitivity variant, reported alongside every primary (27-gene) result, not the reverse.	Ensembl Compara (homology REST API), re-verified 2026-08-14; cross-checked against the pre-existing CSC_subtype_signatures.ensembl_mapping.tsv
