cohort	step0_status	stepA_argmax	n_cells	frac_of_cohort
primary27_minus_CLU_ASS1_top5pct	D+F	D	487	0.014636052172867705
primary27_minus_CLU_ASS1_top5pct	D+F	F	1270	0.03816793893129771
primary27_minus_CLU_ASS1_top5pct	D+F	P	0	0.0
primary27_minus_CLU_ASS1_top5pct	D+F+P	D	47	0.0014125142754102301
primary27_minus_CLU_ASS1_top5pct	D+F+P	F	142	0.0042675963214521846
primary27_minus_CLU_ASS1_top5pct	D+F+P	P	19	0.000571016409208391
primary27_minus_CLU_ASS1_top5pct	D+P	D	56	0.0016829957324036786
primary27_minus_CLU_ASS1_top5pct	D+P	F	0	0.0
primary27_minus_CLU_ASS1_top5pct	D+P	P	36	0.0010819258279737933
primary27_minus_CLU_ASS1_top5pct	D_only	D	914	0.027468894632445753
primary27_minus_CLU_ASS1_top5pct	D_only	F	0	0.0
primary27_minus_CLU_ASS1_top5pct	D_only	P	0	0.0
primary27_minus_CLU_ASS1_top5pct	F+P	D	0	0.0
primary27_minus_CLU_ASS1_top5pct	F+P	F	1064	0.031976918915669894
primary27_minus_CLU_ASS1_top5pct	F+P	P	357	0.010729097794073451
primary27_minus_CLU_ASS1_top5pct	F_only	D	0	0.0
primary27_minus_CLU_ASS1_top5pct	F_only	F	13732	0.4126945963815592
primary27_minus_CLU_ASS1_top5pct	F_only	P	0	0.0
primary27_minus_CLU_ASS1_top5pct	P_only	D	0	0.0
primary27_minus_CLU_ASS1_top5pct	P_only	F	0	0.0
primary27_minus_CLU_ASS1_top5pct	P_only	P	1323	0.0397607741780369
primary27_minus_CLU_ASS1_top5pct	none	D	4449	0.13370800024042795
primary27_minus_CLU_ASS1_top5pct	none	F	7062	0.21223778325419246
primary27_minus_CLU_ASS1_top5pct	none	P	2316	0.0696038949329807
primary27_minus_CLU_ASS1_top10pct	D+F	D	944	0.01418524974454529
primary27_minus_CLU_ASS1_top10pct	D+F	F	2657	0.039926068401755124
primary27_minus_CLU_ASS1_top10pct	D+F	P	0	0.0
primary27_minus_CLU_ASS1_top10pct	D+F+P	D	78	0.001172086313638276
primary27_minus_CLU_ASS1_top10pct	D+F+P	F	282	0.004237542826230691
primary27_minus_CLU_ASS1_top10pct	D+F+P	P	34	0.0005109094187654024
primary27_minus_CLU_ASS1_top10pct	D+P	D	95	0.0014275410230209773
primary27_minus_CLU_ASS1_top10pct	D+P	F	0	0.0
primary27_minus_CLU_ASS1_top10pct	D+P	P	50	0.0007513373805373565
primary27_minus_CLU_ASS1_top10pct	D_only	D	1489	0.022374827192402476
primary27_minus_CLU_ASS1_top10pct	D_only	F	0	0.0
primary27_minus_CLU_ASS1_top10pct	D_only	P	0	0.0
primary27_minus_CLU_ASS1_top10pct	F+P	D	0	0.0
primary27_minus_CLU_ASS1_top10pct	F+P	F	2265	0.03403558333834225
primary27_minus_CLU_ASS1_top10pct	F+P	P	630	0.009466850994770692
primary27_minus_CLU_ASS1_top10pct	F_only	D	0	0.0
primary27_minus_CLU_ASS1_top10pct	F_only	F	28335	0.4257828935505199
primary27_minus_CLU_ASS1_top10pct	F_only	P	0	0.0
primary27_minus_CLU_ASS1_top10pct	P_only	D	0	0.0
primary27_minus_CLU_ASS1_top10pct	P_only	F	0	0.0
primary27_minus_CLU_ASS1_top10pct	P_only	P	2333	0.035057402175873054
primary27_minus_CLU_ASS1_top10pct	none	D	8555	0.1285538258099417
primary27_minus_CLU_ASS1_top10pct	none	F	14208	0.21350003005349522
primary27_minus_CLU_ASS1_top10pct	none	P	4593	0.06901785177616157
primary27_minus_CLU_ASS1_top20pct	D+F	D	1731	0.013005747774146287
primary27_minus_CLU_ASS1_top20pct	D+F	F	5177	0.03889702843833352
primary27_minus_CLU_ASS1_top20pct	D+F	P	0	0.0
primary27_minus_CLU_ASS1_top20pct	D+F+P	D	142	0.0010669070964348774
primary27_minus_CLU_ASS1_top20pct	D+F+P	F	539	0.004049738908298584
primary27_minus_CLU_ASS1_top20pct	D+F+P	P	59	0.00044329238513843495
primary27_minus_CLU_ASS1_top20pct	D+P	D	146	0.001096960817461212
primary27_minus_CLU_ASS1_top20pct	D+P	F	0	0.0
primary27_minus_CLU_ASS1_top20pct	D+P	P	78	0.0005860475600135242
primary27_minus_CLU_ASS1_top20pct	D_only	D	2425	0.018220068372215334
primary27_minus_CLU_ASS1_top20pct	D_only	F	0	0.0
primary27_minus_CLU_ASS1_top20pct	D_only	P	0	0.0
primary27_minus_CLU_ASS1_top20pct	F+P	D	0	0.0
primary27_minus_CLU_ASS1_top20pct	F+P	F	4778	0.03589916976595665
primary27_minus_CLU_ASS1_top20pct	F+P	P	1152	0.008655471655584357
primary27_minus_CLU_ASS1_top20pct	F_only	D	0	0.0
primary27_minus_CLU_ASS1_top20pct	F_only	F	58019	0.4359217100567264
primary27_minus_CLU_ASS1_top20pct	F_only	P	0	0.0
primary27_minus_CLU_ASS1_top20pct	P_only	D	0	0.0
primary27_minus_CLU_ASS1_top20pct	P_only	F	0	0.0
primary27_minus_CLU_ASS1_top20pct	P_only	P	4188	0.0314662459145723
primary27_minus_CLU_ASS1_top20pct	none	D	16737	0.12575228220444043
primary27_minus_CLU_ASS1_top20pct	none	F	29026	0.21808482662759682
primary27_minus_CLU_ASS1_top20pct	none	P	8898	0.06685450242308126
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F	D	938	0.014095089258880807
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F	F	2733	0.041068101220171904
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F	P	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F+P	D	82	0.0012321933040812646
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F+P	F	279	0.0041924625833984494
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F+P	P	38	0.000571016409208391
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+P	D	99	0.0014876480134639659
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+P	F	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+P	P	51	0.0007663641281481036
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D_only	D	1445	0.021713650297529603
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D_only	F	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D_only	P	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F+P	D	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F+P	F	2470	0.03711606659854541
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F+P	P	656	0.009857546432650117
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F_only	D	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F_only	F	29413	0.44198172747490533
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F_only	P	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	P_only	D	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	P_only	F	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	P_only	P	2309	0.03469676023321512
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	none	D	8102	0.12174670914227324
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	none	F	13671	0.205430666586524
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	none	P	4262	0.06404399831700426
