cohort	n_cells_in_cohort	result	category	pooled_n	pooled_frac	n_donors	donor_unweighted_mean_frac	donor_unweighted_sd_frac	n_studies	study_unweighted_mean_frac	study_unweighted_sd_frac
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	step0_axis_supported_status	D+F	3671	0.055163190479052715	428	0.043845983509070936	0.08801630915229551	36	0.04104724755275005	0.04807645373695205
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	step0_axis_supported_status	D+F+P	399	0.005995672296688105	428	0.0043951646034946276	0.017088617867962872	36	0.0035875805431449755	0.005814520703477342
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	step0_axis_supported_status	D+P	150	0.0022540121416120694	428	0.002521994770610728	0.016514852400462823	36	0.0025978586326303532	0.005512942452118189
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	step0_axis_supported_status	D_only	1445	0.021713650297529603	428	0.022959540751804876	0.07154498840445579	36	0.018842068696071797	0.02318976903166601
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	step0_axis_supported_status	F+P	3126	0.04697361303119553	428	0.04066809464778597	0.07377788643203824	36	0.04397712659917796	0.05131636246348288
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	step0_axis_supported_status	F_only	29413	0.44198172747490533	428	0.36912272571985155	0.29421557054572023	36	0.41414973442435365	0.274992541376788
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	step0_axis_supported_status	P_only	2309	0.03469676023321512	428	0.04612504147162606	0.12618730667190037	36	0.042969603261545	0.07127770208716885
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	step0_axis_supported_status	none	26035	0.39122137404580154	428	0.47036145452575523	0.3313535811555516	36	0.3772732247347706	0.28066217494415735
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepA_coarse_argmax_DESCRIPTIVE_ONLY	D	10666	0.1602752900162289	428	0.17146621871244538	0.20412255838595303	36	0.14524148058609035	0.14176147189188562
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepA_coarse_argmax_DESCRIPTIVE_ONLY	F	48566	0.7297890244635451	428	0.6814949889557571	0.28513175550973036	36	0.6895732043779426	0.28429060317647886
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepA_coarse_argmax_DESCRIPTIVE_ONLY	P	7316	0.109935685520226	428	0.14703879233179748	0.21084958678981017	36	0.10962975948041145	0.13707841957608596
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepA_prime_predominant_among_supported	D	1555	0.023366592534711787	428	0.023890465310547896	0.07208247099591858	36	0.01977831275312794	0.023733199276455764
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepA_prime_predominant_among_supported	F	31555	0.4741690208571257	428	0.3939472518104543	0.3141555120667907	36	0.44406253818890673	0.29311439536238565
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepA_prime_predominant_among_supported	P	2421	0.0363797559656188	428	0.04985778895022502	0.13036239157451027	36	0.04630755692793503	0.07482834891337567
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepA_prime_predominant_among_supported	no_clear_predominance	4982	0.0748632565967422	428	0.06194303940301755	0.0961314028014018	36	0.057022811839704146	0.0537532442893404
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepA_prime_predominant_among_supported	not_applicable_none_supported	26035	0.39122137404580154	428	0.47036145452575523	0.3313535811555516	36	0.3772732247347706	0.28066217494415735
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepB_regional_refinement_within_F_assigned	Colon_biased	3171	0.04764981667367915	428	0.04675297033944281	0.08164614055441267	36	0.049924176068316804	0.05102865833176675
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepB_regional_refinement_within_F_assigned	SI_biased	9741	0.14637554847628778	428	0.11424094039432481	0.1425180718970822	36	0.10800728759269931	0.10224283904898235
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepB_regional_refinement_within_F_assigned	no_clear_regional_skew	23697	0.35608883813187475	428	0.29703805774643544	0.2956640803852882	36	0.3448302254584106	0.2789503309347425
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	66548	stepB_regional_refinement_within_F_assigned	not_applicable_not_F_assigned	29939	0.4498857967181583	428	0.5419680315197969	0.3441477973224303	36	0.4416827553250177	0.3056298800777204
