cohort	step0_status	stepA_argmax	n_cells	frac_of_cohort
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F	D	938	0.014095089258880807
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F	F	2733	0.041068101220171904
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F	P	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F+P	D	82	0.0012321933040812646
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F+P	F	279	0.0041924625833984494
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+F+P	P	38	0.000571016409208391
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+P	D	99	0.0014876480134639659
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+P	F	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D+P	P	51	0.0007663641281481036
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D_only	D	1445	0.021713650297529603
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D_only	F	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	D_only	P	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F+P	D	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F+P	F	2470	0.03711606659854541
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F+P	P	656	0.009857546432650117
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F_only	D	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F_only	F	29413	0.44198172747490533
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	F_only	P	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	P_only	D	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	P_only	F	0	0.0
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	P_only	P	2309	0.03469676023321512
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	none	D	8102	0.12174670914227324
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	none	F	13671	0.205430666586524
extended28_minus_CLU_ASS1_top10pct_SENSITIVITY	none	P	4262	0.06404399831700426
