cohort	step0_status	stepA_argmax	n_cells	frac_of_cohort
primary27_minus_CLU_ASS1_top5pct	D+F	D	487	0.014636052172867705
primary27_minus_CLU_ASS1_top5pct	D+F	F	1270	0.03816793893129771
primary27_minus_CLU_ASS1_top5pct	D+F	P	0	0.0
primary27_minus_CLU_ASS1_top5pct	D+F+P	D	47	0.0014125142754102301
primary27_minus_CLU_ASS1_top5pct	D+F+P	F	142	0.0042675963214521846
primary27_minus_CLU_ASS1_top5pct	D+F+P	P	19	0.000571016409208391
primary27_minus_CLU_ASS1_top5pct	D+P	D	56	0.0016829957324036786
primary27_minus_CLU_ASS1_top5pct	D+P	F	0	0.0
primary27_minus_CLU_ASS1_top5pct	D+P	P	36	0.0010819258279737933
primary27_minus_CLU_ASS1_top5pct	D_only	D	914	0.027468894632445753
primary27_minus_CLU_ASS1_top5pct	D_only	F	0	0.0
primary27_minus_CLU_ASS1_top5pct	D_only	P	0	0.0
primary27_minus_CLU_ASS1_top5pct	F+P	D	0	0.0
primary27_minus_CLU_ASS1_top5pct	F+P	F	1064	0.031976918915669894
primary27_minus_CLU_ASS1_top5pct	F+P	P	357	0.010729097794073451
primary27_minus_CLU_ASS1_top5pct	F_only	D	0	0.0
primary27_minus_CLU_ASS1_top5pct	F_only	F	13732	0.4126945963815592
primary27_minus_CLU_ASS1_top5pct	F_only	P	0	0.0
primary27_minus_CLU_ASS1_top5pct	P_only	D	0	0.0
primary27_minus_CLU_ASS1_top5pct	P_only	F	0	0.0
primary27_minus_CLU_ASS1_top5pct	P_only	P	1323	0.0397607741780369
primary27_minus_CLU_ASS1_top5pct	none	D	4449	0.13370800024042795
primary27_minus_CLU_ASS1_top5pct	none	F	7062	0.21223778325419246
primary27_minus_CLU_ASS1_top5pct	none	P	2316	0.0696038949329807
