left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	291612	0.4406077265739441	0.5091561643500923	0.0008736550807952881
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	295758	0.44064539670944214	0.508661997114023	0.000911325216293335
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	289754	0.4462782144546509	0.515757497018098	0.006544142961502075
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	295713	0.44033247232437134	0.5082891822419354	0.0005984008312225342
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	293625	0.4404999911785126	0.5079252151770529	0.0007659196853637695
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	293166	0.440647155046463	0.509322208976274	0.000913083553314209
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	295252	0.44042420387268066	0.5085473696150286	0.0006901323795318604
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	292331	0.44218698143959045	0.5111713763209729	0.0024529099464416504
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	296768	0.43992364406585693	0.5074269171336783	0.00018957257270812988
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	294116	0.43977734446525574	0.5078962837421851	4.3272972106933594e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	295985	0.44021308422088623	0.5079733308771613	0.00047901272773742676
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	295437	0.4395185112953186	0.5073904821150659	-0.0002155601978302002
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	293134	0.4414791464805603	0.5098105543496054	0.001745074987411499
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	293057	0.44054803252220154	0.5084746515804048	0.0008139610290527344
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	295853	0.43988993763923645	0.5077610309487868	0.00015586614608764648
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	295998	0.4404594600200653	0.5079556734097999	0.0007253885269165039
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	295488	0.4402785301208496	0.5083477771073167	0.0005444586277008057
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	292617	0.44485175609588623	0.514241351546632	0.005117684602737427
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	296478	0.4406467378139496	0.5081419593378416	0.0009126663208007812
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	296299	0.44019681215286255	0.5079198153350979	0.0004627406597137451
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC035	296492	0.43936896324157715	0.506811447633233	-0.0003651082515716553
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC040	296926	0.43915989995002747	0.5059294417012397	-0.0005741715431213379
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC043	296590	0.4389216899871826	0.5057515265420367	-0.0008123815059661865
