left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	291612	0.31967440247535706	0.42251333169100747	0.0015749037265777588
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	295758	0.31935203075408936	0.42243152866661865	0.0012525320053100586
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	289754	0.32347023487091064	0.42903496712114314	0.005370736122131348
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	295713	0.3190205693244934	0.4223886813006436	0.0009210705757141113
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	293625	0.31816336512565613	0.42199842857848874	6.386637687683105e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	293166	0.3194485902786255	0.4226346343258832	0.0013490915298461914
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	295252	0.31914159655570984	0.4226470327769223	0.001042097806930542
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	292331	0.32029297947883606	0.4245137770757254	0.0021934807300567627
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	296768	0.3182889223098755	0.4212784413605381	0.0001894235610961914
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	294116	0.3187207281589508	0.42167875778810365	0.0006212294101715088
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	295985	0.31870752573013306	0.42184839132526614	0.0006080269813537598
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	295437	0.3188093304634094	0.4214013969954959	0.000709831714630127
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	293134	0.32228636741638184	0.4261519418004199	0.004186868667602539
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	293057	0.3201863169670105	0.423391969360558	0.002086818218231201
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	295853	0.31936055421829224	0.4223975025757164	0.0012610554695129395
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	295998	0.31880906224250793	0.4219512708750876	0.0007095634937286377
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	295488	0.3189674913883209	0.42243101661411736	0.000867992639541626
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	292617	0.3215978741645813	0.4270100688567116	0.003498375415802002
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	296478	0.3187483549118042	0.42207500549344285	0.0006488561630249023
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	296299	0.31886762380599976	0.42201145120889527	0.000768125057220459
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC035	296492	0.3173600137233734	0.4203921477794625	-0.0007394850254058838
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC040	296926	0.31691792607307434	0.4193501123874983	-0.001181572675704956
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC043	296590	0.31647512316703796	0.41900838210412145	-0.001624375581741333
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC044	296950	0.31742364168167114	0.4201830331193104	-0.0006758570671081543
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2795	296996	0.3178338408470154	0.4208514381164049	-0.000265657901763916
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2801	296612	0.316836416721344	0.4192364938764716	-0.0012630820274353027
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2803	296271	0.31713300943374634	0.42006985854819406	-0.000966489315032959
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2811	296470	0.3160099983215332	0.4180296682332828	-0.0020895004272460938
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2816	296960	0.31759706139564514	0.4205530992220654	-0.0005024373531341553
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2817	296857	0.3168337941169739	0.41927061616007644	-0.00126570463180542
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2821	296248	0.31877490878105164	0.4222367386987635	0.0006754100322723389
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2841	296230	0.3165416717529297	0.41951825573247453	-0.0015578269958496094
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2899	296193	0.3157530128955841	0.41822950640837764	-0.0023464858531951904
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2783	296860	0.31693848967552185	0.41957347071826495	-0.0011610090732574463
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2787	296896	0.31711047887802124	0.41978375542042706	-0.0009890198707580566
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S02	296726	0.3162396252155304	0.41827766403978306	-0.0018598735332489014
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S05	295120	0.3116340935230255	0.4119938165003363	-0.006465405225753784
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S06	296495	0.3154085576534271	0.4170417802058766	-0.002690941095352173
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S07	296542	0.31565576791763306	0.41745985728456086	-0.0024437308311462402
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S10	295501	0.3120422959327698	0.41199259427541024	-0.0060572028160095215
Pelka_2021_Cell||Pelka_2021_Cell.C103	292968	0.3163168728351593	0.41822489303705185	-0.0017826259136199951
Pelka_2021_Cell||Pelka_2021_Cell.C104	295811	0.31842246651649475	0.42142569015956916	0.0003229677677154541
Pelka_2021_Cell||Pelka_2021_Cell.C105	296240	0.31855273246765137	0.4216669045146535	0.0004532337188720703
Pelka_2021_Cell||Pelka_2021_Cell.C106	296543	0.3181664049625397	0.4212161393822471	6.690621376037598e-05
Pelka_2021_Cell||Pelka_2021_Cell.C107	295379	0.3193720877170563	0.4210188763711064	0.0012725889682769775
Pelka_2021_Cell||Pelka_2021_Cell.C109	295924	0.31814268231391907	0.4216448072398184	4.318356513977051e-05
Pelka_2021_Cell||Pelka_2021_Cell.C110	296535	0.3170336186885834	0.41972799533484656	-0.0010658800601959229
Pelka_2021_Cell||Pelka_2021_Cell.C111	296907	0.31800785660743713	0.4209350344137438	-9.164214134216309e-05
Pelka_2021_Cell||Pelka_2021_Cell.C112	295840	0.31852617859840393	0.4218397847500879	0.0004266798496246338
Pelka_2021_Cell||Pelka_2021_Cell.C113	294796	0.3188563585281372	0.4213315403572775	0.0007568597793579102
Pelka_2021_Cell||Pelka_2021_Cell.C114	296025	0.31876835227012634	0.42157085300986824	0.0006688535213470459
Pelka_2021_Cell||Pelka_2021_Cell.C119	296302	0.31863507628440857	0.4215496218253186	0.0005355775356292725
Pelka_2021_Cell||Pelka_2021_Cell.C122	295455	0.31880462169647217	0.4220029521454872	0.0007051229476928711
Pelka_2021_Cell||Pelka_2021_Cell.C123	293630	0.3176775574684143	0.42055891961144604	-0.00042194128036499023
Pelka_2021_Cell||Pelka_2021_Cell.C124	296539	0.3183387815952301	0.42167447388935914	0.00023928284645080566
Pelka_2021_Cell||Pelka_2021_Cell.C125	295345	0.3179332911968231	0.42147696806261825	-0.00016620755195617676
Pelka_2021_Cell||Pelka_2021_Cell.C126	296719	0.318157434463501	0.4211114006011187	5.793571472167969e-05
Pelka_2021_Cell||Pelka_2021_Cell.C129	294328	0.3174252510070801	0.4214854011050926	-0.0006742477416992188
Pelka_2021_Cell||Pelka_2021_Cell.C130	294335	0.31683793663978577	0.41897678496913054	-0.0012615621089935303
Pelka_2021_Cell||Pelka_2021_Cell.C132	296161	0.31907743215560913	0.42148935945391713	0.000977933406829834
