left_out_group	n_donors_remaining	or_mh_excl	delta_or_vs_full
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	123	5.969537263779586	-0.12336087032660004
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	123	6.099365521801708	0.006467387695522575
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	123	6.249969276032941	0.15707114192675498
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	123	6.114712101847153	0.02181396774096722
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	123	6.084412121642396	-0.00848601246378955
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	123	6.154995185325027	0.06209705121884124
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	123	6.132537171322638	0.039639037216452344
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	123	6.095405565840154	0.0025074317339681684
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	123	6.321471647980259	0.228573513874073
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	123	6.235567538528621	0.1426694044224357
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	123	6.083976463609397	-0.008921670496788714
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	123	6.083219554672657	-0.009678579433528789
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	123	6.088244084742125	-0.004654049364060775
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	123	6.160513016012303	0.06761488190611775
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	123	6.147347490719265	0.05444935661307948
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	123	6.091678316786926	-0.001219817319259242
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	123	6.175459268771702	0.08256113466551618
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	123	6.1964592493612765	0.10356111525509082
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	123	6.092495330676918	-0.000402803429267351
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	123	6.099837741566154	0.0069396074599685775
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2783	123	6.120189653710862	0.027291519604676573
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2787	123	6.113180686583605	0.02028255247741928
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2801	123	6.148736787419907	0.055838653313720954
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2803	123	6.033876576593945	-0.059021557512240364
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2811	123	6.234158353269331	0.14126021916314535
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2816	123	6.106006440030961	0.013108305924775188
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2841	123	6.11175342058895	0.018855286482764022
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2899	123	6.19680536428273	0.10390723017654402
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S02	123	6.093242455297026	0.0003443211908402688
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S05	123	6.85654668936541	0.7636485552592243
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S06	123	6.116397278656468	0.023499144550282125
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S07	123	6.105414413068659	0.012516278962473315
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S10	123	6.050419670466716	-0.04247846363946994
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC040	123	6.092252225695212	-0.0006459084109735613
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC044	123	6.108888618457144	0.015990484350957956
Pelka_2021_Cell||Pelka_2021_Cell.C103	123	6.0795147015522115	-0.013383432553974117
Pelka_2021_Cell||Pelka_2021_Cell.C104	123	6.124662685898105	0.031764551791919615
Pelka_2021_Cell||Pelka_2021_Cell.C105	123	6.092575918265364	-0.00032221584082137156
Pelka_2021_Cell||Pelka_2021_Cell.C106	123	6.088766092187146	-0.0041320419190400415
Pelka_2021_Cell||Pelka_2021_Cell.C107	123	6.101627494840084	0.008729360733898517
Pelka_2021_Cell||Pelka_2021_Cell.C110	123	6.047172616600935	-0.045725517505250224
Pelka_2021_Cell||Pelka_2021_Cell.C111	123	6.085034839824856	-0.00786329428132948
Pelka_2021_Cell||Pelka_2021_Cell.C112	123	6.092033053780886	-0.0008650803252994166
Pelka_2021_Cell||Pelka_2021_Cell.C113	123	6.117659528647541	0.024761394541354953
Pelka_2021_Cell||Pelka_2021_Cell.C114	123	6.093754307597471	0.0008561734912850838
Pelka_2021_Cell||Pelka_2021_Cell.C115	123	6.0877904800209475	-0.005107654085238167
Pelka_2021_Cell||Pelka_2021_Cell.C116	123	6.09214498080909	-0.0007531532970954657
Pelka_2021_Cell||Pelka_2021_Cell.C118	123	6.088917255660522	-0.003980878445663194
Pelka_2021_Cell||Pelka_2021_Cell.C119	123	6.099800687936796	0.006902553830610003
Pelka_2021_Cell||Pelka_2021_Cell.C122	123	6.083559451026649	-0.009338683079536558
Pelka_2021_Cell||Pelka_2021_Cell.C123	123	6.062911859444765	-0.029986274661420786
Pelka_2021_Cell||Pelka_2021_Cell.C124	123	6.08628691502695	-0.006611219079236008
Pelka_2021_Cell||Pelka_2021_Cell.C125	123	6.087069757400385	-0.005828376705800942
Pelka_2021_Cell||Pelka_2021_Cell.C126	123	6.094236256463673	0.0013381223574873147
Pelka_2021_Cell||Pelka_2021_Cell.C129	123	6.110268572716036	0.017370438609850325
Pelka_2021_Cell||Pelka_2021_Cell.C130	123	6.087213265671364	-0.005684868434821411
Pelka_2021_Cell||Pelka_2021_Cell.C132	123	6.094084853404954	0.0011867192987686792
Pelka_2021_Cell||Pelka_2021_Cell.C133	123	6.079108520863094	-0.013789613243091914
Pelka_2021_Cell||Pelka_2021_Cell.C135	123	6.092319352062154	-0.0005787820440312785
Pelka_2021_Cell||Pelka_2021_Cell.C136	123	6.09171777801451	-0.0011803560916758826
Pelka_2021_Cell||Pelka_2021_Cell.C137	123	6.088145020454261	-0.004753113651924323
Pelka_2021_Cell||Pelka_2021_Cell.C138	123	6.09162227676302	-0.0012758573431659315
Pelka_2021_Cell||Pelka_2021_Cell.C139	123	6.090757973216459	-0.002140160889726239
Pelka_2021_Cell||Pelka_2021_Cell.C140	123	6.091811829788042	-0.001086304318143938
Pelka_2021_Cell||Pelka_2021_Cell.C142	123	6.137698819197869	0.044800685091683334
Pelka_2021_Cell||Pelka_2021_Cell.C143	123	6.095162344189741	0.0022642100835552625
Pelka_2021_Cell||Pelka_2021_Cell.C144	123	6.089855066495992	-0.003043067610193795
Pelka_2021_Cell||Pelka_2021_Cell.C145	123	6.089109912689553	-0.003788221416632709
Pelka_2021_Cell||Pelka_2021_Cell.C146	123	6.08266252665567	-0.010235607450515438
Pelka_2021_Cell||Pelka_2021_Cell.C147	123	6.073224279637717	-0.019673854468468477
Pelka_2021_Cell||Pelka_2021_Cell.C149	123	6.090287711949416	-0.002610422156769765
Pelka_2021_Cell||Pelka_2021_Cell.C150	123	6.092926311115373	2.8177009187224655e-05
Pelka_2021_Cell||Pelka_2021_Cell.C151	123	6.077390434719021	-0.015507699387164564
Pelka_2021_Cell||Pelka_2021_Cell.C152	123	6.088730216472444	-0.004167917633741247
Pelka_2021_Cell||Pelka_2021_Cell.C153	123	6.089876052335985	-0.003022081770200913
Pelka_2021_Cell||Pelka_2021_Cell.C154	123	6.091065705948967	-0.001832428157218402
Pelka_2021_Cell||Pelka_2021_Cell.C155	123	6.094237376298634	0.0013392421924480757
Pelka_2021_Cell||Pelka_2021_Cell.C156	123	6.082624850352309	-0.010273283753877038
Pelka_2021_Cell||Pelka_2021_Cell.C157	123	6.105558183973576	0.012660049867390555
Pelka_2021_Cell||Pelka_2021_Cell.C158	123	6.080221827925736	-0.012676306180449792
Pelka_2021_Cell||Pelka_2021_Cell.C159	123	6.083761649052183	-0.009136485054002996
Pelka_2021_Cell||Pelka_2021_Cell.C160	123	6.091879288215535	-0.0010188458906510434
Pelka_2021_Cell||Pelka_2021_Cell.C161	123	6.082508532390487	-0.010389601715698582
Pelka_2021_Cell||Pelka_2021_Cell.C162	123	6.0944228671724225	0.0015247330662369052
Pelka_2021_Cell||Pelka_2021_Cell.C163	123	6.1200360641748865	0.02713793006870091
Pelka_2021_Cell||Pelka_2021_Cell.C164	123	6.093990732927514	0.0010925988213283944
Pelka_2021_Cell||Pelka_2021_Cell.C166	123	6.078529203422493	-0.014368930683692938
Pelka_2021_Cell||Pelka_2021_Cell.C168	123	6.077835719130828	-0.015062414975357541
Pelka_2021_Cell||Pelka_2021_Cell.C169	123	6.090988716280864	-0.0019094178253213911
Pelka_2021_Cell||Pelka_2021_Cell.C170	123	6.087967049317516	-0.0049310847886694376
Pelka_2021_Cell||Pelka_2021_Cell.C171	123	6.060168634801544	-0.03272949930464186
