donor_key	n_cells	a_m11hi_revcschi	b_m11hi_revcsclo	c_m11lo_revcschi	d_m11lo_revcsclo	estimable	odds_ratio	not_estimable_reason
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	5695	40	46	182	5427	True	25.929288103201145	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	1549	1	3	68	1477	True	7.240196078431373	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	7553	2	157	113	7281	True	0.8208105518290965	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	1594	2	20	73	1499	True	2.0534246575342467	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	3682	0	7	53	3622	True	0.0	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	4141	3	63	125	3950	True	1.5047619047619047	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	2055	3	29	60	1963	True	3.3844827586206896	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	539	0	0	9	530	False		zero margin or zero off-diagonal cell
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	4976	12	125	213	4626	True	2.084957746478873	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	3191	8	85	170	2928	True	1.621038062283737	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	1322	1	5	51	1265	True	4.96078431372549	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	1870	2	4	52	1812	True	17.423076923076923	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	4173	1	0	118	4054	False		zero margin or zero off-diagonal cell
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	4250	21	221	160	3848	True	2.2852941176470587	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	1454	0	35	41	1378	True	0.0	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	1309	1	2	29	1277	True	22.017241379310345	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	1819	2	30	106	1681	True	1.0572327044025158	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	4690	2	35	240	4413	True	1.0507142857142857	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	829	0	0	12	817	False		zero margin or zero off-diagonal cell
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	1008	0	1	48	959	True	0.0	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2783	447	25	187	9	226	True	3.3571004159239455	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2787	411	48	317	5	41	True	1.2416403785488959	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2795	311	12	185	2	112	True	3.6324324324324326	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2801	695	61	199	46	389	True	2.592200131090234	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2803	1036	101	383	7	545	True	20.531518090264825	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2811	837	81	136	81	539	True	3.963235294117647	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2816	347	19	273	3	52	True	1.2063492063492063	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2817	450	147	269	0	34	False		zero margin or zero off-diagonal cell
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2821	1059	8	925	0	126	False		zero margin or zero off-diagonal cell
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2841	1077	84	653	16	324	True	2.6049004594180705	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2899	1114	53	307	32	722	True	3.895154723127036	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S02	581	288	183	24	86	True	5.639344262295082	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S05	2187	143	228	433	1383	True	2.0032514889996356	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S06	812	192	345	44	231	True	2.9217391304347826	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S07	765	246	234	55	230	True	4.396270396270396	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S10	1806	706	257	310	533	True	4.7232082339651065	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC035	815	55	198	0	562	False		zero margin or zero off-diagonal cell
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC040	381	144	200	2	35	True	12.6	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC043	717	101	485	0	131	False		zero margin or zero off-diagonal cell
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC044	357	1	20	11	325	True	1.4772727272727273	
Pelka_2021_Cell||Pelka_2021_Cell.C103	4339	3	101	5	4230	True	25.128712871287128	
Pelka_2021_Cell||Pelka_2021_Cell.C104	1496	2	74	20	1400	True	1.8918918918918919	
Pelka_2021_Cell||Pelka_2021_Cell.C105	1067	0	9	3	1055	True	0.0	
Pelka_2021_Cell||Pelka_2021_Cell.C106	764	0	8	2	754	True	0.0	
Pelka_2021_Cell||Pelka_2021_Cell.C107	1928	4	31	18	1875	True	13.440860215053764	
Pelka_2021_Cell||Pelka_2021_Cell.C109	1383	0	11	0	1372	False		zero margin or zero off-diagonal cell
Pelka_2021_Cell||Pelka_2021_Cell.C110	772	49	124	19	580	True	12.062818336162987	
Pelka_2021_Cell||Pelka_2021_Cell.C111	400	5	8	2	385	True	120.3125	
Pelka_2021_Cell||Pelka_2021_Cell.C112	1467	1	11	0	1455	False		zero margin or zero off-diagonal cell
Pelka_2021_Cell||Pelka_2021_Cell.C113	2511	2	33	85	2391	True	1.704812834224599	
Pelka_2021_Cell||Pelka_2021_Cell.C114	1282	1	27	4	1250	True	11.574074074074074	
Pelka_2021_Cell||Pelka_2021_Cell.C115	505	2	5	5	493	True	39.44	
Pelka_2021_Cell||Pelka_2021_Cell.C116	368	0	7	1	360	True	0.0	
Pelka_2021_Cell||Pelka_2021_Cell.C118	1069	2	115	4	948	True	4.121739130434783	
Pelka_2021_Cell||Pelka_2021_Cell.C119	1005	1	13	4	987	True	18.98076923076923	
Pelka_2021_Cell||Pelka_2021_Cell.C122	1852	6	60	10	1776	True	17.76	
Pelka_2021_Cell||Pelka_2021_Cell.C123	3677	8	230	17	3422	True	7.00153452685422	
Pelka_2021_Cell||Pelka_2021_Cell.C124	768	4	38	2	724	True	38.10526315789474	
Pelka_2021_Cell||Pelka_2021_Cell.C125	1962	1	60	2	1899	True	15.825	
Pelka_2021_Cell||Pelka_2021_Cell.C126	588	3	21	7	557	True	11.36734693877551	
Pelka_2021_Cell||Pelka_2021_Cell.C129	2979	9	248	33	2689	True	2.9571114369501466	
Pelka_2021_Cell||Pelka_2021_Cell.C130	2972	9	92	42	2829	True	6.589285714285714	
Pelka_2021_Cell||Pelka_2021_Cell.C132	1146	0	10	4	1132	True	0.0	
Pelka_2021_Cell||Pelka_2021_Cell.C133	946	16	32	87	811	True	4.660919540229885	
Pelka_2021_Cell||Pelka_2021_Cell.C134	1128	0	2	0	1126	False		zero margin or zero off-diagonal cell
Pelka_2021_Cell||Pelka_2021_Cell.C135	646	0	3	1	642	True	0.0	
