result	category	pooled_n	pooled_frac	n_donors	donor_unweighted_mean_frac	donor_unweighted_sd_frac	n_studies	study_unweighted_mean_frac	study_unweighted_sd_frac
step0_axis_supported_status	D+F	27016	0.04059668837052743	529	0.03164429243815442	0.050657104842791546	36	0.03699000800620821	0.039877252141143724
step0_axis_supported_status	D+F+P	2858	0.004294689641803649	529	0.0032643161411457016	0.01285135106236873	36	0.0034693900190767906	0.004891368913839598
step0_axis_supported_status	D+P	815	0.0012246928124807468	529	0.0026134194004266255	0.008193182051831923	36	0.001916866589740189	0.004396622558964996
step0_axis_supported_status	D_only	8786	0.013202639325712688	529	0.01856419043059037	0.04991832875930743	36	0.015606183021917106	0.02164293862990571
step0_axis_supported_status	F+P	29361	0.044120497751223564	529	0.04066839519194927	0.07619269709342297	36	0.04816451200229663	0.059178515199925785
step0_axis_supported_status	F_only	318159	0.4780945282528367	529	0.44067020965051873	0.3111499222985649	36	0.4895129939118028	0.25204765897721343
step0_axis_supported_status	P_only	20381	0.030626336455423436	529	0.04809190566970055	0.09136811276481582	36	0.03365635756593301	0.04543452234127277
step0_axis_supported_status	none	258097	0.3878399273899918	529	0.4144832710775143	0.30521595185273226	36	0.3706836888830252	0.2525027800490807
stepA_coarse_argmax_DESCRIPTIVE_ONLY	D	93446	0.14042042276696426	529	0.14658002361006733	0.14088788076696296	36	0.12916144348373756	0.11940964657731688
stepA_coarse_argmax_DESCRIPTIVE_ONLY	F	501708	0.7539118792197429	529	0.7114109457360818	0.26076504571515596	36	0.7648705499496382	0.21105991645439048
stepA_coarse_argmax_DESCRIPTIVE_ONLY	P	70319	0.1056676980132928	529	0.14200903065385098	0.17233361872970976	36	0.10596800656662417	0.10756393031685403
stepA_prime_predominant_among_supported	D	9385	0.014102750975621851	529	0.019284057091936303	0.05023809098271517	36	0.016673828995113188	0.021780557064830623
stepA_prime_predominant_among_supported	F	337057	0.5064923745967154	529	0.46299482587607	0.32593557956929886	36	0.5177480150305351	0.2626886608250205
stepA_prime_predominant_among_supported	P	20936	0.03146032972036431	529	0.04955647207321399	0.09521380124710677	36	0.03524634611477115	0.046679348541949724
stepA_prime_predominant_among_supported	no_clear_predominance	39998	0.06010461731730664	529	0.05368137388126538	0.07757474584614679	36	0.059648120976555315	0.055113219456360364
stepA_prime_predominant_among_supported	not_applicable_none_supported	258097	0.3878399273899918	529	0.4144832710775143	0.30521595185273226	36	0.3706836888830252	0.2525027800490807
stepB_regional_refinement_within_F_assigned	Colon_biased	26709	0.04013536236631689	529	0.04112247623990797	0.07138429527964477	36	0.048481981578769526	0.042894142153598686
stepB_regional_refinement_within_F_assigned	SI_biased	124940	0.1877461594985822	529	0.17398525140928836	0.1813493237926919	36	0.18346153742064747	0.11399816119086881
