result	category	pooled_n	pooled_frac	n_donors	donor_unweighted_mean_frac	donor_unweighted_sd_frac	n_studies	study_unweighted_mean_frac	study_unweighted_sd_frac
sec4b_status_x_revCSC_matched_null_support	D+F+P|not_revCSC_supported	1347	0.0020241241943700196	529	0.0011723578842300247	0.004733650416765814	36	0.0014701045502052027	0.0024952676560006464
sec4b_status_x_revCSC_matched_null_support	D+F+P|revCSC_supported	1511	0.00227056544743363	529	0.002091958256915677	0.009596781264697466	36	0.001999285468871588	0.0029890528066417476
sec4b_status_x_revCSC_matched_null_support	D+F|not_revCSC_supported	11495	0.01727342807296464	529	0.010361931912656216	0.020890864416672456	36	0.010307499861153516	0.013206722495764342
sec4b_status_x_revCSC_matched_null_support	D+F|revCSC_supported	15521	0.023323260297562785	529	0.021282360525498204	0.04175994847541969	36	0.0266825081450547	0.03355349139659196
sec4b_status_x_revCSC_matched_null_support	D+P|not_revCSC_supported	374	0.0005620062722304286	529	0.0015837853137720035	0.005967298758018828	36	0.0007363191238432706	0.0018795310381147436
sec4b_status_x_revCSC_matched_null_support	D+P|revCSC_supported	441	0.0006626865402503182	529	0.0010296340866546223	0.0038942312480596095	36	0.001180547465896918	0.0026919027682434666
sec4b_status_x_revCSC_matched_null_support	D_only|not_revCSC_supported	3957	0.005946146575443331	529	0.008648744538761076	0.015972066676973002	36	0.006568869251286486	0.010421512280860735
sec4b_status_x_revCSC_matched_null_support	D_only|revCSC_supported	4829	0.007256492750269357	529	0.009915445891829295	0.04638812530719002	36	0.009037313770630617	0.01510193277301162
sec4b_status_x_revCSC_matched_null_support	F+P|not_revCSC_supported	14463	0.021733413677189006	529	0.018653006968732407	0.053591381022993996	36	0.020390269172877715	0.02657000921950517
sec4b_status_x_revCSC_matched_null_support	F+P|revCSC_supported	14898	0.022387084074034558	529	0.02201538822321687	0.044108398652163164	36	0.027774242829418913	0.03717020808905333
sec4b_status_x_revCSC_matched_null_support	F_only|not_revCSC_supported	160558	0.2412689921304095	529	0.21922365178885966	0.23220852924696028	36	0.23906706937384634	0.17768667376699598
sec4b_status_x_revCSC_matched_null_support	F_only|revCSC_supported	157601	0.2368255361224272	529	0.2214465578616591	0.22310770555126375	36	0.25044592453795644	0.16306475078805382
sec4b_status_x_revCSC_matched_null_support	P_only|not_revCSC_supported	10807	0.016239576962551447	529	0.030656481490666514	0.07258673359287356	36	0.015487457924727463	0.0271345286280696
sec4b_status_x_revCSC_matched_null_support	P_only|revCSC_supported	9574	0.014386759492871987	529	0.017435424179034032	0.03483363144262972	36	0.01816889964120554	0.024957721959583023
sec4b_status_x_revCSC_matched_null_support	none|not_revCSC_supported	124681	0.1873569626416098	529	0.2325629200247907	0.24014138121338602	36	0.17363292335330482	0.16085917790481188
sec4b_status_x_revCSC_matched_null_support	none|revCSC_supported	133416	0.20048296474838198	529	0.18192035105272356	0.1725389069297883	36	0.19705076552972037	0.18528103912122557
