cohort	step0_status	stepA_argmax	n_cells	frac_of_cohort
full_atlas	D+F	D	5860	0.008805766725321688
full_atlas	D+F	F	21156	0.03179092164520574
full_atlas	D+F	P	0	0.0
full_atlas	D+F+P	D	495	0.0007438318308932143
full_atlas	D+F+P	F	2193	0.0032954004144420583
full_atlas	D+F+P	P	170	0.00025545739646837663
full_atlas	D+P	D	446	0.0006701999930876234
full_atlas	D+P	F	0	0.0
full_atlas	D+P	P	369	0.0005544928193931234
full_atlas	D_only	D	8786	0.013202639325712688
full_atlas	D_only	F	0	0.0
full_atlas	D_only	P	0	0.0
full_atlas	F+P	D	0	0.0
full_atlas	F+P	F	24656	0.037050338631319374
full_atlas	F+P	P	4705	0.0070701591199041885
full_atlas	F_only	D	0	0.0
full_atlas	F_only	F	318159	0.4780945282528367
full_atlas	F_only	P	0	0.0
full_atlas	P_only	D	0	0.0
full_atlas	P_only	F	0	0.0
full_atlas	P_only	P	20381	0.030626336455423436
full_atlas	none	D	77859	0.11699798489194903
full_atlas	none	F	135544	0.20368069027593907
full_atlas	none	P	44694	0.06716125222210367
