signature	target	n_signature	K_target	k_overlap	expected	fold_enrichment	p_value	fdr	neg_log10_fdr
YAP_SIGNALING_GENES	D-shared	340	4	0	0.08	0.0	1.0	1.0	-0.0
YAP_SIGNALING_GENES	F-specific-global	340	1813	30	36.145	0.83	0.8832861353891763	1.0	-0.0
YAP_SIGNALING_GENES	F-lineage-Adrenal	340	422	6	8.413	0.713	0.8497317687398711	1.0	-0.0
YAP_SIGNALING_GENES	F-lineage-Liver	340	471	3	9.39	0.319	0.9960679199495919	1.0	-0.0
YAP_SIGNALING_GENES	F-lineage-Skin	340	719	7	14.334	0.488	0.9901955027992558	1.0	-0.0
YAP_SIGNALING_GENES	F-lineage-Spleen	340	707	7	14.095	0.497	0.9885445940690551	1.0	-0.0
YAP_SIGNALING_GENES	F-lineage-Stomach	340	496	4	9.889	0.405	0.9901222991999348	1.0	-0.0
YAP_SIGNALING_GENES	F-lineage-Thymus	340	1115	21	22.229	0.945	0.639238095285525	1.0	-0.0
YAP_SIGNALING_GENES	F-lineage-Thyroid	340	430	6	8.573	0.7	0.8617050906132641	1.0	-0.0
YAP_SIGNALING_GENES	P-specific	340	37	0	0.738	0.0	1.0	1.0	-0.0
REVIVAL_STEM_CELL_GENES	D-shared	211	4	0	0.049	0.0	1.0	1.0	-0.0
REVIVAL_STEM_CELL_GENES	F-specific-global	211	1813	10	22.431	0.446	0.9993309536999304	1.0	-0.0
REVIVAL_STEM_CELL_GENES	F-lineage-Adrenal	211	422	1	5.221	0.192	0.9951077538836645	1.0	-0.0
REVIVAL_STEM_CELL_GENES	F-lineage-Liver	211	471	1	5.827	0.172	0.9973853469906471	1.0	-0.0
REVIVAL_STEM_CELL_GENES	F-lineage-Skin	211	719	2	8.896	0.225	0.9988904841769776	1.0	-0.0
REVIVAL_STEM_CELL_GENES	F-lineage-Spleen	211	707	2	8.747	0.229	0.9987236517654636	1.0	-0.0
REVIVAL_STEM_CELL_GENES	F-lineage-Stomach	211	496	1	6.137	0.163	0.9981020770138906	1.0	-0.0
REVIVAL_STEM_CELL_GENES	F-lineage-Thymus	211	1115	9	13.795	0.652	0.9388938459426509	1.0	-0.0
REVIVAL_STEM_CELL_GENES	F-lineage-Thyroid	211	430	0	5.32	0.0	1.0	1.0	-0.0
REVIVAL_STEM_CELL_GENES	P-specific	211	37	0	0.458	0.0	1.0	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	D-shared	231	4	0	0.054	0.0	1.0	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	F-specific-global	231	1813	24	24.557	0.977	0.579594823933514	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	F-lineage-Adrenal	231	422	8	5.716	1.4	0.21465333689247715	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	F-lineage-Liver	231	471	4	6.38	0.627	0.8847180681507412	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	F-lineage-Skin	231	719	6	9.739	0.616	0.9280377029417526	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	F-lineage-Spleen	231	707	10	9.576	1.044	0.4901532630174515	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	F-lineage-Stomach	231	496	4	6.718	0.595	0.9071596094757193	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	F-lineage-Thymus	231	1115	18	15.103	1.192	0.2531229163056339	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	F-lineage-Thyroid	231	430	5	5.824	0.858	0.6958142651517768	1.0	-0.0
FETAL_SPHEROID_EPITHELIUM_GENES	P-specific	231	37	0	0.501	0.0	1.0	1.0	-0.0
REGENERATIVE_EPITHELIUM	D-shared	153	4	0	0.036	0.0	1.0	1.0	-0.0
REGENERATIVE_EPITHELIUM	F-specific-global	153	1813	9	16.265	0.553	0.985736387228469	1.0	-0.0
REGENERATIVE_EPITHELIUM	F-lineage-Adrenal	153	422	1	3.786	0.264	0.9787417098613811	1.0	-0.0
REGENERATIVE_EPITHELIUM	F-lineage-Liver	153	471	0	4.226	0.0	1.0	1.0	-0.0
REGENERATIVE_EPITHELIUM	F-lineage-Skin	153	719	2	6.451	0.31	0.9896088704607245	1.0	-0.0
REGENERATIVE_EPITHELIUM	F-lineage-Spleen	153	707	3	6.343	0.473	0.95553260737883	1.0	-0.0
REGENERATIVE_EPITHELIUM	F-lineage-Stomach	153	496	1	4.45	0.225	0.9892881744864006	1.0	-0.0
REGENERATIVE_EPITHELIUM	F-lineage-Thymus	153	1115	5	10.003	0.5	0.97492623711893	1.0	-0.0
REGENERATIVE_EPITHELIUM	F-lineage-Thyroid	153	430	0	3.858	0.0	1.0	1.0	-0.0
REGENERATIVE_EPITHELIUM	P-specific	153	37	0	0.332	0.0	1.0	1.0	-0.0
FETAL_INTESTINE_GENES	D-shared	1147	4	0	0.269	0.0	1.0	1.0	-0.0
FETAL_INTESTINE_GENES	F-specific-global	1147	1813	135	121.937	1.107	0.1074167693287768	1.0	-0.0
FETAL_INTESTINE_GENES	F-lineage-Adrenal	1147	422	23	28.382	0.81	0.8788180028880956	1.0	-0.0
FETAL_INTESTINE_GENES	F-lineage-Liver	1147	471	19	31.678	0.6	0.9956031850077811	1.0	-0.0
FETAL_INTESTINE_GENES	F-lineage-Skin	1147	719	31	48.358	0.641	0.9979673713812868	1.0	-0.0
FETAL_INTESTINE_GENES	F-lineage-Spleen	1147	707	44	47.551	0.925	0.7286217144853	1.0	-0.0
FETAL_INTESTINE_GENES	F-lineage-Stomach	1147	496	22	33.359	0.659	0.9883276518837217	1.0	-0.0
FETAL_INTESTINE_GENES	F-lineage-Thymus	1147	1115	96	74.991	1.28	0.006914189575112205	0.34570947875561026	0.461
FETAL_INTESTINE_GENES	F-lineage-Thyroid	1147	430	11	28.92	0.38	0.9999751548824118	1.0	-0.0
FETAL_INTESTINE_GENES	P-specific	1147	37	1	2.489	0.402	0.9241474697199819	1.0	-0.0
