signature	target	n_overlap	overlap_genes
YAP_SIGNALING_GENES	D-shared	0	
YAP_SIGNALING_GENES	F-specific-global	30	ARHGAP22;ARHGAP29;ARHGEF17;ARID3A;ARNT2;BICD1;CGNL1;DENND2C;GCNT1;GRB10;KLHL13;LAMA3;LATS2;PCSK6;PGAP1;PPARG;PPP1R9A;PTPN14;PTPRT;RAPH1;RASGEF1B;RASSF8;SEMA3C;SLC25A48;SPON1;SSH1;TJP1;TLN2;WWC1;WWC2
YAP_SIGNALING_GENES	P-specific	0	
REVIVAL_STEM_CELL_GENES	D-shared	0	
REVIVAL_STEM_CELL_GENES	F-specific-global	10	ARHGEF28;DIP2C;EPHA4;FAM135A;KIF20B;PNPT1;PPFIBP2;SLC4A4;TANC1;ZFHX3
REVIVAL_STEM_CELL_GENES	P-specific	0	
FETAL_SPHEROID_EPITHELIUM_GENES	D-shared	0	
FETAL_SPHEROID_EPITHELIUM_GENES	F-specific-global	24	ABCC4;ACSM3;ARHGAP44;CCDC92;CDH13;CGNL1;DDAH1;EFNA5;EPHA4;FLNC;GCNT1;GLIS3;GNAI1;GTSE1;HS6ST2;LAMA3;MGAT4C;SAMD5;SCEL;SLC25A48;SPATA6;SUSD4;TNNI2;WWC2
FETAL_SPHEROID_EPITHELIUM_GENES	P-specific	0	
REGENERATIVE_EPITHELIUM	D-shared	0	
REGENERATIVE_EPITHELIUM	F-specific-global	9	BMP5;CDH11;DDAH1;EYA2;FBN1;LAMA4;POSTN;RUNX2;SVEP1
REGENERATIVE_EPITHELIUM	P-specific	0	
FETAL_INTESTINE_GENES	D-shared	0	
FETAL_INTESTINE_GENES	F-specific-global	135	ABCC4;ACACB;ACSBG1;ACSM3;ADAM32;AGPAT4;AHI1;ANKRD1;ANKRD50;ARHGAP22;ARHGAP29;ARHGAP44;ARHGEF28;ARSB;BACE2;BAIAP2L1;BCL2;BICC1;CCDC92;CDH13;CDH6;CELSR1;CGNL1;CHIC1;CMTM8;CNNM2;COL4A5;CPNE8;CTTNBP2NL;DDAH1;DISP1;DLG5;DLGAP1;DYNC2H1;EBF1;EFNA5;EML1;ERMP1;EVA1C;EVC;EVC2;FAM20C;FARP1;FGGY;FLNC;FLRT2;FRY;GARNL3;GCNT1;GNA14;GNAI1;GRAMD1B;HIF3A;HLCS;IGSF1;IL7;IRAK1BP1;ITGA2B;KCTD1;LAMA3;LRP6;LRRC49;MANBA;MAP1B;MBOAT2;MCC;MYO5C;NBEA;NPHP1;NTRK2;OPHN1;PACRG;PAK3;PALD1;PARVA;PCBP3;PDGFC;PDZRN3;PIK3C2G;PKIA;PLEKHM3;PPM1K;PPP2R2B;PRKCA;PTPN14;PTPRB;PTPRR;PTPRS;RASGRF1;RASGRP3;RBMS3;RELN;RFX2;RHOJ;RILPL1;RMDN2;RORA;RPGRIP1L;RUNX1;SCEL;SESTD1;SETBP1;SGSM1;SH3PXD2B;SLC22A23;SLC22A4;SLC25A48;SLC45A4;SLCO3A1;SMAD6;SPATA6;SPIRE1;SPSB4;SRGAP3;STXBP4;SULT1C2;SUSD4;TBC1D19;TEC;TENM4;THSD4;TMEM108;TMTC2;TNNI2;TPST1;TSHZ2;UGGT2;UNC5C;WDPCP;WWC1;WWC2;ZBTB7C;ZC2HC1A;ZFP30;ZFPM2
FETAL_INTESTINE_GENES	P-specific	1	MKRN3
YAP_SIGNALING_GENES	F-lineage-Adrenal	6	ARHGAP29;BICD1;LAMA3;PCSK6;PTPRT;TLN2
YAP_SIGNALING_GENES	F-lineage-Liver	3	BICD1;GCNT1;PTPRT
YAP_SIGNALING_GENES	F-lineage-Skin	7	ARNT2;BICD1;GCNT1;KLHL13;PPP1R9A;PTPRT;SLC25A48
YAP_SIGNALING_GENES	F-lineage-Spleen	7	KLHL13;LAMA3;PGAP1;PPP1R9A;PTPRT;TLN2;WWC1
YAP_SIGNALING_GENES	F-lineage-Stomach	4	ARID3A;BICD1;PGAP1;PTPRT
YAP_SIGNALING_GENES	F-lineage-Thymus	21	ARHGAP22;ARHGAP29;ARHGEF17;ARID3A;ARNT2;CGNL1;GCNT1;GRB10;LATS2;PGAP1;PPARG;PPP1R9A;PTPN14;RAPH1;RASSF8;SEMA3C;SPON1;SSH1;TJP1;TLN2;WWC2
YAP_SIGNALING_GENES	F-lineage-Thyroid	6	DENND2C;KLHL13;PCSK6;PTPRT;RASGEF1B;SEMA3C
REVIVAL_STEM_CELL_GENES	F-lineage-Adrenal	1	EPHA4
REVIVAL_STEM_CELL_GENES	F-lineage-Liver	1	KIF20B
REVIVAL_STEM_CELL_GENES	F-lineage-Skin	2	SLC4A4;ZFHX3
REVIVAL_STEM_CELL_GENES	F-lineage-Spleen	2	SLC4A4;ZFHX3
REVIVAL_STEM_CELL_GENES	F-lineage-Stomach	1	KIF20B
REVIVAL_STEM_CELL_GENES	F-lineage-Thymus	9	ARHGEF28;DIP2C;EPHA4;FAM135A;PNPT1;PPFIBP2;SLC4A4;TANC1;ZFHX3
REVIVAL_STEM_CELL_GENES	F-lineage-Thyroid	0	
