raw_mouse_symbol	canonical_mouse_symbol	resolution_method	mouse_ensembl_ids
1110028F11Rik	1110028F11Rik	exact	ENSMUSG00000085972
1110032A04Rik		not_found	
1110038F14Rik	1110038F14Rik	exact	ENSMUSG00000063236
1700007K13Rik		not_found	
1700012L04Rik		not_found	
1700016K19Rik		not_found	
1700019G06Rik		not_found	
1700019L03Rik		not_found	
1700047I17Rik2		not_found	
1700056E22Rik	1700056E22Rik	exact	ENSMUSG00000044854
1700066B19Rik		not_found	
1810011O10Rik		not_found	
2010002M12Rik		not_found	
2010109I03Rik		not_found	
2210011C24Rik		not_found	
2310002J15Rik		not_found	
2310002L13Rik		not_found	
2310007B03Rik		not_found	
2310014H01Rik		not_found	
2410006H16Rik	2410006H16Rik	exact	ENSMUSG00000086841
2610019F03Rik		not_found	
2700062C07Rik	2700062C07Rik	exact	ENSMUSG00000024273
39509		not_found	
39692		not_found	
4833427G06Rik		not_found	
4930461G14Rik	4930461G14Rik	exact	ENSMUSG00000097651
5730528L13Rik		not_found	
6030445D17Rik	6030445D17Rik	exact	ENSMUSG00000066178
A230065N10Rik	A230065N10Rik	exact	ENSMUSG00000092071
A230072E10Rik	A230072E10Rik	exact	ENSMUSG00000084771
A430105I19Rik		not_found	
Aaas	Aaas	exact	ENSMUSG00000036678
Abca3	Abca3	exact	ENSMUSG00000024130
Abcb1B	Abcb1b	case_insensitive	ENSMUSG00000028970
Abcc3	Abcc3	exact	ENSMUSG00000020865
Abcc4	Abcc4	exact	ENSMUSG00000032849
Abcc5	Abcc5	exact	ENSMUSG00000022822
Abhd2	Abhd2	exact	ENSMUSG00000039202
Abhd4	Abhd4	exact	ENSMUSG00000040997
Abhd5	Abhd5	exact	ENSMUSG00000032540
Abhd6	Abhd6	exact	ENSMUSG00000025277
Abhd8	Abhd8	exact	ENSMUSG00000007950
Abi1	Abi1	exact	ENSMUSG00000058835
Abi2	Abi2	exact	ENSMUSG00000026782
Abi3	Abi3	exact	ENSMUSG00000018381
Abi3Bp	Abi3bp	case_insensitive	ENSMUSG00000035258
Acacb	Acacb	exact	ENSMUSG00000042010
Acap3	Acap3	exact	ENSMUSG00000029033
Accs	Accs	exact	ENSMUSG00000040272
Acot10	Acot10	exact	ENSMUSG00000047565
Acot7	Acot7	exact	ENSMUSG00000028937
Acot9	Acot9	exact	ENSMUSG00000025287
Acox2	Acox2	exact	ENSMUSG00000021751
Acsbg1	Acsbg1	exact	ENSMUSG00000032281
Acsl4	Acsl4	exact	ENSMUSG00000031278
Acsm3	Acsm3	exact	ENSMUSG00000030935
Acta2	Acta2	exact	ENSMUSG00000035783
Actg1	Actg1	exact	ENSMUSG00000062825
Actg2	Actg2	exact	ENSMUSG00000059430
Adam10	Adam10	exact	ENSMUSG00000054693
Adam15	Adam15	exact	ENSMUSG00000028041
Adam28	Adam28	exact	ENSMUSG00000014725
Adam32	Adam32	exact	ENSMUSG00000037437
Adam8	Adam8	exact	ENSMUSG00000025473
Adam9	Adam9	exact	ENSMUSG00000031555
Adamdec1	Adamdec1	exact	ENSMUSG00000022057
Adamts1	Adamts1	exact	ENSMUSG00000022893
Adamts15	Adamts15	exact	ENSMUSG00000033453
Adamtsl4	Adamtsl4	exact	ENSMUSG00000015850
Adm	Adm	exact	ENSMUSG00000030790
Adm2	Adm2	exact	ENSMUSG00000054136
Adora1	Adora1	exact	ENSMUSG00000042429
Adssl1		not_found	
Aen	Aen	exact	ENSMUSG00000030609
Af064781		not_found	
Agfg2	Agfg2	exact	ENSMUSG00000029722
Agpat4	Agpat4	exact	ENSMUSG00000023827
Agpat6		not_found	
Agps	Agps	exact	ENSMUSG00000042410
Agrn	Agrn	exact	ENSMUSG00000041936
Agtpbp1	Agtpbp1	exact	ENSMUSG00000021557
Ahi1	Ahi1	exact	ENSMUSG00000019986
Ahnak	Ahnak	exact	ENSMUSG00000069833
