label	n_genes_matrix_rows	n_cells_matrix_cols	n_barcodes	n_features	axes_consistent	gene_id_format	frac_ensembl_gene_ids	nnz_sampled	frac_integer_valued	likely_raw_counts	gsm	sample_internal_library_id	paper_sample_title	paper_cohort_class
GSM7290760_SC10_21N	33538	3570	3570	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290760	SC10_21N	L1N	liver normal (not in 9+6 cited cohort)
GSM7290761_SC10_22T	33538	3275	3275	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290761	SC10_22T	L1T	CLiM (liver tumor)
GSM7290762_SC10_23N	33538	6132	6132	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290762	SC10_23N	C1N	colon normal (not in 9+6 cited cohort)
GSM7290763_SC10_24T	33538	6257	6257	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290763	SC10_24T	C1T	primary CRC (colon tumor)
GSM7290764_SC10_25N	33538	3330	3330	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290764	SC10_25N	L2N	liver normal (not in 9+6 cited cohort)
GSM7290765_SC10_26N	33538	4880	4880	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290765	SC10_26N	L3N	liver normal (not in 9+6 cited cohort)
GSM7290766_SC10_27N	33538	3009	3009	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290766	SC10_27N	L4N	liver normal (not in 9+6 cited cohort)
GSM7290767_SC10_28T	33538	3999	3999	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290767	SC10_28T	L4T	CLiM (liver tumor)
GSM7290768_SC10_29N	33538	8132	8132	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290768	SC10_29N	C2N	colon normal (not in 9+6 cited cohort)
GSM7290769_SC10_30T	33538	4799	4799	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290769	SC10_30T	C2T	primary CRC (colon tumor)
GSM7290770_SC10_35N	33538	3375	3375	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290770	SC10_35N	L5N	liver normal (not in 9+6 cited cohort)
GSM7290771_SC10_37N	33538	5942	5942	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290771	SC10_37N	C3N	colon normal (not in 9+6 cited cohort)
GSM7290772_SC10_38T	33538	8951	8951	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290772	SC10_38T	C3T	primary CRC (colon tumor)
GSM7290773_SC10_5	33538	3361	3361	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290773	SC10_5	C4T	primary CRC (colon tumor)
GSM7290774_SC10_7	33538	4889	4889	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290774	SC10_7	C5T	primary CRC (colon tumor)
GSM7290775_SC10_8	33538	6082	6082	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290775	SC10_8	L6T	CLiM (liver tumor)
GSM7290776_SC143_17	33538	1312	1312	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290776	SC143_17	L7N	liver normal (not in 9+6 cited cohort)
GSM7290777_SC143_7	33538	4428	4428	33538	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290777	SC143_7	C6T	primary CRC (colon tumor)
GSM7290778_SC173_1	36601	3123	3123	36601	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290778	SC173_1	L8T1	CLiM (liver tumor)
GSM7290779_SC173_2	36601	1646	1646	36601	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290779	SC173_2	L8T2	CLiM (liver tumor)
GSM7290780_SC216_1	36601	5218	5218	36601	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290780	SC216_1	L9N	liver normal (not in 9+6 cited cohort)
GSM7290781_SC216_2	36601	10009	10009	36601	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290781	SC216_2	L9T	CLiM (liver tumor)
GSM7290782_SC216_3	36601	8378	8378	36601	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290782	SC216_3	L10T	CLiM (liver tumor)
GSM7290783_SC216_5	36601	9476	9476	36601	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290783	SC216_5	L11T	CLiM (liver tumor)
GSM7290784_SC216_6	36601	274	274	36601	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290784	SC216_6	L11N	liver normal (not in 9+6 cited cohort)
GSM7290785_SC216_7	36601	10119	10119	36601	True	bare_or_versioned_ensembl	1.0	200000	1.0	True	GSM7290785	SC216_7	L12T	CLiM (liver tumor)
