population	panel	n_panel_genes	n_testable	coverage_frac	population_median_coverage_frac	deviation_flagged
gse231559_primary	revCSC_primary27_full	27	27	1.0	0.9965564738292011	False
gse231559_primary	revCSC_primary27_minus_CLU	26	26	1.0	0.9965564738292011	False
gse231559_primary	revCSC_primary27_minus_ASS1	26	26	1.0	0.9965564738292011	False
gse231559_primary	revCSC_primary27_minus_CLU_ASS1	25	25	1.0	0.9965564738292011	False
gse231559_primary	revCSC_extended28_full	28	27	0.9642857142857143	0.9965564738292011	False
gse231559_primary	revCSC_extended28_minus_CLU	27	26	0.9629629629629629	0.9965564738292011	False
gse231559_primary	revCSC_extended28_minus_ASS1	27	26	0.9629629629629629	0.9965564738292011	False
gse231559_primary	revCSC_extended28_minus_CLU_ASS1	26	25	0.9615384615384616	0.9965564738292011	False
gse231559_primary	D_Gut-shared	8	8	1.0	0.9965564738292011	False
gse231559_primary	F_Gut-specific	2192	2182	0.9954379562043796	0.9965564738292011	False
gse231559_primary	F_Colon-specific	1451	1442	0.9937973811164714	0.9965564738292011	False
gse231559_primary	F_SI-specific	1452	1447	0.9965564738292011	0.9965564738292011	False
gse231559_primary	P_Gut-specific	76	76	1.0	0.9965564738292011	False
gse231559_normal	revCSC_primary27_full	27	27	1.0	0.9965564738292011	False
gse231559_normal	revCSC_primary27_minus_CLU	26	26	1.0	0.9965564738292011	False
gse231559_normal	revCSC_primary27_minus_ASS1	26	26	1.0	0.9965564738292011	False
gse231559_normal	revCSC_primary27_minus_CLU_ASS1	25	25	1.0	0.9965564738292011	False
gse231559_normal	revCSC_extended28_full	28	27	0.9642857142857143	0.9965564738292011	False
gse231559_normal	revCSC_extended28_minus_CLU	27	26	0.9629629629629629	0.9965564738292011	False
gse231559_normal	revCSC_extended28_minus_ASS1	27	26	0.9629629629629629	0.9965564738292011	False
gse231559_normal	revCSC_extended28_minus_CLU_ASS1	26	25	0.9615384615384616	0.9965564738292011	False
gse231559_normal	D_Gut-shared	8	8	1.0	0.9965564738292011	False
gse231559_normal	F_Gut-specific	2192	2182	0.9954379562043796	0.9965564738292011	False
gse231559_normal	F_Colon-specific	1451	1442	0.9937973811164714	0.9965564738292011	False
gse231559_normal	F_SI-specific	1452	1447	0.9965564738292011	0.9965564738292011	False
gse231559_normal	P_Gut-specific	76	76	1.0	0.9965564738292011	False
gse285990	revCSC_primary27_full	27	27	1.0	0.9972432804962095	False
gse285990	revCSC_primary27_minus_CLU	26	26	1.0	0.9972432804962095	False
gse285990	revCSC_primary27_minus_ASS1	26	26	1.0	0.9972432804962095	False
gse285990	revCSC_primary27_minus_CLU_ASS1	25	25	1.0	0.9972432804962095	False
gse285990	revCSC_extended28_full	28	27	0.9642857142857143	0.9972432804962095	False
gse285990	revCSC_extended28_minus_CLU	27	26	0.9629629629629629	0.9972432804962095	False
gse285990	revCSC_extended28_minus_ASS1	27	26	0.9629629629629629	0.9972432804962095	False
gse285990	revCSC_extended28_minus_CLU_ASS1	26	25	0.9615384615384616	0.9972432804962095	False
gse285990	D_Gut-shared	8	8	1.0	0.9972432804962095	False
gse285990	F_Gut-specific	2192	2185	0.9968065693430657	0.9972432804962095	False
gse285990	F_Colon-specific	1451	1447	0.9972432804962095	0.9972432804962095	False
gse285990	F_SI-specific	1452	1446	0.9958677685950413	0.9972432804962095	False
gse285990	P_Gut-specific	76	76	1.0	0.9972432804962095	False
gse225857_nonimmune	revCSC_primary27_full	27	25	0.9259259259259259	0.8888888888888888	False
gse225857_nonimmune	revCSC_primary27_minus_CLU	26	24	0.9230769230769231	0.8888888888888888	False
gse225857_nonimmune	revCSC_primary27_minus_ASS1	26	24	0.9230769230769231	0.8888888888888888	False
gse225857_nonimmune	revCSC_primary27_minus_CLU_ASS1	25	23	0.92	0.8888888888888888	False
gse225857_nonimmune	revCSC_extended28_full	28	25	0.8928571428571429	0.8888888888888888	False
gse225857_nonimmune	revCSC_extended28_minus_CLU	27	24	0.8888888888888888	0.8888888888888888	False
gse225857_nonimmune	revCSC_extended28_minus_ASS1	27	24	0.8888888888888888	0.8888888888888888	False
gse225857_nonimmune	revCSC_extended28_minus_CLU_ASS1	26	23	0.8846153846153846	0.8888888888888888	False
gse225857_nonimmune	D_Gut-shared	8	7	0.875	0.8888888888888888	False
gse225857_nonimmune	F_Gut-specific	2192	1914	0.8731751824817519	0.8888888888888888	False
gse225857_nonimmune	F_Colon-specific	1451	1267	0.8731909028256375	0.8888888888888888	False
gse225857_nonimmune	F_SI-specific	1452	1270	0.8746556473829201	0.8888888888888888	False
gse225857_nonimmune	P_Gut-specific	76	44	0.5789473684210527	0.8888888888888888	True
