population	panel	n_cells	median_percentile	mean_percentile	frac_cells_ge_p95	median_zscore	n_nan_zscore	frac_nan_zscore
gse231559_primary	revCSC_primary27_full	88792	74.4	67.15	0.1714	0.5628	0	0.0
gse231559_primary	revCSC_primary27_minus_CLU	88792	72.0	65.85	0.1592	0.4959	0	0.0
gse231559_primary	revCSC_primary27_minus_ASS1	88792	73.2	66.57	0.155	0.5335	0	0.0
gse231559_primary	revCSC_primary27_minus_CLU_ASS1	88792	74.0	67.29	0.1583	0.5546	0	0.0
gse231559_primary	revCSC_extended28_full	88792	74.6	67.34	0.1824	0.5962	0	0.0
gse231559_primary	revCSC_extended28_minus_CLU	88792	73.0	66.48	0.1604	0.5308	0	0.0
gse231559_primary	revCSC_extended28_minus_ASS1	88792	73.6	66.88	0.1602	0.5431	0	0.0
gse231559_primary	revCSC_extended28_minus_CLU_ASS1	88792	74.8	67.72	0.1712	0.597	0	0.0
gse231559_primary	D_Gut-shared	88792	51.0	45.63	0.0149	-0.0687	3484	0.0392
gse231559_primary	F_Gut-specific	88792	82.8	70.01	0.2897	1.0169	0	0.0
gse231559_primary	F_Colon-specific	88792	69.6	59.29	0.1309	0.4081	0	0.0
gse231559_primary	F_SI-specific	88792	76.6	65.77	0.2205	0.7982	0	0.0
gse231559_primary	P_Gut-specific	88792	44.6	43.52	0.0389	-0.3094	169	0.0019
gse231559_normal	revCSC_primary27_full	45174	80.8	73.3	0.1981	0.7347	0	0.0
gse231559_normal	revCSC_primary27_minus_CLU	45174	80.6	73.47	0.2034	0.7526	0	0.0
gse231559_normal	revCSC_primary27_minus_ASS1	45174	82.0	74.78	0.2217	0.8243	0	0.0
gse231559_normal	revCSC_primary27_minus_CLU_ASS1	45174	81.0	73.87	0.1976	0.7401	0	0.0
gse231559_normal	revCSC_extended28_full	45174	77.8	71.03	0.18	0.6359	0	0.0
gse231559_normal	revCSC_extended28_minus_CLU	45174	81.0	73.8	0.2082	0.7893	0	0.0
gse231559_normal	revCSC_extended28_minus_ASS1	45174	80.8	73.7	0.1898	0.7271	0	0.0
gse231559_normal	revCSC_extended28_minus_CLU_ASS1	45174	80.6	73.69	0.1876	0.7383	0	0.0
gse231559_normal	D_Gut-shared	45174	55.9	57.31	0.0187	-0.0329	4529	0.1003
gse231559_normal	F_Gut-specific	45174	77.8	60.52	0.3116	0.7584	0	0.0
gse231559_normal	F_Colon-specific	45174	62.6	56.62	0.2245	0.2993	0	0.0
gse231559_normal	F_SI-specific	45174	67.4	56.8	0.2427	0.4336	0	0.0
gse231559_normal	P_Gut-specific	45174	49.7	43.79	0.0381	-0.1544	1103	0.0244
gse285990	revCSC_primary27_full	123677	86.2	79.93	0.3007	1.0957	0	0.0
gse285990	revCSC_primary27_minus_CLU	123677	87.6	80.86	0.3268	1.1759	0	0.0
gse285990	revCSC_primary27_minus_ASS1	123677	87.0	80.49	0.3115	1.1387	0	0.0
gse285990	revCSC_primary27_minus_CLU_ASS1	123677	88.0	81.35	0.3337	1.1948	0	0.0
gse285990	revCSC_extended28_full	123677	87.4	80.83	0.3176	1.1594	0	0.0
gse285990	revCSC_extended28_minus_CLU	123677	87.0	80.45	0.3138	1.142	0	0.0
gse285990	revCSC_extended28_minus_ASS1	123677	87.2	80.65	0.3143	1.1485	0	0.0
gse285990	revCSC_extended28_minus_CLU_ASS1	123677	88.6	81.95	0.3397	1.2313	0	0.0
gse285990	D_Gut-shared	123677	50.7	49.53	0.0125	-0.0675	4174	0.0337
gse285990	F_Gut-specific	123677	57.8	55.78	0.1855	0.169	0	0.0
gse285990	F_Colon-specific	123677	42.6	47.38	0.1534	-0.2119	0	0.0
gse285990	F_SI-specific	123677	46.0	49.32	0.16	-0.1221	0	0.0
gse285990	P_Gut-specific	123677	52.4	51.09	0.0477	-0.1374	51	0.0004
gse225857_nonimmune	revCSC_primary27_full	41892	75.4	67.34	0.212	0.6696	0	0.0
gse225857_nonimmune	revCSC_primary27_minus_CLU	41892	75.0	66.98	0.2147	0.6552	0	0.0
gse225857_nonimmune	revCSC_primary27_minus_ASS1	41892	74.8	66.59	0.2174	0.6513	0	0.0
gse225857_nonimmune	revCSC_primary27_minus_CLU_ASS1	41892	76.4	67.89	0.2255	0.7016	0	0.0
gse225857_nonimmune	revCSC_extended28_full	41892	74.4	66.38	0.2161	0.6378	0	0.0
gse225857_nonimmune	revCSC_extended28_minus_CLU	41892	76.0	67.54	0.2254	0.689	0	0.0
gse225857_nonimmune	revCSC_extended28_minus_ASS1	41892	75.4	67.15	0.222	0.6739	0	0.0
gse225857_nonimmune	revCSC_extended28_minus_CLU_ASS1	41892	74.8	66.97	0.2102	0.6509	0	0.0
gse225857_nonimmune	D_Gut-shared	41892	62.8	60.29	0.0368	-0.1195	7	0.0002
gse225857_nonimmune	F_Gut-specific	41892	84.8	71.89	0.4272	1.1423	0	0.0
gse225857_nonimmune	F_Colon-specific	41892	50.6	55.99	0.4144	0.1366	0	0.0
gse225857_nonimmune	F_SI-specific	41892	79.4	69.72	0.3289	0.8714	0	0.0
gse225857_nonimmune	P_Gut-specific	41892	61.4	59.56	0.0775	-0.1152	0	0.0
