gene	logFC	logCPM	F	PValue	FDR
A1CF	5.01161464663703	5.28602167029748	26.7732956956819	0.000117672339518459	0.00305419471181927
A2M	1.79526601849193	5.16164781275701	4.72385785347007	0.0464042181943286	0.142171959731648
A4GALT	-1.26398009441191	1.85641275798748	0.810687570160303	0.37865955158486	0.563329607254903
A4GNT	8.65750112373034	3.6319673923096	4.16905837465746	0.065616703178776	0.177541874001792
AAAS	-0.212967170865462	4.59839382265268	0.406844924742404	0.533099211607251	0.694644427245811
AACS	1.17974191899761	3.74405824444161	3.82570680395219	0.0688964200466982	0.183269192758972
AADAC	4.80862591435493	6.80972210787123	2.2147500106256	0.157720218917875	0.316836762301789
AADACP1	3.03172247182887	3.4991310369497	2.34521012136737	0.144881067076309	0.299195023566016
AADAT	-0.841611966677855	2.67867115481484	1.39664962275071	0.254575439822375	0.433453020759456
AAED1	-0.946829090349275	2.43342396194676	4.16716208071405	0.057448560644644	0.163921226726225
AAGAB	0.50107961988834	4.6487958703501	2.67753005216865	0.1225936309759	0.267905366689221
AAK1	0.879757930269357	5.0743520475512	1.50533470570072	0.239020598118925	0.416015435645034
AAMDC	-0.695219823274589	6.19158321200731	3.51913193028925	0.0805363632412225	0.202053684639883
AAMP	0.362786611971662	6.12096272100837	1.30226437043215	0.271956203404856	0.451935688635583
AAR2	0.476754124403322	3.58549971771925	1.37331084820625	0.258759386669577	0.437063925101877
AARS	1.20732330840172	4.120725898357	11.0338539229379	0.00461713448629777	0.031940955224393
AARS2	1.41351633653353	2.57022616785719	4.30795560712161	0.0537123271354259	0.157151976377782
AARSD1	1.04379790398215	1.98895673671794	2.28236661258277	0.148554248652443	0.304605395992614
AASDH	0.338063571378695	3.86305561624221	0.800439236419836	0.384470987503274	0.568420468593202
AASDHPPT	-1.18215297759618	5.08329301896904	23.9554817700002	0.000185747653871047	0.00405865503250973
AATF	-0.546461401516581	4.40432678877488	3.44079633073656	0.0830636809144433	0.206549691535482
AATK	4.27382356998164	3.46570198719705	6.11493988186847	0.0253310948294389	0.0963101060609273
AB019441.29	-1.0531538431148	5.17551551095069	6.48628921827281	0.0222126497843262	0.0888807302411904
ABAT	0.300986015686381	4.05642731107291	0.262573814924195	0.615555687077398	0.758148712209148
ABCA1	-0.409356148552654	2.94985193779301	0.571082595185399	0.460179695744417	0.637893828245715
ABCA10	4.72199743388294	1.53427539345553	14.8460420756319	0.00100187837179937	0.0116260457164979
ABCA11P	1.83352692123567	1.41481611575317	1.00030086273298	0.330701535918192	0.514777514855663
ABCA2	0.932821508031538	2.22937891062617	1.74302203946928	0.202961035498685	0.373670242487842
ABCA4	-0.634150263660402	1.7457990225477	0.201927326460202	0.658873531924127	0.789288963803521
ABCA5	2.17100163677507	4.52064282458552	14.6024091034836	0.00169170747858169	0.0164475897176014
ABCA7	-0.299497019377565	3.47160465122759	0.0586449570068727	0.811091075756369	0.895255876353711
ABCA8	4.70355143183069	2.41390467574155	8.23500734602741	0.0096062410334834	0.0507640447878347
ABCB1	3.60343306830807	4.0084373106632	12.114474641916	0.00315519668508473	0.0247006347708677
ABCB10	0.899993142176947	3.71696455679734	1.86495089317271	0.191343025555664	0.358656897234825
ABCB7	0.526598989116842	4.0762543128343	2.91034091778756	0.10807511660503	0.246291701917118
ABCB8	0.219372173008102	3.2727107156463	0.200863132963925	0.660008612560533	0.79032776054683
ABCB9	1.85951427340007	1.75866197027337	4.75099542908431	0.0416674685630793	0.132475424409756
ABCC1	1.48689333831976	2.1211634933248	7.15796082102987	0.0141341527144615	0.0659698159448079
ABCC10	0.422202949836138	2.66302619165949	0.661508042360243	0.427303777151107	0.607861054128248
ABCC13	4.98571369613681	2.41392515060274	12.7748988982851	0.00183793364537561	0.0173544707654576
ABCC2	3.89095802987957	2.87633450637053	2.12671846512516	0.163685560238343	0.323575704055129
ABCC3	5.19525369932429	6.0335906785455	38.3801487900574	1.86297893926585e-05	0.00094748539224938
ABCC4	1.23409782676333	2.88256611776299	3.81317301747162	0.0680809043726185	0.181941924470079
ABCC5	1.0651234930747	3.46510756457397	2.82282841335385	0.112764633925204	0.252991418582725
ABCC6	2.03201476803732	3.50541228009497	7.8312856009995	0.0130567984016233	0.0625697965888716
ABCC6P1	3.2803525800911	3.24937358579727	10.1574189315614	0.00563917617323204	0.0360136394664873
ABCC6P2	1.00910595259091	2.48787468934909	2.37711348348973	0.142046365180517	0.29486866151266
ABCC8	1.67170879961905	0.689388349309366	0.584825948544426	0.45179391783764	0.630051914326972
ABCD1	1.18033201060241	2.53769259522953	1.82547754433474	0.191234483037248	0.358656897234825
ABCD3	1.50413522456032	5.13503970448417	18.0620149522465	0.000719260762371178	0.00941293432494455
ABCD4	0.031565066637534	4.75694022160947	0.00644092584368276	0.937091869534881	0.971133219770233
ABCE1	-0.49749909224223	5.00672717264112	1.75666233808486	0.204733277303827	0.375540951611687
ABCF1	0.00882314826775574	5.32984635675099	0.000861798161817505	0.976971720309226	0.992448233545063
ABCF2	0.461561333021688	3.65901153276149	1.10974709086796	0.308203201367763	0.491054231065478
ABCF3	0.643514096240436	4.25695648677098	2.4203405505719	0.14044212991252	0.292898893393632
ABCG1	3.14920953083464	3.0997122935419	44.1353467317202	1.50243970822426e-06	0.000191030028074135
ABCG2	1.94069297798299	4.41620551256022	3.55985399956958	0.0779115149368822	0.197680532221585
ABCG5	6.21479503293653	4.26382493368196	5.04519761124367	0.039601225191524	0.127891059853249
ABCG8	4.44344706614889	2.45158300704613	4.41683353835493	0.0497735948365393	0.149027760910296
ABHD10	0.359157199228893	4.40384454734395	1.39202233792534	0.256175207661658	0.434940501646345
