gene	logFC	logCPM	F	PValue	FDR
A1CF	4.54047419394265	5.28602167029748	20.3816718490121	0.000423341782544575	0.00835792678404459
A2M	0.528737012168075	5.16164781275701	0.443479881298495	0.515693644893222	0.686582918264139
A4GALT	-4.34770262257052	1.85641275798748	11.3552712873418	0.00305495806122348	0.0277277393507601
A4GNT	-4.32875056186517	3.6319673923096	1.16460371470999e-08	0.99991580608354	1
AAAS	0.41730889176525	4.59839382265268	1.39157111735762	0.256335146363691	0.437019028874417
AACS	-1.03887458386923	3.74405824444161	2.89213405258222	0.109149660865701	0.249125402059459
AADAC	6.31820950318061	6.80972210787123	4.04742433455614	0.0628362272067612	0.174336251894756
AADACP1	4.66405402688507	3.4991310369497	7.73250571440776	0.0132066078382633	0.0663848279398014
AADAT	2.17206818576873	2.67867115481484	10.1654776359242	0.00572384263843593	0.0400478914014666
AAED1	-0.463814117541995	2.43342396194676	0.899970608337629	0.356402408587533	0.540032486542559
AAGAB	0.286956118908051	4.6487958703501	0.829789837913191	0.37675100347406	0.559024200225242
AAK1	-2.42294646352023	5.0743520475512	11.449535755631	0.00416169467765683	0.0328943380497109
AAMDC	-0.0834837344181246	6.19158321200731	0.0438782375256825	0.836937522961563	0.921399680985302
AAMP	-0.0347145885669245	6.12096272100837	0.0114142646644253	0.91635474950385	0.970300538476006
AAR2	0.0738229477181703	3.58549971771925	0.0311562347162611	0.862154102155819	0.936699752083561
AARS	-0.136057674695796	4.120725898357	0.138463470912057	0.714989004077736	0.839666599342505
AARS2	1.4816684641164	2.57022616785719	4.49259124891045	0.0493442308615205	0.15056587139257
AARSD1	0.0944781093081856	1.98895673671794	0.0168175027101371	0.898284740134695	0.959085104404706
AASDH	1.24725877417079	3.86305561624221	9.89920457689735	0.006359585512255	0.0427908424818655
AASDHPPT	1.04491928148569	5.08329301896904	14.7250481128369	0.00157288206873718	0.0185143157476493
AATF	-0.281150598820447	4.40432678877488	0.812008780965615	0.381553974623011	0.563060634494453
AATK	3.33578014972241	3.46570198719705	2.9286937664619	0.106827194936336	0.245730742433525
AB019441.29	1.014162707475	5.17551551095069	4.71380184114184	0.0462090186556147	0.144607854052973
ABAT	1.29847876949573	4.05642731107291	4.37321888686607	0.0532967393670473	0.157877808580956
ABCA1	-1.79818927419945	2.94985193779301	9.68943905625428	0.00633268330161341	0.0426877266981244
ABCA10	-0.357215375061494	1.53427539345553	0.0581621201407248	0.811896494256736	0.906415971069003
ABCA11P	3.38928593606728	1.41481611575317	4.63371868354126	0.0453905528543104	0.14295649456507
ABCA2	-1.02683729249645	2.22937891062617	1.76360461681849	0.20043085363936	0.37405474634024
ABCA4	1.46355803084944	1.7457990225477	1.27473494161471	0.274636999396641	0.457077533750966
ABCA5	-0.642432120710548	4.52064282458552	1.42104038764211	0.251902115693145	0.432062368224002
ABCA7	-5.91436403795892	3.47160465122759	43.429806195399	1.92364065572064e-06	0.000359283304207902
ABCA8	1.19929789564007	2.41390467574155	0.294276258889521	0.593610918530434	0.749778833382322
ABCB1	-0.88409871055306	4.0084373106632	0.559542098380265	0.465482254975683	0.642045990707598
ABCB10	1.3680113503071	3.71696455679734	4.04632554614835	0.0617972638998085	0.172720834803539
ABCB7	1.10911382221557	4.0762543128343	11.7760186557232	0.00358476876008593	0.0304560797479881
ABCB8	-1.29277904978614	3.2727107156463	6.20181032245901	0.0240840335542038	0.0962007845183377
ABCB9	-0.228575006214643	1.75866197027337	0.0402915397183822	0.842980850530099	0.924682991190567
ABCC1	-2.04047488241656	2.1211634933248	9.97134317511001	0.00473264009786247	0.0356312959690523
ABCC10	-0.716743030839505	2.66302619165949	1.67446897081051	0.213012478207108	0.388490298142283
ABCC13	0.789016745963637	2.41392515060274	0.226542651564564	0.639122596519685	0.784119619236646
