gene	category	present	epi_mean_logCP10K	rest_mean_logCP10K	epi_detect_frac	rest_detect_frac	log2fc_epi_vs_rest
KRT7	trophoblast	True	1.9512	0.2954	0.6347	0.1276	2.3888
GATA3	trophoblast	True	0.8941	0.0717	0.3963	0.0321	1.1865
TFAP2C	trophoblast	True	0.0652	0.0104	0.0338	0.0047	0.079
GCM1	trophoblast	True	0.1447	0.0103	0.0712	0.0045	0.194
ERVW-1	trophoblast	True	0.0916	0.0097	0.0457	0.0042	0.1182
ERVFRD-1	trophoblast	True	0.0123	0.0029	0.0046	0.0014	0.0135
CGA	trophoblast	True	0.787	0.5488	0.284	0.2284	0.3436
CGB1	trophoblast	True	0.0034	0.0003	0.0018	0.0001	0.0045
CGB2	trophoblast	True	0.0033	0.0	0.0018	0.0	0.0047
CGB3	trophoblast	True	0.0123	0.0013	0.0055	0.0006	0.0159
CGB5	trophoblast	True	0.0209	0.0032	0.0091	0.0014	0.0255
CGB7	trophoblast	True	0.0109	0.0025	0.0055	0.0012	0.012
CGB8	trophoblast	True	0.037	0.0055	0.0146	0.0025	0.0455
PSG1	trophoblast	True	0.0882	0.0357	0.0256	0.0158	0.0758
PSG3	trophoblast	True	0.2937	0.0756	0.105	0.0328	0.3147
PSG4	trophoblast	True	0.092	0.0222	0.0301	0.0096	0.1007
PSG5	trophoblast	True	0.7271	0.0934	0.2813	0.0412	0.9143
PSG6	trophoblast	True	0.0684	0.0177	0.0219	0.0078	0.0731
PSG7	trophoblast	True	0.0032	0.0	0.0018	0.0	0.0046
PSG8	trophoblast	True	0.0263	0.0012	0.0119	0.0006	0.0362
PSG9	trophoblast	True	0.1431	0.0359	0.053	0.0155	0.1546
PSG11	trophoblast	True	0.1223	0.015	0.0511	0.0066	0.1548
HLA-G	trophoblast	True	1.147	0.1236	0.4301	0.0542	1.4765
COL1A1	contamination	True	3.3908	4.9319	0.9553	0.9942	-2.2234
COL1A2	contamination	True	2.9557	4.5073	0.9142	0.9871	-2.2385
DCN	contamination	True	1.7789	3.558	0.6858	0.9281	-2.5667
LUM	contamination	True	1.3384	2.5844	0.5406	0.8119	-1.7977
PDGFRB	contamination	True	0.0428	0.0943	0.0201	0.0435	-0.0742
PTPRC	contamination	True	0.0269	0.0716	0.0137	0.0324	-0.0644
CD68	contamination	True	0.0356	0.089	0.0192	0.0411	-0.0771
CD14	contamination	True	0.1337	0.4393	0.0621	0.1665	-0.4408
CD163	contamination	True	0.0426	0.195	0.0201	0.082	-0.2199
LYZ	contamination	True	0.259	0.5514	0.1205	0.2058	-0.4219
