sample	group	n_epithelial_cells	total_umi
Placenta1	Placenta	1095	1683741
FetalIntestine1	Fetal	689	619693
FetalIntestine2	Fetal	970	757717
FetalIntestine3	Fetal	2833	3256673
FetalIntestine4	Fetal	4338	3470323
FetalIntestine5	Fetal	1291	1145202
AdultAscendingColon1	Adult	98	123384
AdultSigmoidColon1	Adult	2162	1574916
AdultTransverseColon1	Adult	4547	4942143
AdultTransverseColon2	Adult	5120	6440986
AdultDuodenum1	Adult	2756	2153903
AdultIleum2	Adult	1472	1700818
AdultJejunum2	Adult	3889	3893973
