gene	Fetal	Placenta	Adult	marker
FBXO17	0.9805825242718447	0.009708737864077669	0.009708737864077669	
PIGR	0.009708737864077669	0.009708737864077669	0.9805825242718447	
CUBN	0.9805825242718447	0.009708737864077669	0.009708737864077669	
LGALS14	0.49753694581280794	0.49753694581280794	0.004926108374384237	
IGF2BP3	0.49753694581280794	0.49753694581280794	0.004926108374384237	
HPN	0.9805825242718447	0.009708737864077669	0.009708737864077669	
PNCK	0.6889507428976761	0.3042279626181884	0.0068212944841354066	
IGF2BP1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
NNAT	0.9805825242718447	0.009708737864077669	0.009708737864077669	
MFAP2	0.5707499002441648	0.4235991106445067	0.005650989111328364	
PHYHIPL	0.6020544519483785	0.39198461288381575	0.005960935167805728	
CLDN19	0.49753694581280794	0.49753694581280794	0.004926108374384237	
PDE6B	0.9805825242718447	0.009708737864077669	0.009708737864077669	
EMID1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
EDNRB	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ETNK2	0.8189727718349743	0.17291858685972894	0.008108641305296775	
HIF3A	0.9805825242718447	0.009708737864077669	0.009708737864077669	
FOLH1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
CPS1	0.9227749940434278	0.0680886198769343	0.009136386079637899	
SULT1C2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SLC28A1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
RGN	0.9805825242718447	0.009708737864077669	0.009708737864077669	
AC108488.1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SLC30A2	0.5135396034242887	0.4813758460467579	0.005084550528953354	
REEP6	0.9805825242718447	0.009708737864077669	0.009708737864077669	
P2RY6	0.5581603928061544	0.43631326667101233	0.005526340522833212	
C17orf99	0.9805825242718447	0.009708737864077669	0.009708737864077669	
APOA1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
FMO1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
FXYD2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
TFEC	0.9805825242718447	0.009708737864077669	0.009708737864077669	
MXRA8	0.9805825242718447	0.009708737864077669	0.009708737864077669	
GPSM1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
AMOTL1	0.593086194871487	0.4010416645852309	0.005872140543282049	
ADORA2A-AS1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
