	Adrenal	Thyroid	Spleen	Thymus	Liver	Skin	Stomach
A1BG							
A1BG-AS1		-5.537570077575644	4.565046533598668		5.8302156462248504	44.9391277496794	24.773531823829412
A1CF	15.223404255319148	24.647887323943664	35.46000164433117	33.877477800699616	5.027279946160462	40.61037901875778	34.53165138480303
A2M	-21.213796730513792	-27.35900577698591	-7.562460216955785	-19.044026629052127	-1.4301922762853536	-10.27703442723842	-12.811441111931487
A2M-AS1	-14.581617125133558	-9.31388887018436	-25.04365246872634		-43.29632684402187		-43.40960980530668
A2ML1	44.58911254228554	32.29321684028611	44.993011592534735	27.232366545463115	50.01290655653072	-31.298712311192723	59.946514899528594
A2ML1-AS1	39.12705747527705	32.7049657457574	41.903899240855765		47.588438890636944	49.306592703221675	31.281828103832076
A3GALT2	5.478916090828119	14.346076458752515	23.31429545648282	18.080624417934278	13.896218117854001	22.94004693834009	19.878186023344284
A4GALT							
A4GNT				6.8657990185619795			-31.85827634872622
AAAS	-30.83500868155454	-28.252561290371062	-23.91436846301768	-13.78555498060782	-12.735274803487087	-9.422169984768814	-28.44408877595572
AACS	14.061527833669842	13.817977068324858	24.77452310599209	29.441939420449202	9.49398018695819	-12.829496216025873	5.596513225966476
AADAC	-82.45093311407277	16.473431704431377	1.7296411318150449		-33.867797696682956	-37.67875235973821	-79.4910151505737
AADACL2			1.544975881098723	16.940473650522723		-40.237987171138755	9.605653463618914
AADACL2-AS1	47.653641696564584	45.70814489768504	60.49905450957823		61.770126309165285	59.260200838947505	50.638932897795996
AADACL3		0.0044776787713249454		0.004267121826328142		5.764068295787037	
AADACL4		9.370649512745427	23.408385093167702	0.5542644758096118	8.221476510067115	13.516761814825943	4.633853869913014
AADAT	20.246032173844082	9.704134294431327	44.38224051404719	43.97238578949942	-28.827067046684768	56.284951739443414	25.803538730353196
AAGAB	-2.4838166320393356	-1.3019413138951563	4.161127191836357	0.8022637308698393	4.698629161542627	10.638206568966652	-5.302755474399476
AAK1	54.82056955035246	26.35527309238536	56.751291489856406	43.49973750542081	50.71169555306807	66.37115392239585	47.428718765859344
AAMDC	-0.5587555457822617	7.5082874456957995	6.325095573644305	5.538670141224841	-9.269159198186884	-5.110972213724523	-4.119599832245896
AAMP	-44.216561163621066	-49.68956390558846	-43.608986041819804	-40.144772568653316	-43.36875419786803	-42.61616829028351	-46.21330356110399
