	Fetal	Placenta	Adult	marker
A1BG-AS1	0.8536213948098631	0.017804702360349086	0.1285739028297877	
A2M	0.02964080430389201	0.02964080430389201	0.9407183913922159	
A2M-AS1	0.019316281956359392	0.019316281956359392	0.9613674360872811	
A2ML1	0.48512317662023613	0.2391203272225643	0.2757564961571995	
AAAS	0.02174728431782243	0.20312527810711395	0.7751274375750636	
AACS	0.6592470794444203	0.020760308595063948	0.3199926119605157	
AADAC	0.16136292107814662	0.008862095607634565	0.8297749833142188	
AADACL2	0.2836925643727717	0.01517390092935843	0.70113353469787	
AADACL2-AS1	0.42951556577565625	0.5639294786762795	0.0065549555480643035	
AADACL4	0.9271468705919391	0.036426564704030426	0.036426564704030426	
AADAT	0.6348922647683596	0.010617729051557777	0.35449000618008264	
AAGAB	0.6035158357994876	0.04982499214965382	0.34665917205085856	
AAK1	0.6733526400079737	0.31707338611695973	0.009573973875066559	
AAMDC	0.41601498800730047	0.04704355839746517	0.5369414535952345	
AAMP	0.013057189351278206	0.24496547252278048	0.7419773381259414	
AAR2	0.025300556568437323	0.03418104625080059	0.940518397180762	
AARD	0.13306052045248423	0.009637694057128087	0.8573017854903877	
AARS2	0.7991206181097146	0.023639570920029693	0.17723981097025565	
AASDH	0.7293461035689034	0.25410808852898004	0.016545807902116613	
AASDHPPT	0.5321544816231866	0.07098879166459536	0.39685672671221817	
AASS	0.9053401382789419	0.013566454067207863	0.08109340765385027	
AATF	0.43115738197307346	0.5504129929102003	0.018429625116726262	
AATK	0.8887930798700151	0.015043736600457993	0.09616318352952694	
ABAT	0.8778917484856326	0.01396794828142085	0.1081403032329466	
ABCA1	0.9574685560524359	0.021265721973782074	0.021265721973782074	
ABCA12	0.3725943253286898	0.5623345640174843	0.065071110653826	
ABCA2	0.4036906489825066	0.01280377550141511	0.5835055755160783	
ABCA3	0.6262756585081157	0.021322280297383228	0.352402061194501	
ABCA4	0.9713597849488325	0.014320107525583735	0.014320107525583735	
ABCA5	0.6640933805327202	0.3242176095520525	0.011689009915227474	
ABCA6	0.9760129036123663	0.01199354819381684	0.01199354819381684	
ABCA7	0.4518393269864666	0.2723954540124856	0.2757652190010478	
ABCA8	0.6241099202240025	0.011839389227140134	0.36405069054885736	
ABCA9	0.9238505574881216	0.011918226350107346	0.06423121616177095	
ABCA9-AS1	0.9591644051594373	0.020417797420281294	0.020417797420281294	
ABCB1	0.790573867735961	0.010567887387739689	0.19885824487629933	
ABCB10	0.951704437745788	0.02414778112710601	0.02414778112710601	
ABCB4	0.5898384387777228	0.23937609523308653	0.17078546598919056	
ABCB7	0.9500104867996083	0.024994756600195806	0.024994756600195806	
ABCB8	0.628026134884969	0.14638185119194103	0.22559201392308995	
ABCB9	0.6521339252202474	0.33758262963809343	0.010283445141659209	
ABCC1	0.9745596386007016	0.012720180699649189	0.012720180699649189	
ABCC10	0.9439775709730057	0.028011214513497126	0.028011214513497126	
ABCC3	0.5133368564588431	0.00812873336325644	0.4785344101779005	
ABCC4	0.9737534596722879	0.01312327016385606	0.01312327016385606	
ABCC5	0.8966472079147952	0.02173821880871124	0.08161457327649355	
ABCC6	0.9641012916972233	0.017949354151388333	0.017949354151388333	
ABCC8	0.9659965461047179	0.017001726947641065	0.017001726947641065	
ABCC9	0.827237533951951	0.010726928756142019	0.16203553729190698	
ABCD1	0.2270704396057883	0.4479090166218072	0.3250205437724044	
ABCD2	0.9654005030564616	0.01729974847176918	0.01729974847176918	
ABCD3	0.6612364614173972	0.3235351400951461	0.015228398487456586	
ABCD4	0.8060844782310164	0.017787319073070153	0.17612820269591342	
ABCE1	0.6683045963350789	0.059928581591221	0.2717668220737003	
ABCF1	0.38853630291956176	0.45238541375059943	0.159078283329839	
ABCF3	0.01784047560480866	0.29971799233122615	0.6824415320639651	
ABCG1	0.9436529883051853	0.028173505847407337	0.028173505847407337	
ABCG2	0.5465815036279277	0.44669689721284067	0.006721599159231515	
ABCG8	0.7693505454970828	0.025360812535204058	0.2052886419677131	
ABHD10	0.15577933710848355	0.027160703174170277	0.8170599597173462	
ABHD11	0.00734235267411854	0.3920578081150042	0.6005998392108772	
ABHD12	0.31891274556673066	0.5147082682520133	0.1663789861812561	
ABHD13	0.891096247379259	0.04113034073092461	0.06777341188981643	
ABHD14A	0.009876029588992105	0.009876029588992105	0.9802479408220158	
ABHD14B	0.010027736950013305	0.010027736950013305	0.9799445260999734	
ABHD15	0.017124151384865987	0.017124151384865987	0.965751697230268	
ABHD17A	0.09549835018279713	0.013275632943804226	0.8912260168733986	
ABHD17B	0.938979193278309	0.030510403360845446	0.030510403360845446	
ABHD17C	0.3140381057875478	0.6100779631085719	0.07588393110388038	
ABHD18	0.97027653419911	0.014861732900444978	0.014861732900444978	
ABHD2	0.701518342157636	0.027887419965220477	0.27059423787714343	
ABHD3	0.7714855181164686	0.0171164949804062	0.2113979869031252	
ABHD4	0.018768576149716384	0.018768576149716384	0.9624628477005672	
ABHD5	0.49511996000004255	0.34123820615970685	0.16364183384025055	
ABHD6	0.6997997286070936	0.018516446653587423	0.28168382473931897	
ABHD8	0.2848784727165068	0.3924024949737761	0.32271903230971716	
ABI1	0.9197832320427155	0.040108383978642206	0.040108383978642206	
ABI2	0.9660607434074134	0.01696962829629328	0.01696962829629328	
ABI3	0.06561760578989513	0.015115716023257125	0.9192666781868478	
ABI3BP	0.9612825671958501	0.0193587164020749	0.0193587164020749	
ABL1	0.9198934271434163	0.026061039135062365	0.054045533721521384	
ABL2	0.97409863527897	0.012950682360514986	0.012950682360514986	
ABLIM1	0.5905508826722764	0.020831544592389124	0.3886175727353344	
ABLIM2	0.9765666641308111	0.011716667934594485	0.011716667934594485	
ABLIM3	0.8769421983137149	0.013714727238624162	0.10934307444766095	
ABO	0.9650311182964586	0.017484440851770703	0.017484440851770703	
ABR	0.9727967389205902	0.013601630539704939	0.013601630539704939	
ABRACL	0.01014899025719686	0.2681636756013687	0.7216873341414345	
ABRAXAS1	0.9644400765508563	0.01777996172457182	0.01777996172457182	
ABRAXAS2	0.5619338239844531	0.4114779797033961	0.026588196312150723	
ABT1	0.010648285162351976	0.30956977732959895	0.679781937508049	
ABTB1	0.015775437770474885	0.015775437770474885	0.9684491244590502	
ABTB2	0.9771134411980037	0.011443279400998126	0.011443279400998126	
ACAA1	0.023969157837978965	0.03298414668667539	0.9430466954753457	
ACAA2	0.016249020314732143	0.016249020314732143	0.9675019593705357	
ACACA	0.9349009400616338	0.05344298101421955	0.01165607892414665	
ACACB	0.9656517788653559	0.017174110567322008	0.017174110567322008	
ACAD10	0.7756794576154765	0.20563739410273807	0.018683148281785546	
ACAD8	0.22568073222834167	0.016236453254030565	0.7580828145176278	
ACAD9	0.6448330711074407	0.33845314534913684	0.01671378354342243	
ACADL	0.4338193518586021	0.4181134362326482	0.14806721190874977	
ACADM	0.7292270989615537	0.02186555723098332	0.2489073438074629	
ACADS	0.09366444083848838	0.10576918044543411	0.8005663787160776	
ACADSB	0.6991252123732354	0.019262422492943746	0.28161236513382093	
ACADVL	0.015534326890417017	0.716468637613569	0.2679970354960139	
ACAN	0.6032259975604621	0.3901052182069528	0.006668784232585004	
ACAP1	0.18083481240841115	0.012283676245693532	0.8068815113458953	
ACAP2	0.9584794658823661	0.020760267058816933	0.020760267058816933	
ACAP3	0.7118895723340398	0.013649340745586496	0.27446108692037363	
ACAT1	0.02913956157540463	0.02913956157540463	0.9417208768491907	
ACAT2	0.11142740027904943	0.03638263918493247	0.852189960536018	
ACBD3	0.3830892012554675	0.599459366495187	0.01745143224934541	
ACBD4	0.35202716983624505	0.018694679152197396	0.6292781510115575	
ACBD5	0.7176945121628389	0.025281907180070933	0.2570235806570902	
ACBD6	0.5241342247278272	0.4623336936048493	0.013532081667323373	
ACCS	0.5831560385513683	0.01648965761331514	0.40035430383531656	
ACD	0.015502935755682509	0.1423930356828363	0.8421040285614813	
ACE	0.31842144911842907	0.01860425648249051	0.6629742943990805	
ACE2	0.649868456443052	0.22279083699638708	0.12734070656056093	
ACER2	0.2910030212369208	0.5526424541584594	0.15635452460461974	
ACER3	0.9754027560789451	0.012298621960527426	0.012298621960527426	
ACHE	0.6001920118800665	0.020682232390199756	0.37912575572973367	
ACIN1	0.2694083604393031	0.6781428616497766	0.052448777910920265	
ACKR1	0.009708737864077669	0.009708737864077669	0.9805825242718447	
ACKR2	0.05284610594128431	0.6904960507518566	0.25665784330685915	
ACKR3	0.1788593217468503	0.013918008559253844	0.8072226696938959	
ACKR4	0.3760598696008317	0.015488400327513353	0.608451730071655	
