gene	Fetal	Placenta	Adult	marker
A1CF	0.5621166512382925	0.006187236219303342	0.43169611254240425	
A2M	0.3008795449345817	0.026247599776454366	0.6728728552889639	
A4GALT	0.012743207182707163	0.9745135856345857	0.012743207182707163	
A4GNT	0.009708737864077669	0.009708737864077669	0.9805825242718447	
AAAS	0.8223499038827417	0.08882504805862924	0.08882504805862924	
AACS	0.0521130637716718	0.0521130637716718	0.8957738724566565	
AADAC	0.5976807958174672	0.005917631641757101	0.39640157254077574	
AADACP1	0.6814967746693175	0.007304632460604935	0.3111985928700776	
AADAT	0.9565055224478882	0.021747238776055867	0.021747238776055867	
AAED1	0.04551214366238491	0.9089757126752301	0.04551214366238491	
AAGAB	0.42936076588358235	0.06428954640573467	0.5063496877106829	
AAK1	0.0279116719876072	0.6072128147793683	0.3648755132330244	
AAMDC	0.07422243936917448	0.8515551212616511	0.07422243936917448	
AAMP	0.12533918428425922	0.12533918428425922	0.7493216314314816	
AAR2	0.22365190434221094	0.09088307322243612	0.6854650224353529	
AARS	0.05110506284753579	0.05110506284753579	0.8977898743049285	
AARS2	0.586272068194952	0.019335770416774384	0.3943921613882735	
AARSD1	0.14951248104488998	0.05210187140805178	0.7983856475470582	
AASDH	0.7945888473464251	0.030939663027137528	0.1744714896264374	
AASDHPPT	0.8493272491839965	0.11149317747855379	0.039179573337449654	
AATF	0.07076740878261102	0.8584651824347779	0.07076740878261102	
AATK	0.5249247861333618	0.007833361523808438	0.46724185234282967	
AB019441.29	0.893004614841289	0.06461095931284401	0.04238442584586688	
ABAT	0.8132475875772784	0.030463877548229528	0.1562885348744919	
ABCA1	0.030590458860496387	0.9388190822790071	0.030590458860496387	
ABCA10	0.014749749486313338	0.014749749486313338	0.9705005010273733	
ABCA11P	0.7147917751504254	0.010500794803003578	0.27470743004657106	
ABCA2	0.05859906316001054	0.13269441966087903	0.8087065171791105	
ABCA4	0.9374261033531025	0.03128694832344872	0.03128694832344872	
ABCA5	0.030495577736170267	0.030495577736170267	0.9390088445276594	
ABCA7	0.011551071489818708	0.9768978570203626	0.011551071489818708	
ABCA8	0.27096284317603636	0.010955611195126481	0.7180815456288372	
ABCB1	0.019066421747792578	0.019066421747792578	0.9618671565044148	
ABCB10	0.6617248152659515	0.023572879971391632	0.31470230476265687	
ABCB7	0.7132420121462689	0.031080592618582526	0.2556773952351485	
ABCB8	0.04890714949457535	0.7549584695040893	0.19613438100133526	
ABCB9	0.03506650170424537	0.03506650170424537	0.9298669965915092	
ABCC1	0.032415726684285516	0.2737599507135321	0.6938243226021824	
ABCC10	0.07840031848021113	0.38897194298507987	0.5326277385347089	
ABCC13	0.19089626202084659	0.011490238778739666	0.7976134992004137	
ABCC2	0.5299925660286736	0.008484838772406153	0.46152259519892025	
ABCC3	0.1254986669500893	0.011931737486954091	0.8625695955629566	
ABCC4	0.5339916121942678	0.02461102135361628	0.4413973664521158	
ABCC5	0.056765959109901454	0.056765959109901454	0.8864680817801972	
ABCC6	0.5667590566091477	0.014497233248918296	0.41874371014193407	
ABCC6P1	0.640528539308359	0.007645930442681627	0.35182553024895935	
ABCC6P2	0.7005417822535219	0.0188962566801091	0.28056196106636905	
ABCC8	0.6485692053900739	0.014091006368369545	0.3373397882415566	
ABCD1	0.023308407756598936	0.5758535482297358	0.4008380440136654	
ABCD3	0.04230021104195214	0.04230021104195214	0.9153995779160957	
ABCD4	0.8372625897232989	0.06688335432125153	0.09585405595544941	
ABCE1	0.9183467566944983	0.040826621652750854	0.040826621652750854	
ABCF1	0.1086666625801841	0.7695097569714432	0.12182358044837271	
ABCF2	0.20371195406593912	0.09554932670144521	0.7007387192326157	
ABCF3	0.31726471736881917	0.06303737369366928	0.6196979089375115	
ABCG1	0.01849623610781577	0.1636902971681011	0.8178134667240833	
ABCG2	0.02247228634372329	0.3565909852771381	0.6209367283791385	
ABCG5	0.2480862433964056	0.008614691614323268	0.7432990649892711	
ABCG8	0.3586180015932972	0.010184652354012082	0.6311973460526906	
ABHD10	0.7564677999601823	0.03514910522601013	0.20838309481380757	
ABHD11	0.040329070204515496	0.040329070204515496	0.919341859590969	
ABHD11-AS1	0.33844775844776154	0.008421041162029108	0.6531312003902093	
ABHD12	0.06180475960146077	0.7741276490104061	0.164067591388133	
ABHD13	0.762568482714381	0.05716714532137622	0.18026437196424258	
ABHD14A	0.6270319736305295	0.29442582168474457	0.07854220468472593	
ABHD14B	0.052303608603236476	0.052303608603236476	0.8953927827935271	
ABHD15	0.04081197146330036	0.04081197146330036	0.9183760570733993	
ABHD17A	0.06572650783258305	0.12490896227218698	0.8093645298952299	
ABHD17B	0.06756446941350093	0.04287445093697693	0.8895610796495221	
ABHD17C	0.027159067220737836	0.027159067220737836	0.9456818655585243	
ABHD18	0.4804957918791644	0.013657295584752677	0.5058469125360828	
ABHD2	0.03670777970750144	0.03670777970750144	0.926584440584997	
ABHD3	0.026121618647088903	0.026121618647088903	0.9477567627058221	
ABHD4	0.09090017490489338	0.6755403376563702	0.23355948743873645	
ABHD5	0.0500750146166098	0.737748901808355	0.21217608357503517	
ABHD6	0.24425225708394135	0.019918657444446097	0.7358290854716126	
ABHD8	0.020459446022734955	0.95908110795453	0.020459446022734955	
ABI1	0.07092950805842686	0.8581409838831462	0.07092950805842686	
ABI2	0.4361956313490845	0.5206736567910091	0.04313071185990639	
ABI3	0.42553381081442476	0.010173619365796846	0.5642925698197784	
ABI3BP	0.8253933739841732	0.09830395680763297	0.07630266920819377	
ABL1	0.4253688035010215	0.03148719141961131	0.5431440050793672	
ABL2	0.05844379749839332	0.8831124050032133	0.05844379749839332	
ABLIM1	0.3482431884377906	0.015226326936774795	0.6365304846254346	
ABLIM2	0.02668191397153019	0.02668191397153019	0.9466361720569396	
ABO	0.4426847867989651	0.006728272990251657	0.5505869402107834	
ABR	0.0274278432813748	0.0274278432813748	0.9451443134372504	
ABRACL	0.05786378929598823	0.8842724214080234	0.05786378929598823	
ABT1	0.8338935409315428	0.08305322953422864	0.08305322953422864	
ABTB1	0.03682635129341084	0.7600345195359479	0.20313912917064122	
ABTB2	0.01741269051791232	0.3971768719321963	0.5854104375498914	
AC000089.3	0.9260129429728744	0.03699352851356275	0.03699352851356275	
AC002056.3	0.8276338187824311	0.13406202721546623	0.03830415400210254	
AC002310.12	0.7421638724505952	0.046928435333887526	0.2109076922155172	
AC002451.3	0.19397822909290338	0.014760602263710385	0.7912611686433862	
AC002454.1	0.8730086652036056	0.10732127286423901	0.01967006193215537	
AC003075.4	0.05141880873617611	0.05141880873617611	0.8971623825276478	
AC004057.1	0.8739673337456995	0.024107389193607755	0.10192527706069272	
AC004069.2	0.943239848644295	0.02838007567785246	0.02838007567785246	
AC004381.6	0.6318589653294636	0.22474322666846658	0.14339780800206986	
AC004453.8	0.9502286463342906	0.02488567683285469	0.02488567683285469	
AC004556.1	0.61038437642443	0.3622708069629653	0.02734481661260468	
AC004754.3	0.010344753581588543	0.010344753581588543	0.9793104928368229	
AC004791.2	0.014052110702711349	0.9718957785945773	0.014052110702711349	
AC004967.7	0.48675899883004214	0.05115422435466657	0.4620867768152913	
AC005083.1	0.5915349276088818	0.014208224014976959	0.39425684837614117	
AC005154.6	0.5952750806481641	0.021427799386514238	0.3832971199653216	
AC005251.3	0.9562469498628039	0.02187652506859801	0.02187652506859801	
AC005255.3	0.9253500317181589	0.03909868473337983	0.035551283548461224	
AC005262.4	0.7631874819279522	0.010197202780789158	0.2266153152912587	
AC005301.9	0.013901604475109065	0.9721967910497818	0.013901604475109065	
AC005355.2	0.5110251400553769	0.008973564670231728	0.4800012952743913	
AC005363.11	0.25289624230140323	0.035112282611180406	0.7119914750874162	
AC005550.3	0.5276289527362507	0.01038433847728873	0.46198670878646064	
AC006978.6	0.04008472563744956	0.04008472563744956	0.919830548725101	
AC007182.6	0.01123631130289745	0.01123631130289745	0.977527377394205	
AC007238.1	0.7135104902698237	0.011934620424436894	0.27455488930573935	
AC007246.3	0.3814419666323323	0.045152030262248545	0.5734060031054192	
AC007318.5	0.952052855997927	0.023973572001036465	0.023973572001036465	
AC007325.2	0.664115679013	0.009833180663014645	0.3260511403239853	
AC007325.4	0.47214025447323466	0.5029769582017546	0.024882787325010775	
AC007383.3	0.6875422581204951	0.021848968215541813	0.2906087736639631	
AC007969.5	0.9172355759258062	0.0413822120370969	0.0413822120370969	
AC008440.5	0.024405058022976007	0.9511898839540479	0.024405058022976007	
AC008753.3	0.7565519077609919	0.011593241469836296	0.23185485076917184	
AC009005.2	0.6479501970905843	0.060047392801668424	0.2920024101077473	
AC009014.3	0.5253969433666352	0.008625015749313191	0.46597804088405154	
AC009120.6	0.616182399492983	0.009281643140327598	0.3745359573666893	
AC009133.12	0.15909387085022877	0.009877858623091903	0.8310282705266793	
AC009245.3	0.9635192617252692	0.01824036913736536	0.01824036913736536	
AC009299.3	0.6052053292183818	0.04423791811522009	0.35055675266639813	
AC009403.2	0.5275676381362304	0.10393349446346932	0.3684988674003002	
AC009506.1	0.5393573090011151	0.04031240209395418	0.4203302889049306	
AC009948.5	0.05518323064021481	0.8896335387195703	0.05518323064021481	
AC009948.7	0.739189392909165	0.011744044634025027	0.24906656245681005	
AC010226.4	0.042058208814670095	0.9158835823706597	0.042058208814670095	
AC010468.1	0.7989887992536985	0.00944709282464859	0.19156410792165288	
AC010761.8	0.9102184340673409	0.0448907829663295	0.0448907829663295	
AC011043.1	0.7938969990382645	0.02093254559611539	0.18517045536562002	
AC011298.2	0.6106736844327079	0.01023402708418394	0.3790922884831082	
AC012146.7	0.45588493494437454	0.03348381157351757	0.510631253482108	
AC012354.8	0.034618524591724625	0.9307629508165507	0.034618524591724625	
AC013271.3	0.9433136543665057	0.030238703867467985	0.026447641766026233	
AC013461.1	0.7191003222091753	0.1829621995432297	0.09793747824759515	
AC013463.2	0.44828576557780536	0.013391391297805484	0.5383228431243892	
AC015849.16	0.01031418584647797	0.979371628307044	0.01031418584647797	
AC016700.5	0.9283716047157075	0.03581419764214626	0.03581419764214626	
AC016734.2	0.8688604520054872	0.01620229078496179	0.1149372572095509	
AC016739.2	0.92327659612824	0.03836170193588003	0.03836170193588003	
AC016747.3	0.6890696369098835	0.2894592527969729	0.021471110293143494	
AC016831.7	0.024063393616040884	0.024063393616040884	0.9518732127679181	
AC017060.1	0.9803774513215529	0.009811274339223602	0.009811274339223602	
AC018738.2	0.8003889265748825	0.16244128692827375	0.03716978649684369	
AC019330.1	0.015502018029550715	0.015502018029550715	0.9689959639408986	
AC021218.2	0.011755387171576643	0.011755387171576643	0.9764892256568467	
AC024560.3	0.41469411589524563	0.020741355979995185	0.5645645281247592	
AC026271.5	0.9050588621353034	0.04747056893234827	0.04747056893234827	
AC026471.6	0.21749819080348232	0.038452853371378395	0.7440489558251393	
AC027612.6	0.9163766392791697	0.04626749993367646	0.0373558607871538	
AC034220.3	0.128362211337797	0.7432755773244062	0.128362211337797	
AC046143.3	0.6259142393527468	0.05965093122252272	0.31443482942473044	
AC062017.1	0.04092874791716641	0.04092874791716641	0.9181425041656672	
AC068282.3	0.870826788426763	0.08069722848189465	0.04847598309134229	
AC068522.4	0.7220667517850429	0.013104146243946842	0.2648291019710103	
AC073063.10	0.9005696631846444	0.01101574027525585	0.08841459654009977	
AC073283.4	0.7780854225912017	0.015669263823205867	0.2062453135855925	
AC074141.3	0.9097430248281938	0.04512848758590307	0.04512848758590307	
AC079250.1	0.9109604493879716	0.04451977530601416	0.04451977530601416	
AC079922.2	0.9024471446463179	0.05441014583127058	0.04314270952241143	
AC079922.3	0.02687542454355541	0.02687542454355541	0.9462491509128891	
AC083884.8	0.009708737864077669	0.9805825242718447	0.009708737864077669	
AC084219.4	0.9640864919135806	0.017956754043209688	0.017956754043209688	
AC090498.1	0.9411913559087763	0.02940432204561183	0.02940432204561183	
AC091633.2	0.4222760103533986	0.527552938936285	0.05017105071031633	
AC091729.9	0.4991050918743737	0.0284364183704242	0.4724584897552021	
AC092066.1	0.841771453898378	0.0867270898555737	0.07150145624604806	
AC092155.1	0.9772453491974679	0.011377325401266078	0.011377325401266078	
AC092580.4	0.009708737864077669	0.009708737864077669	0.9805825242718447	
AC092933.3	0.9000828950798602	0.049958552460069874	0.049958552460069874	
AC093323.3	0.3758003509338778	0.09140851418712807	0.532791134878994	
AC093388.3	0.35161661224742996	0.059531599930912844	0.5888517878216571	
AC093642.5	0.42072741547671116	0.4884123875858699	0.090860196937419	
AC093838.4	0.11228368218768782	0.11228368218768782	0.7754326356246243	
AC096664.1	0.9288684969098262	0.03556575154508689	0.03556575154508689	
AC097724.3	0.8783545670294387	0.03718208895826297	0.08446334401229838	
AC098614.2	0.16872228611375134	0.045474135587999266	0.7858035782982494	
AC104389.1	0.6583532737170416	0.3311661989566238	0.010480527326334615	
AC104389.2	0.7902612827610561	0.19565323892824796	0.014085478310695895	
AC104651.2	0.8695139561409134	0.013344926877701247	0.11714111698138537	
