mouse_symbol	signatures	class	n_human_targets	human_targets	inclusion_decision
1110028F11Rik	FETAL_SPHEROID_EPITHELIUM_GENES	NO_ORTHOLOG	0		exclude
1110032A04Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
1110038F14Rik	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	C8orf33:ENSG00000182307	include_primary
1700007K13Rik	FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
1700012L04Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
1700016K19Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
1700019G06Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
1700019L03Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
1700047I17Rik2	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
1700056E22Rik	REGENERATIVE_EPITHELIUM;YAP_SIGNALING_GENES	NO_ORTHOLOG	0		exclude
1700066B19Rik	FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
1810011O10Rik	REGENERATIVE_EPITHELIUM	NOT_FOUND_IN_BIOMART	0		exclude
2010002M12Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
2010109I03Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
2210011C24Rik	FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
2310002J15Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
2310002L13Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
2310007B03Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
2310014H01Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
2410006H16Rik	REVIVAL_STEM_CELL_GENES	NO_ORTHOLOG	0		exclude
2610019F03Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
2700062C07Rik	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	RMP24:ENSG00000141428	include_primary
39509	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
39692	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
4833427G06Rik	FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
4930461G14Rik	FETAL_SPHEROID_EPITHELIUM_GENES	NO_ORTHOLOG	0		exclude
5730528L13Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
6030445D17Rik	YAP_SIGNALING_GENES	NO_ORTHOLOG	0		exclude
A230065N10Rik	YAP_SIGNALING_GENES	NO_ORTHOLOG	0		exclude
A230072E10Rik	REVIVAL_STEM_CELL_GENES	NO_ORTHOLOG	0		exclude
A430105I19Rik	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Aaas	FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	AAAS:ENSG00000094914	include_primary
Abca3	FETAL_INTESTINE_GENES	ortholog_one2one	1	ABCA3:ENSG00000167972	include_primary
Abcb1B	FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Abcc3	FETAL_INTESTINE_GENES;REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ABCC3:ENSG00000108846	include_primary
Abcc4	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ABCC4:ENSG00000125257	include_primary
Abcc5	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ABCC5:ENSG00000114770	include_primary
Abhd2	YAP_SIGNALING_GENES	ortholog_one2one	1	ABHD2:ENSG00000140526	include_primary
Abhd4	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ABHD4:ENSG00000100439	include_primary
