mouse_symbol	orthology_type	human_ensembl_id	matches_existing_table	existing_table_symbol	existing_table_ensembl	source
Pyy	ortholog_one2one	ENSG00000131096	YES	PYY	ENSG00000131096	Ensembl Compara (homology REST API)
Ctla2a	NO_ORTHOLOG_FOUND		N/A	CTLA2A		Ensembl Compara (homology REST API)
Clu	ortholog_one2one	ENSG00000120885	YES	CLU	ENSG00000120885	Ensembl Compara (homology REST API)
Acta1	ortholog_one2one	ENSG00000143632	YES	ACTA1	ENSG00000143632	Ensembl Compara (homology REST API)
F3	ortholog_one2one	ENSG00000117525	YES	F3	ENSG00000117525	Ensembl Compara (homology REST API)
Cldn4	NO_ORTHOLOG_FOUND		NO (Compara found none)	CLDN4	ENSG00000189143	Ensembl Compara (homology REST API)
Basp1	ortholog_one2one	ENSG00000176788	YES	BASP1	ENSG00000176788	Ensembl Compara (homology REST API)
Marcksl1	ortholog_one2one	ENSG00000175130	YES	MARCKSL1	ENSG00000175130	Ensembl Compara (homology REST API)
Sfn	ortholog_one2one	ENSG00000175793	YES	SFN	ENSG00000175793	Ensembl Compara (homology REST API)
Tmsb4x	ortholog_one2one	ENSG00000205542	YES	TMSB4X	ENSG00000205542	Ensembl Compara (homology REST API)
Ankrd1	ortholog_one2one	ENSG00000148677	YES	ANKRD1	ENSG00000148677	Ensembl Compara (homology REST API)
Sox4	ortholog_one2one	ENSG00000124766	YES	SOX4	ENSG00000124766	Ensembl Compara (homology REST API)
Pmepa1	ortholog_one2one	ENSG00000124225	YES	PMEPA1	ENSG00000124225	Ensembl Compara (homology REST API)
Anxa1	ortholog_one2one	ENSG00000135046	YES	ANXA1	ENSG00000135046	Ensembl Compara (homology REST API)
Prdx2	ortholog_one2one	ENSG00000167815	YES	PRDX2	ENSG00000167815	Ensembl Compara (homology REST API)
Tuba1a	ortholog_one2one	ENSG00000167552	YES	TUBA1A	ENSG00000167552	Ensembl Compara (homology REST API)
Sprr1a	QUERY_FAILED		N/A	SPRR1A	ENSG00000169474	Ensembl Compara (homology REST API)
Krt18	ortholog_one2one	ENSG00000111057	YES	KRT18	ENSG00000111057	Ensembl Compara (homology REST API)
Fn1	ortholog_one2one	ENSG00000115414	YES	FN1	ENSG00000115414	Ensembl Compara (homology REST API)
Ctse	ortholog_one2one	ENSG00000196188	YES	CTSE	ENSG00000196188	Ensembl Compara (homology REST API)
Ctsl	NO_ORTHOLOG_FOUND		NO (Compara found none)	CTSL	ENSG00000135047	Ensembl Compara (homology REST API)
Tpm1	QUERY_FAILED		N/A	TPM1	ENSG00000140416	Ensembl Compara (homology REST API)
Tnfrsf12a	ortholog_one2one	ENSG00000006327	YES	TNFRSF12A	ENSG00000006327	Ensembl Compara (homology REST API)
Ass1	ortholog_one2one	ENSG00000130707	YES	ASS1	ENSG00000130707	Ensembl Compara (homology REST API)
Ly6a	ortholog_one2many	ENSG00000291309	YES	LY6A	ENSG00000291309	Ensembl Compara (homology REST API)
Areg	ortholog_one2one	ENSG00000109321	YES	AREG	ENSG00000109321	Ensembl Compara (homology REST API)
Ccn1	ortholog_one2one	ENSG00000142871	DIFFERENT_TARGET	CCN1	ENSG00000145386	Ensembl Compara (homology REST API)
Ccn2	ortholog_one2one	ENSG00000118523	YES	CCN2	ENSG00000118523	Ensembl Compara (homology REST API)
Ecm1	ortholog_one2one	ENSG00000143369	YES	ECM1	ENSG00000143369	Ensembl Compara (homology REST API)
Sox9	ortholog_one2one	ENSG00000125398	YES	SOX9	ENSG00000125398	Ensembl Compara (homology REST API)
Cd44	ortholog_one2one	ENSG00000026508	YES	CD44	ENSG00000026508	Ensembl Compara (homology REST API)
Itga2	ortholog_one2one	ENSG00000164171	YES	ITGA2	ENSG00000164171	Ensembl Compara (homology REST API)
