mouse_symbol	class	n_human_targets	human_targets
1110028F11Rik	NO_ORTHOLOG	0	
1110032A04Rik	NOT_FOUND_IN_BIOMART	0	
1110038F14Rik	ortholog_one2one	1	C8orf33:ENSG00000182307
1700007K13Rik	NOT_FOUND_IN_BIOMART	0	
1700012L04Rik	NOT_FOUND_IN_BIOMART	0	
1700016K19Rik	NOT_FOUND_IN_BIOMART	0	
1700019G06Rik	NOT_FOUND_IN_BIOMART	0	
1700019L03Rik	NOT_FOUND_IN_BIOMART	0	
1700047I17Rik2	NOT_FOUND_IN_BIOMART	0	
1700056E22Rik	NO_ORTHOLOG	0	
1700066B19Rik	NOT_FOUND_IN_BIOMART	0	
1810011O10Rik	NOT_FOUND_IN_BIOMART	0	
2010002M12Rik	NOT_FOUND_IN_BIOMART	0	
2010109I03Rik	NOT_FOUND_IN_BIOMART	0	
2210011C24Rik	NOT_FOUND_IN_BIOMART	0	
2310002J15Rik	NOT_FOUND_IN_BIOMART	0	
2310002L13Rik	NOT_FOUND_IN_BIOMART	0	
2310007B03Rik	NOT_FOUND_IN_BIOMART	0	
2310014H01Rik	NOT_FOUND_IN_BIOMART	0	
2410006H16Rik	NO_ORTHOLOG	0	
2610019F03Rik	NOT_FOUND_IN_BIOMART	0	
2700062C07Rik	ortholog_one2one	1	RMP24:ENSG00000141428
39509	NOT_FOUND_IN_BIOMART	0	
39692	NOT_FOUND_IN_BIOMART	0	
4833427G06Rik	NOT_FOUND_IN_BIOMART	0	
4930461G14Rik	NO_ORTHOLOG	0	
5730528L13Rik	NOT_FOUND_IN_BIOMART	0	
6030445D17Rik	NO_ORTHOLOG	0	
A230065N10Rik	NO_ORTHOLOG	0	
A230072E10Rik	NO_ORTHOLOG	0	
A430105I19Rik	NOT_FOUND_IN_BIOMART	0	
Aaas	ortholog_one2one	1	AAAS:ENSG00000094914
Abca3	ortholog_one2one	1	ABCA3:ENSG00000167972
Abcb1B	NOT_FOUND_IN_BIOMART	0	
Abcc3	ortholog_one2one	1	ABCC3:ENSG00000108846
Abcc4	ortholog_one2one	1	ABCC4:ENSG00000125257
Abcc5	ortholog_one2one	1	ABCC5:ENSG00000114770
Abhd2	ortholog_one2one	1	ABHD2:ENSG00000140526
Abhd4	ortholog_one2one	1	ABHD4:ENSG00000100439
Abhd5	ortholog_one2one	1	ABHD5:ENSG00000011198
Abhd6	ortholog_one2one	1	ABHD6:ENSG00000163686
Abhd8	ortholog_one2one	1	ABHD8:ENSG00000127220
Abi1	ortholog_one2one	1	ABI1:ENSG00000136754
Abi2	ortholog_one2one	1	ABI2:ENSG00000138443
Abi3	ortholog_one2one	1	ABI3:ENSG00000108798
Abi3Bp	NOT_FOUND_IN_BIOMART	0	
Acacb	ortholog_one2one	1	ACACB:ENSG00000076555
Acap3	ortholog_one2one	1	ACAP3:ENSG00000131584
Accs	ortholog_one2one	1	ACCS:ENSG00000110455
Acot10	ambiguous_ortholog_one2many	1	ACOT9:ENSG00000123130
Acot7	ortholog_one2one	1	ACOT7:ENSG00000097021
Acot9	ambiguous_ortholog_one2many	1	ACOT9:ENSG00000123130
Acox2	ortholog_one2one	1	ACOX2:ENSG00000168306
Acsbg1	ortholog_one2one	1	ACSBG1:ENSG00000103740
Acsl4	ortholog_one2one	1	ACSL4:ENSG00000068366
Acsm3	ortholog_one2one	1	ACSM3:ENSG00000005187
Acta2	ortholog_one2one	1	ACTA2:ENSG00000107796
Actg1	ortholog_one2one	1	ACTG1:ENSG00000184009
Actg2	ortholog_one2one	1	ACTG2:ENSG00000163017
Adam10	ortholog_one2one	1	ADAM10:ENSG00000137845
Adam15	ortholog_one2one	1	ADAM15:ENSG00000143537
Adam28	ortholog_one2one	1	ADAM28:ENSG00000042980
Adam32	ortholog_one2one	1	ADAM32:ENSG00000197140
Adam8	ortholog_one2one	1	ADAM8:ENSG00000151651
Adam9	ortholog_one2one	1	ADAM9:ENSG00000168615
Adamdec1	ortholog_one2one	1	ADAMDEC1:ENSG00000134028
Adamts1	ortholog_one2one	1	ADAMTS1:ENSG00000154734
Adamts15	ortholog_one2one	1	ADAMTS15:ENSG00000166106
Adamtsl4	ortholog_one2one	1	ADAMTSL4:ENSG00000143382
Adm	ortholog_one2one	1	ADM:ENSG00000148926
Adm2	ortholog_one2one	1	ADM2:ENSG00000128165
Adora1	ortholog_one2one	1	ADORA1:ENSG00000163485
Adssl1	NOT_FOUND_IN_BIOMART	0	
Aen	ortholog_one2one	1	AEN:ENSG00000181026
Af064781	NOT_FOUND_IN_BIOMART	0	
Agfg2	ortholog_one2one	1	AGFG2:ENSG00000106351
Agpat4	ortholog_one2one	1	AGPAT4:ENSG00000026652
Agpat6	NOT_FOUND_IN_BIOMART	0	
Agps	ortholog_one2one	1	AGPS:ENSG00000018510
Agrn	ortholog_one2one	1	AGRN:ENSG00000188157
Agtpbp1	ortholog_one2one	1	AGTPBP1:ENSG00000135049
Ahi1	ortholog_one2one	1	AHI1:ENSG00000135541
Ahnak	ortholog_one2one	1	AHNAK:ENSG00000124942
Ahnak2	ortholog_one2one	1	AHNAK2:ENSG00000185567
Ai467606	NOT_FOUND_IN_BIOMART	0	
Aim1	NOT_FOUND_IN_BIOMART	0	
