Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
ENSMUSG00000064336	mt-Tf				
ENSMUSG00000064337	mt-Rnr1				
ENSMUSG00000064338	mt-Tv				
ENSMUSG00000064339	mt-Rnr2				
ENSMUSG00000064340	mt-Tl1				
ENSMUSG00000064341	mt-Nd1	ENSG00000198888	MT-ND1	ortholog_one2one	1
ENSMUSG00000064342	mt-Ti				
ENSMUSG00000064343	mt-Tq				
ENSMUSG00000064344	mt-Tm				
ENSMUSG00000064345	mt-Nd2	ENSG00000198763	MT-ND2	ortholog_one2one	1
ENSMUSG00000064346	mt-Tw				
ENSMUSG00000064347	mt-Ta				
ENSMUSG00000064348	mt-Tn				
ENSMUSG00000064349	mt-Tc				
ENSMUSG00000064350	mt-Ty				
ENSMUSG00000064351	mt-Co1	ENSG00000198804	MT-CO1	ortholog_one2one	1
ENSMUSG00000064352	mt-Ts1				
ENSMUSG00000064353	mt-Td				
ENSMUSG00000064354	mt-Co2	ENSG00000198712	MT-CO2	ortholog_one2one	1
ENSMUSG00000064355	mt-Tk				
ENSMUSG00000064356	mt-Atp8	ENSG00000228253	MT-ATP8	ortholog_one2one	0
ENSMUSG00000064357	mt-Atp6	ENSG00000198899	MT-ATP6	ortholog_one2one	1
ENSMUSG00000064358	mt-Co3	ENSG00000198938	MT-CO3	ortholog_one2one	1
ENSMUSG00000064359	mt-Tg				
ENSMUSG00000064360	mt-Nd3	ENSG00000198840	MT-ND3	ortholog_one2one	1
ENSMUSG00000064361	mt-Tr				
ENSMUSG00000065947	mt-Nd4l	ENSG00000212907	MT-ND4L	ortholog_one2one	1
ENSMUSG00000064363	mt-Nd4	ENSG00000198886	MT-ND4	ortholog_one2one	1
ENSMUSG00000064364	mt-Th				
ENSMUSG00000064365	mt-Ts2				
ENSMUSG00000064366	mt-Tl2				
ENSMUSG00000064367	mt-Nd5	ENSG00000198786	MT-ND5	ortholog_one2one	1
ENSMUSG00000064368	mt-Nd6	ENSG00000198695	MT-ND6	ortholog_one2one	1
ENSMUSG00000064369	mt-Te				
ENSMUSG00000064370	mt-Cytb	ENSG00000198727	MT-CYB	ortholog_one2one	1
ENSMUSG00000064371	mt-Tt				
ENSMUSG00000064372	mt-Tp				
ENSMUSG00002075400					
ENSMUSG00002074970					
ENSMUSG00002074899					
ENSMUSG00002076890					
ENSMUSG00000095019					
ENSMUSG00000094303		ENSG00000120952	PRAMEF2	ortholog_many2many	0
