Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
ENSMUSG00000064349	mt-Tc				
ENSMUSG00000064372	mt-Tp				
ENSMUSG00000063628	Gm7665				
ENSMUSG00000045991	Onecut2	ENSG00000119547	ONECUT2	ortholog_one2one	1
ENSMUSG00000031227	Magee1	ENSG00000198934	MAGEE1	ortholog_one2one	1
ENSMUSG00000088689	Scarna17	ENSG00000252139		ortholog_one2many	1
ENSMUSG00000089235	Gm23119				
ENSMUSG00000051439	Cd14	ENSG00000170458	CD14	ortholog_one2one	1
ENSMUSG00000031089	Slc6a14				
ENSMUSG00000031430	Vsig1	ENSG00000101842	VSIG1	ortholog_one2one	1
ENSMUSG00000072964	Bhlhb9	ENSG00000198908	GPRASP3	ortholog_one2one	1
ENSMUSG00000031150	Ccdc120	ENSG00000147144	CCDC120	ortholog_one2one	1
ENSMUSG00000024912	Fosl1	ENSG00000175592	FOSL1	ortholog_one2one	1
ENSMUSG00000024774	Ankrd22	ENSG00000152766	ANKRD22	ortholog_one2one	1
ENSMUSG00000084771	A230072E10Rik				
ENSMUSG00000022650	Retnlb	ENSG00000163515	RETNLB	ortholog_one2many	1
ENSMUSG00000034168	Irf2bpl	ENSG00000119669	IRF2BPL	ortholog_one2one	1
ENSMUSG00000076617	Ighm	ENSG00000211899	IGHM	ortholog_one2one	1
ENSMUSG00000065208	Gm24616	ENSG00000263776	SNORA4	ortholog_one2one	1
ENSMUSG00000076431	Sox4	ENSG00000124766	SOX4	ortholog_one2one	1
ENSMUSG00000046546	Fam43a	ENSG00000185112	FAM43A	ortholog_one2one	1
ENSMUSG00000021403	Serpinb9b	ENSG00000170542	SERPINB9	ortholog_one2many	0
ENSMUSG00000118672	Muc4	ENSG00000145113	MUC4	ortholog_one2one	0
ENSMUSG00000023341	Mx2	ENSG00000157601	MX1	ortholog_one2many	1
ENSMUSG00000005251	Ripk4	ENSG00000183421	RIPK4	ortholog_one2one	1
ENSMUSG00000015533	Itga2	ENSG00000164171	ITGA2	ortholog_one2one	1
ENSMUSG00000056457	Prl2c3	ENSG00000172179	PRL	ortholog_one2many	0
ENSMUSG00000020950	Foxg1	ENSG00000176165	FOXG1	ortholog_one2one	1
ENSMUSG00000054364	Rhob	ENSG00000143878	RHOB	ortholog_one2one	1
ENSMUSG00000038415	Foxq1	ENSG00000164379	FOXQ1	ortholog_one2one	1
ENSMUSG00000075010	AW112010				
ENSMUSG00000075707	Dio3	ENSG00000197406	DIO3	ortholog_one2one	1
ENSMUSG00000047565	Acot10	ENSG00000123130	ACOT9	ortholog_one2many	0
ENSMUSG00000071723	Gspt2	ENSG00000189369	GSPT2	ortholog_one2one	1
ENSMUSG00000058354	Krt6a	ENSG00000205420	KRT6A	ortholog_many2many	1
ENSMUSG00000058354	Krt6a	ENSG00000170465	KRT6C	ortholog_many2many	0
ENSMUSG00000058354	Krt6a	ENSG00000185479	KRT6B	ortholog_many2many	0
ENSMUSG00000059668	Krt4	ENSG00000170477	KRT4	ortholog_one2one	1
ENSMUSG00000024769	Cdc42bpg	ENSG00000171219	CDC42BPG	ortholog_one2one	1
ENSMUSG00000001473	Tubb6	ENSG00000176014	TUBB6	ortholog_one2one	1
ENSMUSG00000023039	Krt7	ENSG00000135480	KRT7	ortholog_one2one	1
ENSMUSG00000049536	Tceal1	ENSG00000172465	TCEAL1	ortholog_one2one	1
ENSMUSG00000044345	Marveld1	ENSG00000155254	MARVELD1	ortholog_one2one	1
ENSMUSG00000024939	Fam89b	ENSG00000176973	FAM89B	ortholog_one2one	1
ENSMUSG00000035984	Nme5	ENSG00000112981	NME5	ortholog_one2one	1
ENSMUSG00000024621	Csf1r	ENSG00000182578	CSF1R	ortholog_one2one	1
ENSMUSG00000024511	Rab27b	ENSG00000041353	RAB27B	ortholog_one2one	1
ENSMUSG00000031400	G6pdx	ENSG00000160211	G6PD	ortholog_one2many	1
ENSMUSG00000025151	Maged1	ENSG00000179222	MAGED1	ortholog_one2one	1
ENSMUSG00000056632	Dsg3	ENSG00000134757	DSG3	ortholog_one2one	1
ENSMUSG00000061517	Sox21	ENSG00000125285	SOX21	ortholog_one2one	1
ENSMUSG00000031278	Acsl4	ENSG00000068366	ACSL4	ortholog_one2one	1
ENSMUSG00000022057	Adamdec1	ENSG00000134028	ADAMDEC1	ortholog_one2one	1
